run,elapsed,latency,dblatency,ttype,rbk,dskipped,error
19,45,4,4,DELIVERY,0,0,0
19,46,5,5,DELIVERY,0,0,0
19,46,5,5,DELIVERY,0,0,0
19,134,92,92,ORDER_STATUS,0,0,0
19,134,92,92,ORDER_STATUS,0,0,0
19,141,96,96,PAYMENT,0,0,0
19,145,101,101,PAYMENT,0,0,0
19,173,130,130,PAYMENT,0,0,0
19,173,130,130,PAYMENT,0,0,0
19,176,136,136,PAYMENT,0,0,0
19,177,136,136,PAYMENT,0,0,0
19,177,132,132,PAYMENT,0,0,0
19,177,133,133,PAYMENT,0,0,0
19,221,176,176,PAYMENT,0,0,0
19,221,178,178,PAYMENT,0,0,0
19,225,185,185,PAYMENT,0,0,0
19,225,181,181,PAYMENT,0,0,0
19,225,183,183,PAYMENT,0,0,0
19,261,216,216,NEW_ORDER,0,0,0
19,264,219,219,NEW_ORDER,0,0,0
19,276,235,235,PAYMENT,0,0,0
19,278,234,234,NEW_ORDER,0,0,0
19,278,232,232,NEW_ORDER,0,0,0
19,278,233,233,NEW_ORDER,0,0,0
19,281,234,234,NEW_ORDER,0,0,0
19,282,237,237,NEW_ORDER,0,0,0
19,284,238,238,NEW_ORDER,0,0,0
19,289,245,245,PAYMENT,0,0,0
19,310,264,264,NEW_ORDER,0,0,0
19,321,281,281,PAYMENT,0,0,0
19,322,275,275,NEW_ORDER,0,0,0
19,323,280,280,NEW_ORDER,0,0,0
19,322,275,275,NEW_ORDER,0,0,0
19,322,279,279,NEW_ORDER,0,0,0
19,355,314,306,DELIVERY_BG,0,0,0
19,373,332,324,DELIVERY_BG,0,0,0
19,456,413,413,NEW_ORDER,0,0,0
19,457,413,413,NEW_ORDER,0,0,0
19,473,430,430,NEW_ORDER,0,0,0
19,580,539,531,DELIVERY_BG,0,0,0
19,7559,43,43,PAYMENT,0,0,0
19,7560,41,41,ORDER_STATUS,0,0,0
19,7560,43,43,PAYMENT,0,0,0
19,7571,44,44,PAYMENT,0,0,0
19,7572,50,50,PAYMENT,0,0,0
19,7581,43,43,PAYMENT,0,0,0
19,7583,60,60,PAYMENT,0,0,0
19,7620,83,83,ORDER_STATUS,0,0,0
19,7622,85,85,PAYMENT,0,0,0
19,7623,107,107,PAYMENT,0,0,0
19,7625,116,116,NEW_ORDER,0,0,0
19,7627,98,98,ORDER_STATUS,0,0,0
19,7657,117,117,PAYMENT,0,0,0
19,7673,161,161,NEW_ORDER,0,0,0
19,7679,143,143,PAYMENT,0,0,0
19,7684,159,159,NEW_ORDER,0,0,0
19,7687,155,155,NEW_ORDER,0,0,0
19,7692,178,178,NEW_ORDER,0,0,0
19,7695,180,180,NEW_ORDER,0,0,0
19,7700,168,168,PAYMENT,0,0,0
19,7704,179,179,NEW_ORDER,0,0,0
19,7706,198,198,NEW_ORDER,0,0,0
19,7725,200,200,NEW_ORDER,0,0,0
19,7734,203,203,PAYMENT,0,0,0
19,7746,230,230,NEW_ORDER,0,0,0
19,7758,239,239,NEW_ORDER,0,0,0
19,7758,222,222,NEW_ORDER,0,0,0
19,7765,246,246,NEW_ORDER,0,0,0
19,7771,238,238,NEW_ORDER,0,0,0
19,7798,259,259,PAYMENT,0,0,0
19,7800,262,262,NEW_ORDER,0,0,0
19,7808,270,270,NEW_ORDER,0,0,0
19,7826,306,306,NEW_ORDER,0,0,0
19,7831,299,299,NEW_ORDER,0,0,0
19,7868,337,337,NEW_ORDER,0,0,0
19,7891,366,366,NEW_ORDER,0,0,0
19,7908,380,380,NEW_ORDER,0,0,0
19,15082,48,48,STOCK_LEVEL,0,0,0
19,15082,50,50,PAYMENT,0,0,0
19,15090,54,54,PAYMENT,0,0,0
19,15107,83,83,PAYMENT,0,0,0
19,15109,93,93,PAYMENT,0,0,0
19,15111,79,79,PAYMENT,0,0,0
19,15117,86,86,PAYMENT,0,0,0
19,15122,84,84,PAYMENT,0,0,0
19,15131,98,98,PAYMENT,0,0,0
19,15139,90,90,PAYMENT,0,0,0
19,15141,40,40,STOCK_LEVEL,0,0,0
19,15143,122,122,NEW_ORDER,1,0,0
19,15145,121,121,PAYMENT,0,0,0
