run,elapsed,latency,dblatency,ttype,rbk,dskipped,error
13,31,3,3,DELIVERY,0,0,0
13,178,148,148,ORDER_STATUS,0,0,0
13,187,158,158,ORDER_STATUS,0,0,0
13,188,139,139,ORDER_STATUS,0,0,0
13,207,177,177,PAYMENT,0,0,0
13,207,178,178,PAYMENT,0,0,0
13,207,178,178,PAYMENT,0,0,0
13,207,179,179,PAYMENT,0,0,0
13,257,229,229,PAYMENT,0,0,0
13,257,207,207,PAYMENT,0,0,0
13,267,236,236,PAYMENT,0,0,0
13,295,267,267,STOCK_LEVEL,0,0,0
13,297,267,267,NEW_ORDER,0,0,0
13,297,247,247,NEW_ORDER,0,0,0
13,297,268,268,PAYMENT,0,0,0
13,297,267,267,NEW_ORDER,0,0,0
13,327,299,299,NEW_ORDER,0,0,0
13,327,299,299,PAYMENT,0,0,0
13,327,298,298,NEW_ORDER,0,0,0
13,327,297,297,PAYMENT,0,0,0
13,337,308,308,NEW_ORDER,0,0,0
13,337,308,308,NEW_ORDER,0,0,0
13,348,299,299,NEW_ORDER,0,0,0
13,348,319,319,NEW_ORDER,0,0,0
13,367,339,339,PAYMENT,0,0,0
13,377,346,346,NEW_ORDER,0,0,0
13,387,339,339,NEW_ORDER,0,0,0
13,387,357,357,PAYMENT,0,0,0
13,397,368,368,PAYMENT,0,0,0
13,417,388,388,PAYMENT,0,0,0
13,427,399,399,PAYMENT,0,0,0
13,427,399,376,DELIVERY_BG,0,0,0
13,457,429,429,PAYMENT,0,0,0
13,497,448,448,NEW_ORDER,0,0,0
13,507,479,479,PAYMENT,0,0,0
13,507,459,459,NEW_ORDER,0,0,0
13,556,528,528,PAYMENT,0,0,0
13,567,539,539,PAYMENT,0,0,0
13,7895,164,164,DELIVERY,0,0,0
13,7975,459,459,STOCK_LEVEL,0,0,0
13,7997,480,480,PAYMENT,0,0,0
13,7997,306,306,PAYMENT,0,0,0
13,7997,481,481,PAYMENT,0,0,0
13,8007,491,491,PAYMENT,0,0,0
13,8049,357,357,ORDER_STATUS,0,0,0
13,8049,358,358,ORDER_STATUS,0,0,0
13,8056,534,534,PAYMENT,0,0,0
13,8067,537,537,PAYMENT,0,0,0
13,8077,258,258,PAYMENT,0,0,0
13,8087,397,397,NEW_ORDER,0,0,0
13,8097,577,577,NEW_ORDER,0,0,0
13,8098,323,323,STOCK_LEVEL,0,0,0
13,8107,399,399,NEW_ORDER,0,0,0
13,8107,560,560,NEW_ORDER,0,0,0
13,8117,592,592,NEW_ORDER,0,0,0
13,8117,601,601,PAYMENT,0,0,0
13,8117,342,342,NEW_ORDER,0,0,0
13,8117,380,380,NEW_ORDER,0,0,0
13,8117,601,601,PAYMENT,0,0,0
13,8126,356,356,NEW_ORDER,0,0,0
13,8137,613,613,NEW_ORDER,0,0,0
13,8146,285,285,PAYMENT,0,0,0
13,8156,374,374,PAYMENT,0,0,0
13,8157,287,287,PAYMENT,0,0,0
13,8166,511,511,PAYMENT,0,0,0
13,8167,572,572,NEW_ORDER,0,0,0
13,8167,644,644,NEW_ORDER,0,0,0
13,8176,633,633,NEW_ORDER,0,0,0
13,8196,456,456,PAYMENT,0,0,0
13,8197,546,546,NEW_ORDER,0,0,0
13,8197,648,648,NEW_ORDER,0,0,0
13,8236,461,461,PAYMENT,0,0,0
13,8236,505,259,DELIVERY_BG,0,0,0
