"binary","filename","configuration","rate","time"
"old","buffers/buffer-base64-decode-wrapped.js","n=32 linesCount=524288 charsPerLine=76",3.333691898636019,9.598967443
"new","buffers/buffer-base64-decode-wrapped.js","n=32 linesCount=524288 charsPerLine=76",3.4466054717836934,9.284497533
"old","buffers/buffer-base64-decode-wrapped.js","n=32 linesCount=524288 charsPerLine=76",3.333691898636019,9.598967443
"new","buffers/buffer-base64-decode-wrapped.js","n=32 linesCount=524288 charsPerLine=76",3.3150484261124182,9.652950994
"old","buffers/buffer-base64-decode-wrapped.js","n=32 linesCount=524288 charsPerLine=76",3.333691898636019,9.598967443
"new","buffers/buffer-base64-decode-wrapped.js","n=32 linesCount=524288 charsPerLine=76",3.2980825961843117,9.702607217
"old","buffers/buffer-base64-decode.js","size=8388608 n=32",4.439737475470544,7.207633374
"new","buffers/buffer-base64-decode.js","size=8388608 n=32",4.048511081097634,7.904140401
"old","buffers/buffer-base64-decode.js","size=8388608 n=32",4.439737475470544,7.207633374
"new","buffers/buffer-base64-decode.js","size=8388608 n=32",4.47061144174503,7.157857581
"old","buffers/buffer-base64-decode.js","size=8388608 n=32",4.439737475470544,7.207633374
"new","buffers/buffer-base64-decode.js","size=8388608 n=32",4.3595219860924335,7.340254299
"old","buffers/buffer-base64-encode.js","n=32 len=67108864",1.4913008241691528,21.457776648
"new","buffers/buffer-base64-encode.js","n=32 len=67108864",1.4656301692064722,21.833611693
"old","buffers/buffer-base64-encode.js","n=32 len=67108864",1.4913008241691528,21.457776648
"new","buffers/buffer-base64-encode.js","n=32 len=67108864",1.4982010888607429,21.358948567
"old","buffers/buffer-base64-encode.js","n=32 len=67108864",1.4913008241691528,21.457776648
"new","buffers/buffer-base64-encode.js","n=32 len=67108864",1.4667934884002465,21.816295377
"old","buffers/buffer-bytelength-buffer.js","n=4000000 len=2",4966509.578079478,0.805394601
"old","buffers/buffer-bytelength-buffer.js","n=4000000 len=16",5042942.20356811,0.793187754
"old","buffers/buffer-bytelength-buffer.js","n=4000000 len=256",5250536.082687469,0.761826971
"new","buffers/buffer-bytelength-buffer.js","n=4000000 len=2",4995140.8518578345,0.800778220
"new","buffers/buffer-bytelength-buffer.js","n=4000000 len=16",4969428.911924967,0.804921465
"new","buffers/buffer-bytelength-buffer.js","n=4000000 len=256",5098333.716434875,0.784570062
"old","buffers/buffer-bytelength-buffer.js","n=4000000 len=2",4966509.578079478,0.805394601
"old","buffers/buffer-bytelength-buffer.js","n=4000000 len=16",5042942.20356811,0.793187754
"old","buffers/buffer-bytelength-buffer.js","n=4000000 len=256",5250536.082687469,0.761826971
"new","buffers/buffer-bytelength-buffer.js","n=4000000 len=2",5126880.473749185,0.780201532
"new","buffers/buffer-bytelength-buffer.js","n=4000000 len=16",5011263.962081409,0.798201817
"new","buffers/buffer-bytelength-buffer.js","n=4000000 len=256",5255291.629014528,0.761137589
"old","buffers/buffer-bytelength-buffer.js","n=4000000 len=2",4966509.578079478,0.805394601
"old","buffers/buffer-bytelength-buffer.js","n=4000000 len=16",5042942.20356811,0.793187754
"old","buffers/buffer-bytelength-buffer.js","n=4000000 len=256",5250536.082687469,0.761826971
"new","buffers/buffer-bytelength-buffer.js","n=4000000 len=2",4938047.600467862,0.810036744
"new","buffers/buffer-bytelength-buffer.js","n=4000000 len=16",4904184.615675849,0.815629980
