"binary","filename","configuration","rate","time"
"old","error/determine-specific-type.js","v=""() => 1n"" n=1000000",2631212.46794134,0.380052927
"old","error/determine-specific-type.js","v=""() => true"" n=1000000",22975483.66552245,0.043524655
"old","error/determine-specific-type.js","v=""() => false"" n=1000000",23236686.917826597,0.043035395
"old","error/determine-specific-type.js","v=""() => 2"" n=1000000",7127322.888075337,0.140305135
"old","error/determine-specific-type.js","v=""() => +0"" n=1000000",20935397.320658542,0.047765991
"old","error/determine-specific-type.js","v=""() => -0"" n=1000000",19713458.182738118,0.050726767
"old","error/determine-specific-type.js","v=""() => NaN"" n=1000000",19642086.997671057,0.050911087
"old","error/determine-specific-type.js","v=""() => Infinity"" n=1000000",16498721.505821154,0.060610757
"old","error/determine-specific-type.js","v=""() => \""\' n=1000000",6002250.796030506,0.166604168
"old","error/determine-specific-type.js","v=""() => \""'\' n=1000000",964387.9618316885,1.036927087
"old","error/determine-specific-type.js","v=""() => Symbol(\""foo\"")"" n=1000000",1377511.9241599129,0.725946529
"old","error/determine-specific-type.js","v=""() => function foo() {}"" n=1000000",3668202.594447798,0.272613078
"old","error/determine-specific-type.js","v=""() => null"" n=1000000",39302038.246935725,0.025443973
"old","error/determine-specific-type.js","v=""() => undefined"" n=1000000",36888836.818246335,0.027108472
"old","error/determine-specific-type.js","v=""() => new Array()"" n=1000000",3804807.182112317,0.262825408
"old","error/determine-specific-type.js","v=""() => new BigInt64Array()"" n=1000000",2899336.7978726453,0.344906463
"old","error/determine-specific-type.js","v=""() => new BigUint64Array()"" n=1000000",2891299.4963512407,0.345865242
"old","error/determine-specific-type.js","v=""() => new Int8Array()"" n=1000000",2879444.7324848995,0.347289180
"old","error/determine-specific-type.js","v=""() => new Int16Array()"" n=1000000",2866508.156982909,0.348856499
"old","error/determine-specific-type.js","v=""() => new Int32Array()"" n=1000000",2783592.3310116166,0.359248008
"old","error/determine-specific-type.js","v=""() => new Float32Array()"" n=1000000",2900270.0131080314,0.344795483
"old","error/determine-specific-type.js","v=""() => new Float64Array()"" n=1000000",2841748.730781239,0.351895996
"old","error/determine-specific-type.js","v=""() => new Uint8Array()"" n=1000000",2737820.789161401,0.365254002
"old","error/determine-specific-type.js","v=""() => new Uint8ClampedArray()"" n=1000000",2904010.9132962446,0.344351323
"old","error/determine-specific-type.js","v=""() => new Uint16Array()"" n=1000000",2878490.731317415,0.347404280
"old","error/determine-specific-type.js","v=""() => new Uint32Array()"" n=1000000",2833641.645351188,0.352902775
"old","error/determine-specific-type.js","v=""() => new Date()"" n=1000000",3848023.822930783,0.259873651
"old","error/determine-specific-type.js","v=""() => new Map()"" n=1000000",3419565.6955283605,0.292434797
"old","error/determine-specific-type.js","v=""() => new WeakMap()"" n=1000000",3280136.462861237,0.304865365
"old","error/determine-specific-type.js","v=""() => new Object()"" n=1000000",3708373.7686683293,0.269659981
"old","error/determine-specific-type.js","v=""() => Promise.resolve(\""foo\"")"" n=1000000",3665160.8988408335,0.272839318
"old","error/determine-specific-type.js","v=""() => new Set()"" n=1000000",3787869.217769817,0.264000667
"old","error/determine-specific-type.js","v=""() => new WeakSet()"" n=1000000",3803738.5333258924,0.262899248
"old","error/determine-specific-type.js","v=""() => ({ __proto__: null })"" n=1000000",177475.4520839689,5.634582069
"new","error/determine-specific-type.js","v=""() => 1n"" n=1000000",2665432.820044716,0.375173590
"new","error/determine-specific-type.js","v=""() => true"" n=1000000",20453613.69947047,0.048891116
"new","error/determine-specific-type.js","v=""() => false"" n=1000000",20621654.20104855,0.048492715
"new","error/determine-specific-type.js","v=""() => 2"" n=1000000",7370066.012575764,0.135683995
"new","error/determine-specific-type.js","v=""() => +0"" n=1000000",18286489.04768226,0.054685183
"new","error/determine-specific-type.js","v=""() => -0"" n=1000000",17499740.041361686,0.057143706
"new","error/determine-specific-type.js","v=""() => NaN"" n=1000000",22322798.334210284,0.044797251
"new","error/determine-specific-type.js","v=""() => Infinity"" n=1000000",20787283.005450323,0.048106335
"new","error/determine-specific-type.js","v=""() => \""\' n=1000000",5865282.347419255,0.170494776
"new","error/determine-specific-type.js","v=""() => \""'\' n=1000000",1006160.336392644,0.993877381
"new","error/determine-specific-type.js","v=""() => Symbol(\""foo\"")"" n=1000000",1347782.2581908708,0.741959611
"new","error/determine-specific-type.js","v=""() => function foo() {}"" n=1000000",3605807.135083177,0.277330418
"new","error/determine-specific-type.js","v=""() => null"" n=1000000",38933729.730613634,0.025684670
"new","error/determine-specific-type.js","v=""() => undefined"" n=1000000",41722806.441183545,0.023967707
"new","error/determine-specific-type.js","v=""() => new Array()"" n=1000000",3792831.565030551,0.263655262
"new","error/determine-specific-type.js","v=""() => new BigInt64Array()"" n=1000000",2833115.8893278977,0.352968265
"new","error/determine-specific-type.js","v=""() => new BigUint64Array()"" n=1000000",2773173.585519379,0.360597694
"new","error/determine-specific-type.js","v=""() => new Int8Array()"" n=1000000",2820049.163214285,0.354603747
"new","error/determine-specific-type.js","v=""() => new Int16Array()"" n=1000000",2833030.168414153,0.352978945
