"binary","filename","configuration","rate","time"
"old","module/module-loader-circular.js","n=10000",729.2382565104483,13.712939373
"new","module/module-loader-circular.js","n=10000",659.9891083291031,15.151765194
"old","module/module-loader-circular.js","n=10000",729.2382565104483,13.712939373
"new","module/module-loader-circular.js","n=10000",667.3721272339119,14.984143916
"old","module/module-loader-circular.js","n=10000",729.2382565104483,13.712939373
"new","module/module-loader-circular.js","n=10000",668.756317717945,14.953129765
"old","module/module-loader-deep.js","cache=""true"" files=1000 ext='",124579.04739883932,0.008027032
"old","module/module-loader-deep.js","cache=""false"" files=1000 ext='",583.107069471098,1.714950911
"old","module/module-loader-deep.js","cache=""true"" files=1000 ext="".js""",130255.60187010573,0.007677213
"old","module/module-loader-deep.js","cache=""false"" files=1000 ext="".js""",674.7942921990358,1.481933104
"new","module/module-loader-deep.js","cache=""true"" files=1000 ext='",123758.24075185605,0.008080270
"new","module/module-loader-deep.js","cache=""false"" files=1000 ext='",655.0525688988288,1.526595036
"new","module/module-loader-deep.js","cache=""true"" files=1000 ext="".js""",123899.92355374717,0.008071030
"new","module/module-loader-deep.js","cache=""false"" files=1000 ext="".js""",642.2982760074543,1.556909052
"old","module/module-loader-deep.js","cache=""true"" files=1000 ext='",124579.04739883932,0.008027032
"old","module/module-loader-deep.js","cache=""false"" files=1000 ext='",583.107069471098,1.714950911
"old","module/module-loader-deep.js","cache=""true"" files=1000 ext="".js""",130255.60187010573,0.007677213
"old","module/module-loader-deep.js","cache=""false"" files=1000 ext="".js""",674.7942921990358,1.481933104
"new","module/module-loader-deep.js","cache=""true"" files=1000 ext='",132023.4320468134,0.007574413
"new","module/module-loader-deep.js","cache=""false"" files=1000 ext='",672.9029871012801,1.486098322
"new","module/module-loader-deep.js","cache=""true"" files=1000 ext="".js""",121975.12366142975,0.008198393
"new","module/module-loader-deep.js","cache=""false"" files=1000 ext="".js""",657.3537381753436,1.521250952
"old","module/module-loader-deep.js","cache=""true"" files=1000 ext='",124579.04739883932,0.008027032
"old","module/module-loader-deep.js","cache=""false"" files=1000 ext='",583.107069471098,1.714950911
"old","module/module-loader-deep.js","cache=""true"" files=1000 ext="".js""",130255.60187010573,0.007677213
"old","module/module-loader-deep.js","cache=""false"" files=1000 ext="".js""",674.7942921990358,1.481933104
"new","module/module-loader-deep.js","cache=""true"" files=1000 ext='",128629.75481496545,0.007774251
"new","module/module-loader-deep.js","cache=""false"" files=1000 ext='",618.2593195729747,1.617444280
"new","module/module-loader-deep.js","cache=""true"" files=1000 ext="".js""",130108.85427183799,0.007685872
"new","module/module-loader-deep.js","cache=""false"" files=1000 ext="".js""",661.8247571843227,1.510973999
"old","module/module-loader.js","cache=""true"" n=1 files=500 dir=""rel"" name='",3109.4981218413677,0.160797653
"old","module/module-loader.js","cache=""false"" n=1 files=500 dir=""rel"" name='",561.7646869607964,0.890052386
"old","module/module-loader.js","cache=""true"" n=1000 files=500 dir=""rel"" name='",323371.20953363,1.546210625
"old","module/module-loader.js","cache=""false"" n=1000 files=500 dir=""rel"" name='",214824.9595209303,2.327476291
"old","module/module-loader.js","cache=""true"" n=1 files=500 dir=""abs"" name='",2969.030411932899,0.168405146
"old","module/module-loader.js","cache=""false"" n=1 files=500 dir=""abs"" name='",591.0056602668783,0.846015586
"old","module/module-loader.js","cache=""true"" n=1000 files=500 dir=""abs"" name='",327639.916162345,1.526065584
"old","module/module-loader.js","cache=""false"" n=1000 files=500 dir=""abs"" name='",214370.1792600225,2.332413966
"old","module/module-loader.js","cache=""true"" n=1 files=500 dir=""rel"" name=""/""",2794.5354268174437,0.178920616
"old","module/module-loader.js","cache=""false"" n=1 files=500 dir=""rel"" name=""/""",621.0442871363831,0.805095563
"old","module/module-loader.js","cache=""true"" n=1000 files=500 dir=""rel"" name=""/""",310064.1236482642,1.612569665
"old","module/module-loader.js","cache=""false"" n=1000 files=500 dir=""rel"" name=""/""",218933.59346964525,2.283797530
"old","module/module-loader.js","cache=""true"" n=1 files=500 dir=""abs"" name=""/""",3358.7495735395664,0.148864924
"old","module/module-loader.js","cache=""false"" n=1 files=500 dir=""abs"" name=""/""",629.9856798963079,0.793668834
"old","module/module-loader.js","cache=""true"" n=1000 files=500 dir=""abs"" name=""/""",275618.23844379856,1.814103460
"old","module/module-loader.js","cache=""false"" n=1000 files=500 dir=""abs"" name=""/""",223559.83196659986,2.236537734
"old","module/module-loader.js","cache=""true"" n=1 files=500 dir=""rel"" name=""/index.js""",3635.3210527244137,0.137539434
"old","module/module-loader.js","cache=""false"" n=1 files=500 dir=""rel"" name=""/index.js""",666.2538255928225,0.750464734
"old","module/module-loader.js","cache=""true"" n=1000 files=500 dir=""rel"" name=""/index.js""",290800.8026965251,1.719390027
"old","module/module-loader.js","cache=""false"" n=1000 files=500 dir=""rel"" name=""/index.js""",212100.5013299501,2.357373023
"old","module/module-loader.js","cache=""true"" n=1 files=500 dir=""abs"" name=""/index.js""",2396.320911251445,0.208653189
"old","module/module-loader.js","cache=""false"" n=1 files=500 dir=""abs"" name=""/index.js""",693.9672060883476,0.720495141
"old","module/module-loader.js","cache=""true"" n=1000 files=500 dir=""abs"" name=""/index.js""",279188.1397849586,1.790907022
"old","module/module-loader.js","cache=""false"" n=1000 files=500 dir=""abs"" name=""/index.js""",222432.9756872221,2.247868143
"new","module/module-loader.js","cache=""true"" n=1 files=500 dir=""rel"" name='",3434.039282524799,0.145601130
"new","module/module-loader.js","cache=""false"" n=1 files=500 dir=""rel"" name='",540.3074448994171,0.925399057
"new","module/module-loader.js","cache=""true"" n=1000 files=500 dir=""rel"" name='",303967.42280455795,1.644913114
"new","module/module-loader.js","cache=""false"" n=1000 files=500 dir=""rel"" name='",213324.37093369296,2.343848468
"new","module/module-loader.js","cache=""true"" n=1 files=500 dir=""abs"" name='",2722.3561421804725,0.183664434
"new","module/module-loader.js","cache=""false"" n=1 files=500 dir=""abs"" name='",537.266431357079,0.930636963
"new","module/module-loader.js","cache=""true"" n=1000 files=500 dir=""abs"" name='",319243.0959704324,1.566204583
"new","module/module-loader.js","cache=""false"" n=1000 files=500 dir=""abs"" name='",209138.86102314573,2.390756063
"new","module/module-loader.js","cache=""true"" n=1 files=500 dir=""rel"" name=""/""",3392.049437736599,0.147403512
"new","module/module-loader.js","cache=""false"" n=1 files=500 dir=""rel"" name=""/""",599.3478153594124,0.834240131
"new","module/module-loader.js","cache=""true"" n=1000 files=500 dir=""rel"" name=""/""",303114.620332388,1.649541020
"new","module/module-loader.js","cache=""false"" n=1000 files=500 dir=""rel"" name=""/""",210942.04490126795,2.370319299
"new","module/module-loader.js","cache=""true"" n=1 files=500 dir=""abs"" name=""/""",2592.8144069048017,0.192840644
"new","module/module-loader.js","cache=""false"" n=1 files=500 dir=""abs"" name=""/""",593.8364856034676,0.841982620
"new","module/module-loader.js","cache=""true"" n=1000 files=500 dir=""abs"" name=""/""",303142.3334133751,1.649390220
"new","module/module-loader.js","cache=""false"" n=1000 files=500 dir=""abs"" name=""/""",207669.44681978834,2.407672422
