"binary","filename","configuration","rate","time"
"old","napi/define_properties/index.js","implem=""runFastPath"" n=5000000",400711.5546313116,12.477803403
"old","napi/define_properties/index.js","implem=""runSlowPath"" n=5000000",447184.41410417244,11.181069470
"new","napi/define_properties/index.js","implem=""runFastPath"" n=5000000",485864.4163419075,10.290936796
"new","napi/define_properties/index.js","implem=""runSlowPath"" n=5000000",388029.8419869316,12.885606876
"old","napi/define_properties/index.js","implem=""runFastPath"" n=5000000",400711.5546313116,12.477803403
"old","napi/define_properties/index.js","implem=""runSlowPath"" n=5000000",447184.41410417244,11.181069470
"new","napi/define_properties/index.js","implem=""runFastPath"" n=5000000",569593.7783087502,8.778185771
"new","napi/define_properties/index.js","implem=""runSlowPath"" n=5000000",417706.4881767946,11.970127689
"old","napi/define_properties/index.js","implem=""runFastPath"" n=5000000",400711.5546313116,12.477803403
"old","napi/define_properties/index.js","implem=""runSlowPath"" n=5000000",447184.41410417244,11.181069470
"new","napi/define_properties/index.js","implem=""runFastPath"" n=5000000",584854.2168674895,8.549139009
"new","napi/define_properties/index.js","implem=""runSlowPath"" n=5000000",393003.48265294544,12.722533567
"old","napi/function_args/index.js","n=1 engine=""v8"" type=""String""",3438.8013713939868,0.000290799
"old","napi/function_args/index.js","n=10 engine=""v8"" type=""String""",31869.4626808592,0.000313780
"old","napi/function_args/index.js","n=100 engine=""v8"" type=""String""",213156.4419074091,0.000469139
"old","napi/function_args/index.js","n=1000 engine=""v8"" type=""String""",611172.6018656654,0.001636199
"old","napi/function_args/index.js","n=10000 engine=""v8"" type=""String""",600923.8001579829,0.016641045
"old","napi/function_args/index.js","n=100000 engine=""v8"" type=""String""",856949.0422021952,0.116693053
"old","napi/function_args/index.js","n=1 engine=""napi"" type=""String""",3842.902159711013,0.000260220
"old","napi/function_args/index.js","n=10 engine=""napi"" type=""String""",34232.50718882651,0.000292120
"old","napi/function_args/index.js","n=100 engine=""napi"" type=""String""",211006.07697501688,0.000473920
"old","napi/function_args/index.js","n=1000 engine=""napi"" type=""String""",513917.39702894073,0.001945838
"old","napi/function_args/index.js","n=10000 engine=""napi"" type=""String""",598043.7391249484,0.016721185
"old","napi/function_args/index.js","n=100000 engine=""napi"" type=""String""",800725.9958401003,0.124886666
"old","napi/function_args/index.js","n=1 engine=""v8"" type=""Number""",4052.192235999676,0.000246780
"old","napi/function_args/index.js","n=10 engine=""v8"" type=""Number""",41486.8901427149,0.000241040
"old","napi/function_args/index.js","n=100 engine=""v8"" type=""Number""",299868.0580544561,0.000333480
"old","napi/function_args/index.js","n=1000 engine=""v8"" type=""Number""",1239681.2035816868,0.000806659
"old","napi/function_args/index.js","n=10000 engine=""v8"" type=""Number""",1472014.1407566417,0.006793413
"old","napi/function_args/index.js","n=100000 engine=""v8"" type=""Number""",2863653.3320840164,0.034920428
"old","napi/function_args/index.js","n=1 engine=""napi"" type=""Number""",3789.60133393967,0.000263880
"old","napi/function_args/index.js","n=10 engine=""napi"" type=""Number""",35770.496494491344,0.000279560
"old","napi/function_args/index.js","n=100 engine=""napi"" type=""Number""",258839.3642905213,0.000386340
"old","napi/function_args/index.js","n=1000 engine=""napi"" type=""Number""",1008350.147572044,0.000991719
"old","napi/function_args/index.js","n=10000 engine=""napi"" type=""Number""",1141587.4366932688,0.008759732
"old","napi/function_args/index.js","n=100000 engine=""napi"" type=""Number""",2152038.1835274086,0.046467577
"old","napi/function_args/index.js","n=1 engine=""v8"" type=""Object""",3376.3252076440003,0.000296180
"old","napi/function_args/index.js","n=10 engine=""v8"" type=""Object""",28131.056968203466,0.000355479
"old","napi/function_args/index.js","n=100 engine=""v8"" type=""Object""",96640.86033559506,0.001034759
"old","napi/function_args/index.js","n=1000 engine=""v8"" type=""Object""",149855.07515681584,0.006673114
"old","napi/function_args/index.js","n=10000 engine=""v8"" type=""Object""",139073.01770118586,0.071904674
"old","napi/function_args/index.js","n=100000 engine=""v8"" type=""Object""",172715.076687653,0.578988250
"old","napi/function_args/index.js","n=1 engine=""napi"" type=""Object""",3876.2694782541284,0.000257980
"old","napi/function_args/index.js","n=10 engine=""napi"" type=""Object""",30395.136778115502,0.000329000
"old","napi/function_args/index.js","n=100 engine=""napi"" type=""Object""",124325.53397816845,0.000804340
"old","napi/function_args/index.js","n=1000 engine=""napi"" type=""Object""",186213.67087664743,0.005370175
"old","napi/function_args/index.js","n=10000 engine=""napi"" type=""Object""",199395.69545370238,0.050151534
"old","napi/function_args/index.js","n=100000 engine=""napi"" type=""Object""",225674.63542234438,0.443115815
"old","napi/function_args/index.js","n=1 engine=""v8"" type=""Array""",3668.6477364443463,0.000272580
"old","napi/function_args/index.js","n=10 engine=""v8"" type=""Array""",22651.0827217541,0.000441480
"old","napi/function_args/index.js","n=100 engine=""v8"" type=""Array""",45659.22330008429,0.002190138
"old","napi/function_args/index.js","n=1000 engine=""v8"" type=""Array""",49986.5011453657,0.020005401
"old","napi/function_args/index.js","n=10000 engine=""v8"" type=""Array""",60117.770230940245,0.166340168
"old","napi/function_args/index.js","n=100000 engine=""v8"" type=""Array""",65602.31093849424,1.524336545
"old","napi/function_args/index.js","n=1 engine=""napi"" type=""Array""",3401.823377330249,0.000293960
"old","napi/function_args/index.js","n=10 engine=""napi"" type=""Array""",15143.736777624825,0.000660339
"old","napi/function_args/index.js","n=100 engine=""napi"" type=""Array""",26556.21406114356,0.003765597
"old","napi/function_args/index.js","n=1000 engine=""napi"" type=""Array""",27468.704492940626,0.036405066
"old","napi/function_args/index.js","n=10000 engine=""napi"" type=""Array""",33160.15948498081,0.301566704
