"binary","filename","configuration","rate","time"
"old","querystring/querystring-parse.js","n=1000000 type=""noencode""",265295.5744268811,3.769380632
"old","querystring/querystring-parse.js","n=1000000 type=""multicharsep""",246661.62003076405,4.054136999
"old","querystring/querystring-parse.js","n=1000000 type=""encodefake""",250779.75601565314,3.987562696
"old","querystring/querystring-parse.js","n=1000000 type=""encodemany""",108888.29803727027,9.183723302
"old","querystring/querystring-parse.js","n=1000000 type=""encodelast""",198366.11283954847,5.041183626
"old","querystring/querystring-parse.js","n=1000000 type=""multivalue""",197340.54729754062,5.067382318
"old","querystring/querystring-parse.js","n=1000000 type=""multivaluemany""",71632.18040103323,13.960206075
"old","querystring/querystring-parse.js","n=1000000 type=""manypairs""",48970.73951967792,20.420357336
"old","querystring/querystring-parse.js","n=1000000 type=""manyblankpairs""",1824149.1074073587,0.548200800
"old","querystring/querystring-parse.js","n=1000000 type=""altspaces""",171914.27049231346,5.816852767
"new","querystring/querystring-parse.js","n=1000000 type=""noencode""",257821.2659895132,3.878655999
"new","querystring/querystring-parse.js","n=1000000 type=""multicharsep""",238108.95356781187,4.199758073
"new","querystring/querystring-parse.js","n=1000000 type=""encodefake""",248202.10492783948,4.028974695
"new","querystring/querystring-parse.js","n=1000000 type=""encodemany""",111125.6712287109,8.998820785
"new","querystring/querystring-parse.js","n=1000000 type=""encodelast""",192299.96110964048,5.200209060
"new","querystring/querystring-parse.js","n=1000000 type=""multivalue""",209215.52152631158,4.779760090
"new","querystring/querystring-parse.js","n=1000000 type=""multivaluemany""",82022.7226915457,12.191743546
"new","querystring/querystring-parse.js","n=1000000 type=""manypairs""",47893.207564850716,20.879787570
"new","querystring/querystring-parse.js","n=1000000 type=""manyblankpairs""",1836097.4758738352,0.544633394
"new","querystring/querystring-parse.js","n=1000000 type=""altspaces""",184937.35269369982,5.407236480
"old","querystring/querystring-parse.js","n=1000000 type=""noencode""",265295.5744268811,3.769380632
"old","querystring/querystring-parse.js","n=1000000 type=""multicharsep""",246661.62003076405,4.054136999
"old","querystring/querystring-parse.js","n=1000000 type=""encodefake""",250779.75601565314,3.987562696
