"binary","filename","configuration","rate","time"
"old","streams/creation.js","kind=""duplex"" n=50000000",823884.5563274747,60.688114149
"old","streams/creation.js","kind=""readable"" n=50000000",1326278.1870389117,37.699481518
"old","streams/creation.js","kind=""transform"" n=50000000",561790.0993404735,89.001212479
"old","streams/creation.js","kind=""writable"" n=50000000",1265583.33141353,39.507473557
"new","streams/creation.js","kind=""duplex"" n=50000000",816204.0742157267,61.259189435
"new","streams/creation.js","kind=""readable"" n=50000000",1328876.7471061226,37.625761839
"new","streams/creation.js","kind=""transform"" n=50000000",561875.554504885,88.987676362
"new","streams/creation.js","kind=""writable"" n=50000000",1225236.879554796,40.808435360
"old","streams/creation.js","kind=""duplex"" n=50000000",823884.5563274747,60.688114149
"old","streams/creation.js","kind=""readable"" n=50000000",1326278.1870389117,37.699481518
"old","streams/creation.js","kind=""transform"" n=50000000",561790.0993404735,89.001212479
"old","streams/creation.js","kind=""writable"" n=50000000",1265583.33141353,39.507473557
"new","streams/creation.js","kind=""duplex"" n=50000000",795676.651410805,62.839596853
"new","streams/creation.js","kind=""readable"" n=50000000",1325083.1869667426,37.733480050
"new","streams/creation.js","kind=""transform"" n=50000000",576017.3122307328,86.802946610
"new","streams/creation.js","kind=""writable"" n=50000000",1208117.020166117,41.386719304
"old","streams/creation.js","kind=""duplex"" n=50000000",823884.5563274747,60.688114149
"old","streams/creation.js","kind=""readable"" n=50000000",1326278.1870389117,37.699481518
"old","streams/creation.js","kind=""transform"" n=50000000",561790.0993404735,89.001212479
"old","streams/creation.js","kind=""writable"" n=50000000",1265583.33141353,39.507473557
"new","streams/creation.js","kind=""duplex"" n=50000000",820491.4752932875,60.939085299
"new","streams/creation.js","kind=""readable"" n=50000000",1252604.6426388815,39.916824749
"new","streams/creation.js","kind=""transform"" n=50000000",669353.1573670954,74.698982816
"new","streams/creation.js","kind=""writable"" n=50000000",1256443.2576044018,39.794873105
"old","streams/destroy.js","kind=""duplex"" n=1000000",158930.50276310937,6.292058369
"old","streams/destroy.js","kind=""readable"" n=1000000",207301.35733376796,4.823895091
"old","streams/destroy.js","kind=""transform"" n=1000000",139126.50118524313,7.187703216
"old","streams/destroy.js","kind=""writable"" n=1000000",154577.22172715465,6.469258464
"new","streams/destroy.js","kind=""duplex"" n=1000000",155089.38815180975,6.447894417
"new","streams/destroy.js","kind=""readable"" n=1000000",210434.62543598886,4.752069665
"new","streams/destroy.js","kind=""transform"" n=1000000",138093.26626148916,7.241482710
"new","streams/destroy.js","kind=""writable"" n=1000000",155698.96751136595,6.422650169
"old","streams/destroy.js","kind=""duplex"" n=1000000",158930.50276310937,6.292058369
"old","streams/destroy.js","kind=""readable"" n=1000000",207301.35733376796,4.823895091
"old","streams/destroy.js","kind=""transform"" n=1000000",139126.50118524313,7.187703216
"old","streams/destroy.js","kind=""writable"" n=1000000",154577.22172715465,6.469258464
"new","streams/destroy.js","kind=""duplex"" n=1000000",132557.68998520766,7.543885233
"new","streams/destroy.js","kind=""readable"" n=1000000",188240.9001708308,5.312341787
"new","streams/destroy.js","kind=""transform"" n=1000000",138782.1979731887,7.205535109
"new","streams/destroy.js","kind=""writable"" n=1000000",161486.15282707088,6.192481414
"old","streams/destroy.js","kind=""duplex"" n=1000000",158930.50276310937,6.292058369
"old","streams/destroy.js","kind=""readable"" n=1000000",207301.35733376796,4.823895091
"old","streams/destroy.js","kind=""transform"" n=1000000",139126.50118524313,7.187703216
"old","streams/destroy.js","kind=""writable"" n=1000000",154577.22172715465,6.469258464
"new","streams/destroy.js","kind=""duplex"" n=1000000",89417.7736311859,11.183458941
"new","streams/destroy.js","kind=""readable"" n=1000000",204492.75101448328,4.890148893
"new","streams/destroy.js","kind=""transform"" n=1000000",146946.67678623184,6.805189623
"new","streams/destroy.js","kind=""writable"" n=1000000",147938.45774537412,6.759567561
"old","streams/pipe-object-mode.js","n=5000000",1948213.7821225927,2.566453459
"new","streams/pipe-object-mode.js","n=5000000",1896488.0598185165,2.636452138
"old","streams/pipe-object-mode.js","n=5000000",1948213.7821225927,2.566453459
"new","streams/pipe-object-mode.js","n=5000000",1988805.8986041879,2.514071385
"old","streams/pipe-object-mode.js","n=5000000",1948213.7821225927,2.566453459
"new","streams/pipe-object-mode.js","n=5000000",1880125.2279518351,2.659397324
"old","streams/pipe.js","n=5000000",1620696.6882695216,3.085092995
"new","streams/pipe.js","n=5000000",1567363.2101602762,3.190071049
"old","streams/pipe.js","n=5000000",1620696.6882695216,3.085092995
"new","streams/pipe.js","n=5000000",1574971.7241625178,3.174660169
"old","streams/pipe.js","n=5000000",1620696.6882695216,3.085092995
"new","streams/pipe.js","n=5000000",1629733.979637242,3.067985366
"old","streams/readable-async-iterator.js","sync=""yes"" n=100000",307857.89355982037,0.324825194
"old","streams/readable-async-iterator.js","sync=""no"" n=100000",139128.26060713304,0.718761232
"new","streams/readable-async-iterator.js","sync=""yes"" n=100000",320261.613256963,0.312244727
"new","streams/readable-async-iterator.js","sync=""no"" n=100000",147020.39066963908,0.680177760
"old","streams/readable-async-iterator.js","sync=""yes"" n=100000",307857.89355982037,0.324825194
"old","streams/readable-async-iterator.js","sync=""no"" n=100000",139128.26060713304,0.718761232
"new","streams/readable-async-iterator.js","sync=""yes"" n=100000",319246.65043780574,0.313237429
"new","streams/readable-async-iterator.js","sync=""no"" n=100000",137130.0329929237,0.729234857
"old","streams/readable-async-iterator.js","sync=""yes"" n=100000",307857.89355982037,0.324825194
"old","streams/readable-async-iterator.js","sync=""no"" n=100000",139128.26060713304,0.718761232
"new","streams/readable-async-iterator.js","sync=""yes"" n=100000",308137.17433798604,0.324530788
"new","streams/readable-async-iterator.js","sync=""no"" n=100000",146443.20343722583,0.682858594
"old","streams/readable-bigread.js","n=1000",188.77055099848963,5.297436463
"new","streams/readable-bigread.js","n=1000",177.80181310589646,5.624239610
"old","streams/readable-bigread.js","n=1000",188.77055099848963,5.297436463
"new","streams/readable-bigread.js","n=1000",195.4223089786361,5.117123041
"old","streams/readable-bigread.js","n=1000",188.77055099848963,5.297436463
"new","streams/readable-bigread.js","n=1000",180.88245049294406,5.528452303
"old","streams/readable-bigunevenread.js","n=1000",74.45160268188536,13.431544305
"new","streams/readable-bigunevenread.js","n=1000",75.18902284814409,13.299813751
"old","streams/readable-bigunevenread.js","n=1000",74.45160268188536,13.431544305
"new","streams/readable-bigunevenread.js","n=1000",69.72339396363886,14.342388446
"old","streams/readable-bigunevenread.js","n=1000",74.45160268188536,13.431544305
"new","streams/readable-bigunevenread.js","n=1000",72.7856980876835,13.738962822
"old","streams/readable-boundaryread.js","type=""string"" n=2000",46.55118935080483,42.963456528
"old","streams/readable-boundaryread.js","type=""buffer"" n=2000",285.7202478795154,6.999853930
"new","streams/readable-boundaryread.js","type=""string"" n=2000",43.56605122379288,45.907304973
"new","streams/readable-boundaryread.js","type=""buffer"" n=2000",277.44460487888347,7.208646212
"old","streams/readable-boundaryread.js","type=""string"" n=2000",46.55118935080483,42.963456528
"old","streams/readable-boundaryread.js","type=""buffer"" n=2000",285.7202478795154,6.999853930
"new","streams/readable-boundaryread.js","type=""string"" n=2000",45.397286934720256,44.055496155
"new","streams/readable-boundaryread.js","type=""buffer"" n=2000",278.9652303210226,7.169352244
"old","streams/readable-boundaryread.js","type=""string"" n=2000",46.55118935080483,42.963456528
"old","streams/readable-boundaryread.js","type=""buffer"" n=2000",285.7202478795154,6.999853930
"new","streams/readable-boundaryread.js","type=""string"" n=2000",44.70195628914049,44.740771233
"new","streams/readable-boundaryread.js","type=""buffer"" n=2000",282.47805353780956,7.080196054
"old","streams/readable-from.js","n=10000000",1279050.2562738347,7.818301080
"new","streams/readable-from.js","n=10000000",1605274.6445599638,6.229463621
"old","streams/readable-from.js","n=10000000",1279050.2562738347,7.818301080
"new","streams/readable-from.js","n=10000000",1670861.7270524728,5.984935700
"old","streams/readable-from.js","n=10000000",1279050.2562738347,7.818301080
"new","streams/readable-from.js","n=10000000",1313046.7170858416,7.615875254
"old","streams/readable-readall.js","n=5000",300.1765701502633,16.656862984
"new","streams/readable-readall.js","n=5000",294.7338179600711,16.964459778
"old","streams/readable-readall.js","n=5000",300.1765701502633,16.656862984
"new","streams/readable-readall.js","n=5000",334.72631171908546,14.937576835
"old","streams/readable-readall.js","n=5000",300.1765701502633,16.656862984
"new","streams/readable-readall.js","n=5000",291.2164201240646,17.169361528
"old","streams/readable-unevenread.js","n=1000",21.05562071465374,47.493256720
"new","streams/readable-unevenread.js","n=1000",20.138074290204635,49.657180999
"old","streams/readable-unevenread.js","n=1000",21.05562071465374,47.493256720
"new","streams/readable-unevenread.js","n=1000",19.5111697393605,51.252693373
"old","streams/readable-unevenread.js","n=1000",21.05562071465374,47.493256720
