"binary","filename","configuration","rate","time"
"old","util/format.js","type=""string"" n=100000",1183467.7227995743,0.084497446
"old","util/format.js","type=""string-2"" n=100000",984629.0833811183,0.101561087
"old","util/format.js","type=""number"" n=100000",1170676.3463181867,0.085420706
"old","util/format.js","type=""replace-object"" n=100000",441154.6950627356,0.226677855
"old","util/format.js","type=""unknown"" n=100000",1452822.2699755218,0.068831544
"old","util/format.js","type=""no-replace"" n=100000",725346.160393519,0.137865209
"old","util/format.js","type=""no-replace-2"" n=100000",1545453.550744442,0.064705924
"old","util/format.js","type=""only-objects"" n=100000",55709.30159089231,1.795032376
"old","util/format.js","type=""many-%"" n=100000",587510.544565815,0.170209711
"old","util/format.js","type=""object-to-string"" n=100000",721897.5620284886,0.138523809
"old","util/format.js","type=""object-%s"" n=100000",73168.365263925,1.366710868
"new","util/format.js","type=""string"" n=100000",1270214.704899655,0.078726848
"new","util/format.js","type=""string-2"" n=100000",983851.6299794625,0.101641342
"new","util/format.js","type=""number"" n=100000",1142556.6308765372,0.087523014
"new","util/format.js","type=""replace-object"" n=100000",404990.8627783999,0.246919151
"new","util/format.js","type=""unknown"" n=100000",1471926.7795322458,0.067938162
"new","util/format.js","type=""no-replace"" n=100000",738417.2806834035,0.135424783
"new","util/format.js","type=""no-replace-2"" n=100000",1560368.6583165408,0.064087419
"new","util/format.js","type=""only-objects"" n=100000",55865.0107823102,1.790029190
"new","util/format.js","type=""many-%"" n=100000",568025.5240224327,0.176048427
"new","util/format.js","type=""object-to-string"" n=100000",759945.9830395256,0.131588300
"new","util/format.js","type=""object-%s"" n=100000",71842.05591825274,1.391942348
"old","util/format.js","type=""string"" n=100000",1183467.7227995743,0.084497446
"old","util/format.js","type=""string-2"" n=100000",984629.0833811183,0.101561087
"old","util/format.js","type=""number"" n=100000",1170676.3463181867,0.085420706
"old","util/format.js","type=""replace-object"" n=100000",441154.6950627356,0.226677855
"old","util/format.js","type=""unknown"" n=100000",1452822.2699755218,0.068831544
"old","util/format.js","type=""no-replace"" n=100000",725346.160393519,0.137865209
"old","util/format.js","type=""no-replace-2"" n=100000",1545453.550744442,0.064705924
