"binary","filename","configuration","rate","time"
"old","validators/parse-file-mode.js","value=""'777'"" n=10000000",2056836.013127932,4.861836304
"old","validators/parse-file-mode.js","value=""0o777"" n=10000000",47648359.75548444,0.209870813
"new","validators/parse-file-mode.js","value=""'777'"" n=10000000",2093209.1595609281,4.777353450
"new","validators/parse-file-mode.js","value=""0o777"" n=10000000",47719124.84938353,0.209559585
"old","validators/parse-file-mode.js","value=""'777'"" n=10000000",2056836.013127932,4.861836304
"old","validators/parse-file-mode.js","value=""0o777"" n=10000000",47648359.75548444,0.209870813
"new","validators/parse-file-mode.js","value=""'777'"" n=10000000",2007341.7250940662,4.981712817
"new","validators/parse-file-mode.js","value=""0o777"" n=10000000",47684387.94637094,0.209712244
"old","validators/parse-file-mode.js","value=""'777'"" n=10000000",2056836.013127932,4.861836304
"old","validators/parse-file-mode.js","value=""0o777"" n=10000000",47648359.75548444,0.209870813
"new","validators/parse-file-mode.js","value=""'777'"" n=10000000",2048361.9686457184,4.881949652
"new","validators/parse-file-mode.js","value=""0o777"" n=10000000",47736855.58640242,0.209481749
"old","validators/validate-array.js","value=""[]"" n=10000000",65137335.81939095,0.153521784
"old","validators/validate-array.js","value=""[1,2,3]"" n=10000000",65085410.542888865,0.153644264
"new","validators/validate-array.js","value=""[]"" n=10000000",63712379.281526834,0.156955369
"new","validators/validate-array.js","value=""[1,2,3]"" n=10000000",64851471.38844522,0.154198506
"old","validators/validate-array.js","value=""[]"" n=10000000",65137335.81939095,0.153521784
"old","validators/validate-array.js","value=""[1,2,3]"" n=10000000",65085410.542888865,0.153644264
"new","validators/validate-array.js","value=""[]"" n=10000000",64868175.73655445,0.154158798
"new","validators/validate-array.js","value=""[1,2,3]"" n=10000000",65123610.47380422,0.153554140
"old","validators/validate-array.js","value=""[]"" n=10000000",65137335.81939095,0.153521784
"old","validators/validate-array.js","value=""[1,2,3]"" n=10000000",65085410.542888865,0.153644264
"new","validators/validate-array.js","value=""[]"" n=10000000",63423531.446839295,0.157670186
"new","validators/validate-array.js","value=""[1,2,3]"" n=10000000",64927175.86159271,0.154018712
"old","validators/validate-boolean.js","value=""true"" code=""validateBoolean"" n=100000000",81990449.20805967,1.219654252
"old","validators/validate-boolean.js","value=""false"" code=""validateBoolean"" n=100000000",81092987.30689664,1.233152253
"new","validators/validate-boolean.js","value=""true"" code=""validateBoolean"" n=100000000",81851907.79550874,1.221718622
"new","validators/validate-boolean.js","value=""false"" code=""validateBoolean"" n=100000000",81711096.84814863,1.223823983
"old","validators/validate-boolean.js","value=""true"" code=""validateBoolean"" n=100000000",81990449.20805967,1.219654252
"old","validators/validate-boolean.js","value=""false"" code=""validateBoolean"" n=100000000",81092987.30689664,1.233152253
"new","validators/validate-boolean.js","value=""true"" code=""validateBoolean"" n=100000000",82467942.23681429,1.212592400
"new","validators/validate-boolean.js","value=""false"" code=""validateBoolean"" n=100000000",82302204.946192,1.215034276
"old","validators/validate-boolean.js","value=""true"" code=""validateBoolean"" n=100000000",81990449.20805967,1.219654252
"old","validators/validate-boolean.js","value=""false"" code=""validateBoolean"" n=100000000",81092987.30689664,1.233152253
"new","validators/validate-boolean.js","value=""true"" code=""validateBoolean"" n=100000000",82272510.48615801,1.215472816
"new","validators/validate-boolean.js","value=""false"" code=""validateBoolean"" n=100000000",81580645.2333971,1.225780940
"old","validators/validate-encoding.js","value=""test"" encoding=""ascii"" n=100000000",13384725.08462785,7.471203134
"old","validators/validate-encoding.js","value=""test"" encoding=""utf8"" n=100000000",25407186.24411826,3.935894319
"old","validators/validate-encoding.js","value=""test"" encoding=""utf-8"" n=100000000",24469999.970046274,4.086636703
"old","validators/validate-encoding.js","value=""test"" encoding=""utf16le"" n=100000000",21536509.104812276,4.643278050
"old","validators/validate-encoding.js","value=""test"" encoding=""ucs2"" n=100000000",10040164.877382796,9.959995799
"old","validators/validate-encoding.js","value=""test"" encoding=""ucs-2"" n=100000000",9327186.237563593,10.721346980
"old","validators/validate-encoding.js","value=""test"" encoding=""base64"" n=100000000",21586538.111058183,4.632516779
"old","validators/validate-encoding.js","value=""test"" encoding=""latin1"" n=100000000",13418069.389739776,7.452636970
"old","validators/validate-encoding.js","value=""test"" encoding=""binary"" n=100000000",9161828.920412352,10.914851267
"old","validators/validate-encoding.js","value=""test"" encoding=""hex"" n=100000000",21022160.61214633,4.756884977
"new","validators/validate-encoding.js","value=""test"" encoding=""ascii"" n=100000000",13704338.90463383,7.296959065
"new","validators/validate-encoding.js","value=""test"" encoding=""utf8"" n=100000000",25411316.268497724,3.935254630
"new","validators/validate-encoding.js","value=""test"" encoding=""utf-8"" n=100000000",24478015.295026176,4.085298534
"new","validators/validate-encoding.js","value=""test"" encoding=""utf16le"" n=100000000",21567071.37282568,4.636698153
"new","validators/validate-encoding.js","value=""test"" encoding=""ucs2"" n=100000000",10070497.614217645,9.929995898
"new","validators/validate-encoding.js","value=""test"" encoding=""ucs-2"" n=100000000",9359371.203104915,10.684478458
"new","validators/validate-encoding.js","value=""test"" encoding=""base64"" n=100000000",21547394.616215732,4.640932316
"new","validators/validate-encoding.js","value=""test"" encoding=""latin1"" n=100000000",13392801.726552641,7.466697562
"new","validators/validate-encoding.js","value=""test"" encoding=""binary"" n=100000000",9197903.210002052,10.872043086
"new","validators/validate-encoding.js","value=""test"" encoding=""hex"" n=100000000",21149632.89643138,4.728214456
"old","validators/validate-encoding.js","value=""test"" encoding=""ascii"" n=100000000",13384725.08462785,7.471203134
"old","validators/validate-encoding.js","value=""test"" encoding=""utf8"" n=100000000",25407186.24411826,3.935894319
"old","validators/validate-encoding.js","value=""test"" encoding=""utf-8"" n=100000000",24469999.970046274,4.086636703
"old","validators/validate-encoding.js","value=""test"" encoding=""utf16le"" n=100000000",21536509.104812276,4.643278050
"old","validators/validate-encoding.js","value=""test"" encoding=""ucs2"" n=100000000",10040164.877382796,9.959995799
