"binary","filename","configuration","rate","time"
"old","zlib/createInflate.js","n=100 chunkLen=1024 inputLen=16777216",6.200044748351768,16.128915848
"new","zlib/createInflate.js","n=100 chunkLen=1024 inputLen=16777216",6.0874340706198,16.427282635
"old","zlib/createInflate.js","n=100 chunkLen=1024 inputLen=16777216",6.200044748351768,16.128915848
"new","zlib/createInflate.js","n=100 chunkLen=1024 inputLen=16777216",6.062469194070522,16.494929178
"old","zlib/createInflate.js","n=100 chunkLen=1024 inputLen=16777216",6.200044748351768,16.128915848
"new","zlib/createInflate.js","n=100 chunkLen=1024 inputLen=16777216",5.6467654084576715,17.709253487
"old","zlib/creation.js","n=500000 options=""true"" type=""Deflate""",40743.96831946224,12.271755075
"old","zlib/creation.js","n=500000 options=""false"" type=""Deflate""",41812.33746359048,11.958192972
"old","zlib/creation.js","n=500000 options=""true"" type=""DeflateRaw""",41255.40155920602,12.119625094
"old","zlib/creation.js","n=500000 options=""false"" type=""DeflateRaw""",42537.67221518141,11.754286823
"old","zlib/creation.js","n=500000 options=""true"" type=""Inflate""",40382.13344743946,12.381713330
"old","zlib/creation.js","n=500000 options=""false"" type=""Inflate""",41670.23802136133,11.998971538
"old","zlib/creation.js","n=500000 options=""true"" type=""InflateRaw""",40335.42002089095,12.396052892
"old","zlib/creation.js","n=500000 options=""false"" type=""InflateRaw""",41833.01106490982,11.952283311
"old","zlib/creation.js","n=500000 options=""true"" type=""Gzip""",41029.85721841999,12.186247623
"old","zlib/creation.js","n=500000 options=""false"" type=""Gzip""",43292.1003394915,11.549451195
"old","zlib/creation.js","n=500000 options=""true"" type=""Gunzip""",40008.72956551717,12.497272606
"old","zlib/creation.js","n=500000 options=""false"" type=""Gunzip""",41141.17070580414,12.153275938
"old","zlib/creation.js","n=500000 options=""true"" type=""Unzip""",39418.156566010555,12.684509971
"old","zlib/creation.js","n=500000 options=""false"" type=""Unzip""",40423.968754253256,12.368899329
"old","zlib/creation.js","n=500000 options=""true"" type=""BrotliCompress""",39297.27970024734,12.723527018
"old","zlib/creation.js","n=500000 options=""false"" type=""BrotliCompress""",37945.311932373705,13.176858340
"old","zlib/creation.js","n=500000 options=""true"" type=""BrotliDecompress""",39405.99935023038,12.688423292
"old","zlib/creation.js","n=500000 options=""false"" type=""BrotliDecompress""",40570.608859571235,12.324192662
"new","zlib/creation.js","n=500000 options=""true"" type=""Deflate""",40549.700127088756,12.330547413
"new","zlib/creation.js","n=500000 options=""false"" type=""Deflate""",43105.558099699236,11.599432232
"new","zlib/creation.js","n=500000 options=""true"" type=""DeflateRaw""",41471.828233322194,12.056377095
"new","zlib/creation.js","n=500000 options=""false"" type=""DeflateRaw""",41924.509344629856,11.926198012
