"binary","filename","configuration","rate","time"
"old","async_hooks/async-local-storage-getstore-nested-resources.js","n=10000 resourceCount=10",2449043.3669252284,0.004083227
"old","async_hooks/async-local-storage-getstore-nested-resources.js","n=10000 resourceCount=100",2574306.057187694,0.003884542
"old","async_hooks/async-local-storage-getstore-nested-resources.js","n=10000 resourceCount=1000",3277291.646183594,0.003051300
"new","async_hooks/async-local-storage-getstore-nested-resources.js","n=10000 resourceCount=10",2132109.3320080144,0.004690191
"new","async_hooks/async-local-storage-getstore-nested-resources.js","n=10000 resourceCount=100",2884198.2851710673,0.003467168
"new","async_hooks/async-local-storage-getstore-nested-resources.js","n=10000 resourceCount=1000",2872533.068600686,0.003481248
"old","async_hooks/async-local-storage-getstore-nested-resources.js","n=10000 resourceCount=10",2449043.3669252284,0.004083227
"old","async_hooks/async-local-storage-getstore-nested-resources.js","n=10000 resourceCount=100",2574306.057187694,0.003884542
"old","async_hooks/async-local-storage-getstore-nested-resources.js","n=10000 resourceCount=1000",3277291.646183594,0.003051300
"new","async_hooks/async-local-storage-getstore-nested-resources.js","n=10000 resourceCount=10",2172670.3704902693,0.004602631
"new","async_hooks/async-local-storage-getstore-nested-resources.js","n=10000 resourceCount=100",2827372.243064668,0.003536853
"new","async_hooks/async-local-storage-getstore-nested-resources.js","n=10000 resourceCount=1000",2682609.954146148,0.003727713
"old","async_hooks/async-local-storage-getstore-nested-resources.js","n=10000 resourceCount=10",2449043.3669252284,0.004083227
"old","async_hooks/async-local-storage-getstore-nested-resources.js","n=10000 resourceCount=100",2574306.057187694,0.003884542
"old","async_hooks/async-local-storage-getstore-nested-resources.js","n=10000 resourceCount=1000",3277291.646183594,0.003051300
"new","async_hooks/async-local-storage-getstore-nested-resources.js","n=10000 resourceCount=10",2064626.1003424805,0.004843492
"new","async_hooks/async-local-storage-getstore-nested-resources.js","n=10000 resourceCount=100",2811069.429198297,0.003557365
"new","async_hooks/async-local-storage-getstore-nested-resources.js","n=10000 resourceCount=1000",2899436.5235060216,0.003448946
"old","async_hooks/async-local-storage-getstore-nested-run.js","n=10000 sotrageCount=1",24330.55541244458,0.411005825
"old","async_hooks/async-local-storage-getstore-nested-run.js","n=10000 sotrageCount=10",24239.71967733782,0.412546025
"old","async_hooks/async-local-storage-getstore-nested-run.js","n=10000 sotrageCount=100",650206.7267266954,0.015379724
"new","async_hooks/async-local-storage-getstore-nested-run.js","n=10000 sotrageCount=1",936999.437331838,0.010672365
"new","async_hooks/async-local-storage-getstore-nested-run.js","n=10000 sotrageCount=10",924232.7828140763,0.010819785
"new","async_hooks/async-local-storage-getstore-nested-run.js","n=10000 sotrageCount=100",842494.9747280995,0.011869507
"old","async_hooks/async-local-storage-getstore-nested-run.js","n=10000 sotrageCount=1",24330.55541244458,0.411005825
"old","async_hooks/async-local-storage-getstore-nested-run.js","n=10000 sotrageCount=10",24239.71967733782,0.412546025
"old","async_hooks/async-local-storage-getstore-nested-run.js","n=10000 sotrageCount=100",650206.7267266954,0.015379724
"new","async_hooks/async-local-storage-getstore-nested-run.js","n=10000 sotrageCount=1",929254.1183845586,0.010761319
"new","async_hooks/async-local-storage-getstore-nested-run.js","n=10000 sotrageCount=10",939380.0223365781,0.010645319
"new","async_hooks/async-local-storage-getstore-nested-run.js","n=10000 sotrageCount=100",827061.7242781323,0.012090996
"old","async_hooks/async-local-storage-getstore-nested-run.js","n=10000 sotrageCount=1",24330.55541244458,0.411005825
"old","async_hooks/async-local-storage-getstore-nested-run.js","n=10000 sotrageCount=10",24239.71967733782,0.412546025
"old","async_hooks/async-local-storage-getstore-nested-run.js","n=10000 sotrageCount=100",650206.7267266954,0.015379724
"new","async_hooks/async-local-storage-getstore-nested-run.js","n=10000 sotrageCount=1",913918.7263043722,0.010941892
"new","async_hooks/async-local-storage-getstore-nested-run.js","n=10000 sotrageCount=10",901004.0699254842,0.011098729
"new","async_hooks/async-local-storage-getstore-nested-run.js","n=10000 sotrageCount=100",852052.718546623,0.011736363
"old","async_hooks/async-local-storage-propagate-asyncresource.js","n=1000 storageCount=0",204506.9654049882,0.004889809
"old","async_hooks/async-local-storage-propagate-asyncresource.js","n=1000 storageCount=1",2784.441402392711,0.359138461
"old","async_hooks/async-local-storage-propagate-asyncresource.js","n=1000 storageCount=10",2330.002531804051,0.429184083
"old","async_hooks/async-local-storage-propagate-asyncresource.js","n=1000 storageCount=100",1367.3292832338068,0.731352727
"new","async_hooks/async-local-storage-propagate-asyncresource.js","n=1000 storageCount=0",194110.98334294828,0.005151692
"new","async_hooks/async-local-storage-propagate-asyncresource.js","n=1000 storageCount=1",85444.91208444828,0.011703447
"new","async_hooks/async-local-storage-propagate-asyncresource.js","n=1000 storageCount=10",58116.08571890179,0.017206940
"new","async_hooks/async-local-storage-propagate-asyncresource.js","n=1000 storageCount=100",9700.09075113904,0.103091819
"old","async_hooks/async-local-storage-propagate-asyncresource.js","n=1000 storageCount=0",204506.9654049882,0.004889809
"old","async_hooks/async-local-storage-propagate-asyncresource.js","n=1000 storageCount=1",2784.441402392711,0.359138461
"old","async_hooks/async-local-storage-propagate-asyncresource.js","n=1000 storageCount=10",2330.002531804051,0.429184083
"old","async_hooks/async-local-storage-propagate-asyncresource.js","n=1000 storageCount=100",1367.3292832338068,0.731352727
"new","async_hooks/async-local-storage-propagate-asyncresource.js","n=1000 storageCount=0",186860.35365190532,0.005351590
"new","async_hooks/async-local-storage-propagate-asyncresource.js","n=1000 storageCount=1",87134.1389988183,0.011476558
"new","async_hooks/async-local-storage-propagate-asyncresource.js","n=1000 storageCount=10",56568.74899060139,0.017677605
"new","async_hooks/async-local-storage-propagate-asyncresource.js","n=1000 storageCount=100",9844.556422992237,0.101578980
"old","async_hooks/async-local-storage-propagate-asyncresource.js","n=1000 storageCount=0",204506.9654049882,0.004889809
"old","async_hooks/async-local-storage-propagate-asyncresource.js","n=1000 storageCount=1",2784.441402392711,0.359138461
"old","async_hooks/async-local-storage-propagate-asyncresource.js","n=1000 storageCount=10",2330.002531804051,0.429184083
"old","async_hooks/async-local-storage-propagate-asyncresource.js","n=1000 storageCount=100",1367.3292832338068,0.731352727
"new","async_hooks/async-local-storage-propagate-asyncresource.js","n=1000 storageCount=0",195842.30699104158,0.005106149
