"binary","filename","configuration","rate","time"
"old","blob/blob.js","operation=""arrayBuffer"" n=1000 bytes=128",189.09420144786932,5.288369460
"old","blob/blob.js","operation=""text"" n=1000 bytes=1024",47.94577745747092,20.856894038
"old","blob/blob.js","operation=""arrayBuffer"" n=1000 bytes=1024",48.5225260322224,20.608984770
"new","blob/blob.js","operation=""arrayBuffer"" n=1000 bytes=128",455.9613671301966,2.193168264
"old","blob/blob.js","operation=""arrayBuffer"" n=1000 bytes=128",189.09420144786932,5.288369460
"old","blob/blob.js","operation=""text"" n=1000 bytes=1024",47.94577745747092,20.856894038
"old","blob/blob.js","operation=""arrayBuffer"" n=1000 bytes=1024",48.5225260322224,20.608984770
"new","blob/blob.js","operation=""arrayBuffer"" n=1000 bytes=128",471.1554714499483,2.122441658
"old","blob/blob.js","operation=""arrayBuffer"" n=1000 bytes=128",189.09420144786932,5.288369460
"old","blob/blob.js","operation=""text"" n=1000 bytes=1024",47.94577745747092,20.856894038
"old","blob/blob.js","operation=""arrayBuffer"" n=1000 bytes=1024",48.5225260322224,20.608984770
"new","blob/blob.js","operation=""arrayBuffer"" n=1000 bytes=128",467.6157631874665,2.138507892
"old","blob/clone.js","n=50000",5675.892270363235,8.809187634
"new","blob/clone.js","n=50000",4133.763948063948,12.095514071
"old","blob/clone.js","n=50000",5675.892270363235,8.809187634
"new","blob/clone.js","n=50000",4162.693148842429,12.011454655
"old","blob/clone.js","n=50000",5675.892270363235,8.809187634
"new","blob/clone.js","n=50000",4357.5678960584655,11.474290520
"old","blob/creation.js","kind=""Blob"" n=50000",13760.763558481298,3.633519302
"old","blob/creation.js","kind=""createBlob"" n=50000",56290.3320228944,0.888252000
"new","blob/creation.js","kind=""Blob"" n=50000",11857.957366885716,4.216577818
"new","blob/creation.js","kind=""createBlob"" n=50000",14554.395750041922,3.435388240
"old","blob/creation.js","kind=""Blob"" n=50000",13760.763558481298,3.633519302
"old","blob/creation.js","kind=""createBlob"" n=50000",56290.3320228944,0.888252000
"new","blob/creation.js","kind=""Blob"" n=50000",11974.748886300635,4.175452903
"new","blob/creation.js","kind=""createBlob"" n=50000",14455.187958371878,3.458965746
"old","blob/creation.js","kind=""Blob"" n=50000",13760.763558481298,3.633519302
"old","blob/creation.js","kind=""createBlob"" n=50000",56290.3320228944,0.888252000
"new","blob/creation.js","kind=""Blob"" n=50000",11992.679044132738,4.169210217
"new","blob/creation.js","kind=""createBlob"" n=50000",14423.405142916474,3.466587779
"old","blob/file.js","operation=""text"" n=1000 bytes=128",169.4388728970636,5.901833404
"old","blob/file.js","operation=""arrayBuffer"" n=1000 bytes=128",187.7803394517139,5.325371138
"old","blob/file.js","operation=""text"" n=1000 bytes=1024",47.1816138726825,21.194696788
"old","blob/file.js","operation=""arrayBuffer"" n=1000 bytes=1024",48.07268835842796,20.801832270
"new","blob/file.js","operation=""text"" n=1000 bytes=128",447.75936623601996,2.233342450
"new","blob/file.js","operation=""arrayBuffer"" n=1000 bytes=128",463.373871542425,2.158084565
"new","blob/file.js","operation=""text"" n=1000 bytes=1024",59.2846529295537,16.867771853
"new","blob/file.js","operation=""arrayBuffer"" n=1000 bytes=1024",56.80511954549361,17.604047100
"old","blob/file.js","operation=""text"" n=1000 bytes=128",169.4388728970636,5.901833404
"old","blob/file.js","operation=""arrayBuffer"" n=1000 bytes=128",187.7803394517139,5.325371138
"old","blob/file.js","operation=""text"" n=1000 bytes=1024",47.1816138726825,21.194696788
"old","blob/file.js","operation=""arrayBuffer"" n=1000 bytes=1024",48.07268835842796,20.801832270
"new","blob/file.js","operation=""text"" n=1000 bytes=128",445.98173197815515,2.242244308
"new","blob/file.js","operation=""arrayBuffer"" n=1000 bytes=128",470.1770341694774,2.126858454
"new","blob/file.js","operation=""text"" n=1000 bytes=1024",57.2626072692713,17.463403217
"new","blob/file.js","operation=""arrayBuffer"" n=1000 bytes=1024",58.75432964753287,17.020022286
"old","blob/file.js","operation=""text"" n=1000 bytes=128",169.4388728970636,5.901833404
"old","blob/file.js","operation=""arrayBuffer"" n=1000 bytes=128",187.7803394517139,5.325371138
"old","blob/file.js","operation=""text"" n=1000 bytes=1024",47.1816138726825,21.194696788
"old","blob/file.js","operation=""arrayBuffer"" n=1000 bytes=1024",48.07268835842796,20.801832270
"new","blob/file.js","operation=""text"" n=1000 bytes=128",452.57556959547753,2.209575742
"new","blob/file.js","operation=""arrayBuffer"" n=1000 bytes=128",461.85381397260784,2.165187273
"new","blob/file.js","operation=""text"" n=1000 bytes=1024",58.83092990324488,16.997861527
"new","blob/file.js","operation=""arrayBuffer"" n=1000 bytes=1024",57.094522251437084,17.514815092
"old","blob/resolveObjectURL.js","n=50000",20515.382608465734,2.437195589
