"binary","filename","configuration","rate","time"
"old","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=1 requests=100",1,8.924088119
"old","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=10 requests=100",1,8.896294492
"old","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=20 requests=100",1,8.870815404
"old","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=40 requests=100",1,8.911749765
"old","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=100 requests=100",1,8.866071566
"old","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=200 requests=100",1,8.882039338
"old","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=1 requests=1000",1,8.887852776
"old","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=10 requests=1000",1,8.835432621
"old","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=20 requests=1000",1,8.852987052
"old","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=40 requests=1000",1,8.865792106
"old","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=100 requests=1000",1,8.893402113
"old","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=200 requests=1000",1,8.886020637
"old","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=1 requests=5000",1,8.902692689
"old","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=10 requests=5000",1,8.917745762
"old","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=20 requests=5000",1,9.065598794
"old","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=40 requests=5000",1,8.981129733
"old","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=100 requests=5000",1,8.911851805
"old","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=200 requests=5000",1,8.870717764
"new","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=1 requests=100",517,5.486588459
"new","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=10 requests=100",505,5.481551254
"new","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=20 requests=100",522,5.570954537
"new","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=40 requests=100",492,5.503773400
"new","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=100 requests=100",502,5.518709777
"new","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=200 requests=100",510,5.463559853
"new","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=1 requests=1000",504,5.494998069
"new","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=10 requests=1000",508,5.468548499
"new","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=20 requests=1000",519,5.574401482
"new","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=40 requests=1000",506,5.476492628
"new","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=100 requests=1000",524,5.545561728
"new","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=200 requests=1000",507,5.469923880
"new","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=1 requests=5000",527,5.463570053
"new","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=10 requests=5000",516,5.474733086
"new","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=20 requests=5000",526,5.469818120
"new","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=40 requests=5000",485,5.539211581
"new","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=100 requests=5000",489,5.492527926
"new","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=200 requests=5000",507,5.484327577
"old","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=1 requests=100",1,8.924088119
"old","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=10 requests=100",1,8.896294492
"old","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=20 requests=100",1,8.870815404
"old","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=40 requests=100",1,8.911749765
"old","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=100 requests=100",1,8.866071566
"old","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=200 requests=100",1,8.882039338
"old","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=1 requests=1000",1,8.887852776
"old","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=10 requests=1000",1,8.835432621
"old","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=20 requests=1000",1,8.852987052
"old","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=40 requests=1000",1,8.865792106
"old","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=100 requests=1000",1,8.893402113
"old","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=200 requests=1000",1,8.886020637
"old","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=1 requests=5000",1,8.902692689
"old","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=10 requests=5000",1,8.917745762
"old","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=20 requests=5000",1,9.065598794
"old","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=40 requests=5000",1,8.981129733
"old","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=100 requests=5000",1,8.911851805
"old","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=200 requests=5000",1,8.870717764
"new","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=1 requests=100",507,5.528116813
"new","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=10 requests=100",484,5.496480621
"new","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=20 requests=100",517,5.509078330
"new","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=40 requests=100",512,5.461222831
