"binary","filename","configuration","rate","time"
"old","misc/arguments.js","n=1000000 method=""restAndSpread""",337709.6214741284,2.961123807
"old","misc/arguments.js","n=1000000 method=""argumentsAndApply""",333659.4313746742,2.997067986
"old","misc/arguments.js","n=1000000 method=""restAndApply""",329848.11994555604,3.031698347
"old","misc/arguments.js","n=1000000 method=""predefined""",332819.44524394145,3.004632134
"new","misc/arguments.js","n=1000000 method=""restAndSpread""",661225.1451914868,1.512344180
"new","misc/arguments.js","n=1000000 method=""argumentsAndApply""",681251.4852474568,1.467886708
"new","misc/arguments.js","n=1000000 method=""restAndApply""",692216.8612618286,1.444633981
"new","misc/arguments.js","n=1000000 method=""predefined""",671065.6478331471,1.490167174
"old","misc/arguments.js","n=1000000 method=""restAndSpread""",337709.6214741284,2.961123807
"old","misc/arguments.js","n=1000000 method=""argumentsAndApply""",333659.4313746742,2.997067986
"old","misc/arguments.js","n=1000000 method=""restAndApply""",329848.11994555604,3.031698347
"old","misc/arguments.js","n=1000000 method=""predefined""",332819.44524394145,3.004632134
"new","misc/arguments.js","n=1000000 method=""restAndSpread""",680074.9999767415,1.470426056
"new","misc/arguments.js","n=1000000 method=""argumentsAndApply""",671759.697454641,1.488627561
"new","misc/arguments.js","n=1000000 method=""restAndApply""",647607.4113103983,1.544145392
"new","misc/arguments.js","n=1000000 method=""predefined""",695868.9335762527,1.437052226
"old","misc/arguments.js","n=1000000 method=""restAndSpread""",337709.6214741284,2.961123807
"old","misc/arguments.js","n=1000000 method=""argumentsAndApply""",333659.4313746742,2.997067986
"old","misc/arguments.js","n=1000000 method=""restAndApply""",329848.11994555604,3.031698347
"old","misc/arguments.js","n=1000000 method=""predefined""",332819.44524394145,3.004632134
"new","misc/arguments.js","n=1000000 method=""restAndSpread""",642434.8193309403,1.556578146
"new","misc/arguments.js","n=1000000 method=""argumentsAndApply""",689355.4691808472,1.450630400
"new","misc/arguments.js","n=1000000 method=""restAndApply""",690973.5867103165,1.447233323
"new","misc/arguments.js","n=1000000 method=""predefined""",648456.8311921892,1.542122701
"old","misc/freelist.js","n=100000",56105.8109902704,1.782346574
"new","misc/freelist.js","n=100000",71176.98746923797,1.404948475
"old","misc/freelist.js","n=100000",56105.8109902704,1.782346574
"new","misc/freelist.js","n=100000",71160.30759051495,1.405277793
"old","misc/freelist.js","n=100000",56105.8109902704,1.782346574
"new","misc/freelist.js","n=100000",71393.37582016907,1.400690174
"old","misc/getstringwidth.js","n=100000 type=""ascii""",67153.9274159872,1.489116182
"old","misc/getstringwidth.js","n=100000 type=""mixed""",23985.60268995656,4.169167700
"old","misc/getstringwidth.js","n=100000 type=""emojiseq""",28143.413638375532,3.553229231
"old","misc/getstringwidth.js","n=100000 type=""fullwidth""",52481.55189611572,1.905431459
"new","misc/getstringwidth.js","n=100000 type=""ascii""",103279.17505246663,0.968249407
"new","misc/getstringwidth.js","n=100000 type=""mixed""",25171.925364094463,3.972679823
"new","misc/getstringwidth.js","n=100000 type=""emojiseq""",36868.31374626927,2.712356217
"new","misc/getstringwidth.js","n=100000 type=""fullwidth""",78956.47871045854,1.266520514
"old","misc/getstringwidth.js","n=100000 type=""ascii""",67153.9274159872,1.489116182
"old","misc/getstringwidth.js","n=100000 type=""mixed""",23985.60268995656,4.169167700
"old","misc/getstringwidth.js","n=100000 type=""emojiseq""",28143.413638375532,3.553229231
"old","misc/getstringwidth.js","n=100000 type=""fullwidth""",52481.55189611572,1.905431459
"new","misc/getstringwidth.js","n=100000 type=""ascii""",103272.9260900092,0.968307995
"new","misc/getstringwidth.js","n=100000 type=""mixed""",25025.29900695852,3.995956251
