"binary","filename","configuration","rate","time"
"old","os/cpus.js","n=30000",288.6830276637686,103.920207027
"new","os/cpus.js","n=30000",280.4699071670377,106.963346988
"old","os/cpus.js","n=30000",288.6830276637686,103.920207027
"new","os/cpus.js","n=30000",289.078739334462,103.777953609
"old","os/cpus.js","n=30000",288.6830276637686,103.920207027
"new","os/cpus.js","n=30000",287.33440842904287,104.407962012
"old","os/homedir.js","n=1000000",863589.2190447663,1.157957948
"new","os/homedir.js","n=1000000",1366167.9336740333,0.731974434
"old","os/homedir.js","n=1000000",863589.2190447663,1.157957948
"new","os/homedir.js","n=1000000",1362725.043122037,0.733823749
"old","os/homedir.js","n=1000000",863589.2190447663,1.157957948
"new","os/homedir.js","n=1000000",1281385.6991059252,0.780405151
"old","os/hostname.js","n=1000000",531184.1362546122,1.882586342
"new","os/hostname.js","n=1000000",680246.4288467194,1.470055494
"old","os/hostname.js","n=1000000",531184.1362546122,1.882586342
"new","os/hostname.js","n=1000000",696772.2502101235,1.435189188
"old","os/hostname.js","n=1000000",531184.1362546122,1.882586342
"new","os/hostname.js","n=1000000",678040.4981371248,1.474838159
"old","os/loadavg.js","n=5000000",35869.58016951663,139.393881288
"new","os/loadavg.js","n=5000000",32740.022643169777,152.718281673
"old","os/loadavg.js","n=5000000",35869.58016951663,139.393881288
"new","os/loadavg.js","n=5000000",31733.78022465215,157.560806327
"old","os/loadavg.js","n=5000000",35869.58016951663,139.393881288
"new","os/loadavg.js","n=5000000",32607.277634398,153.340001458
"old","os/networkInterfaces.js","n=10000",1243.798640132658,8.039886584
"new","os/networkInterfaces.js","n=10000",1717.8143994464851,5.821350667
"old","os/networkInterfaces.js","n=10000",1243.798640132658,8.039886584
"new","os/networkInterfaces.js","n=10000",1384.2206905470534,7.224281553
"old","os/networkInterfaces.js","n=10000",1243.798640132658,8.039886584
"new","os/networkInterfaces.js","n=10000",1368.8699203233411,7.305296034
"old","os/uptime.js","n=100000",16673.980366337764,5.997368223
"new","os/uptime.js","n=100000",16841.57086274101,5.937688403
"old","os/uptime.js","n=100000",16673.980366337764,5.997368223
"new","os/uptime.js","n=100000",17279.028624543702,5.787362367
"old","os/uptime.js","n=100000",16673.980366337764,5.997368223
"new","os/uptime.js","n=100000",16114.627244619944,6.205542237
