"binary","filename","configuration","rate","time"
"old","string_decoder/string-decoder-create.js","n=25000000 encoding=""ascii""",1722606.6794646038,14.512889273
"old","string_decoder/string-decoder-create.js","n=25000000 encoding=""utf8""",2001713.1846448395,12.489301760
"old","string_decoder/string-decoder-create.js","n=25000000 encoding=""utf-8""",1978578.9542072813,12.635331002
"old","string_decoder/string-decoder-create.js","n=25000000 encoding=""base64""",1443767.7896941479,17.315803953
"old","string_decoder/string-decoder-create.js","n=25000000 encoding=""ucs2""",1562952.047247978,15.995372375
"old","string_decoder/string-decoder-create.js","n=25000000 encoding=""UTF-8""",1500712.8954423254,16.658749369
"old","string_decoder/string-decoder-create.js","n=25000000 encoding=""AscII""",1007627.3067625184,24.810760717
"old","string_decoder/string-decoder-create.js","n=25000000 encoding=""UTF-16LE""",1441600.4623052608,17.341836836
"new","string_decoder/string-decoder-create.js","n=25000000 encoding=""ascii""",2383901.56506254,10.487010188
"new","string_decoder/string-decoder-create.js","n=25000000 encoding=""utf8""",2821646.830563375,8.860074099
"new","string_decoder/string-decoder-create.js","n=25000000 encoding=""utf-8""",2725946.1152633885,9.171127727
"new","string_decoder/string-decoder-create.js","n=25000000 encoding=""base64""",2618518.0648173974,9.547384964
"new","string_decoder/string-decoder-create.js","n=25000000 encoding=""ucs2""",2142535.2662948156,11.668419369
"new","string_decoder/string-decoder-create.js","n=25000000 encoding=""UTF-8""",1646815.2542679973,15.180816388
"new","string_decoder/string-decoder-create.js","n=25000000 encoding=""AscII""",1488234.4574679527,16.798428416
"new","string_decoder/string-decoder-create.js","n=25000000 encoding=""UTF-16LE""",2133558.9290043395,11.717510897
"old","string_decoder/string-decoder-create.js","n=25000000 encoding=""ascii""",1722606.6794646038,14.512889273
"old","string_decoder/string-decoder-create.js","n=25000000 encoding=""utf8""",2001713.1846448395,12.489301760
"old","string_decoder/string-decoder-create.js","n=25000000 encoding=""utf-8""",1978578.9542072813,12.635331002
"old","string_decoder/string-decoder-create.js","n=25000000 encoding=""base64""",1443767.7896941479,17.315803953
"old","string_decoder/string-decoder-create.js","n=25000000 encoding=""ucs2""",1562952.047247978,15.995372375
"old","string_decoder/string-decoder-create.js","n=25000000 encoding=""UTF-8""",1500712.8954423254,16.658749369
"old","string_decoder/string-decoder-create.js","n=25000000 encoding=""AscII""",1007627.3067625184,24.810760717
"old","string_decoder/string-decoder-create.js","n=25000000 encoding=""UTF-16LE""",1441600.4623052608,17.341836836
"new","string_decoder/string-decoder-create.js","n=25000000 encoding=""ascii""",2349664.843618733,10.639815320
"new","string_decoder/string-decoder-create.js","n=25000000 encoding=""utf8""",2831719.915868043,8.828556758
"new","string_decoder/string-decoder-create.js","n=25000000 encoding=""utf-8""",2770968.2326453547,9.022117145
"new","string_decoder/string-decoder-create.js","n=25000000 encoding=""base64""",2355094.154782588,10.615286845
"new","string_decoder/string-decoder-create.js","n=25000000 encoding=""ucs2""",2178593.3266991396,11.475294491
"new","string_decoder/string-decoder-create.js","n=25000000 encoding=""UTF-8""",1797743.3506448895,13.906323164
"new","string_decoder/string-decoder-create.js","n=25000000 encoding=""AscII""",1237414.100566785,20.203422596
"new","string_decoder/string-decoder-create.js","n=25000000 encoding=""UTF-16LE""",2067379.5649053683,12.092602841
"old","string_decoder/string-decoder-create.js","n=25000000 encoding=""ascii""",1722606.6794646038,14.512889273
"old","string_decoder/string-decoder-create.js","n=25000000 encoding=""utf8""",2001713.1846448395,12.489301760
"old","string_decoder/string-decoder-create.js","n=25000000 encoding=""utf-8""",1978578.9542072813,12.635331002
"old","string_decoder/string-decoder-create.js","n=25000000 encoding=""base64""",1443767.7896941479,17.315803953
"old","string_decoder/string-decoder-create.js","n=25000000 encoding=""ucs2""",1562952.047247978,15.995372375
"old","string_decoder/string-decoder-create.js","n=25000000 encoding=""UTF-8""",1500712.8954423254,16.658749369
"old","string_decoder/string-decoder-create.js","n=25000000 encoding=""AscII""",1007627.3067625184,24.810760717
"old","string_decoder/string-decoder-create.js","n=25000000 encoding=""UTF-16LE""",1441600.4623052608,17.341836836
"new","string_decoder/string-decoder-create.js","n=25000000 encoding=""ascii""",2370015.0209779255,10.548456351
"new","string_decoder/string-decoder-create.js","n=25000000 encoding=""utf8""",2852511.474850111,8.764206637
"new","string_decoder/string-decoder-create.js","n=25000000 encoding=""utf-8""",2790317.424287978,8.959554129
"new","string_decoder/string-decoder-create.js","n=25000000 encoding=""base64""",2627463.0063789496,9.514881823
"new","string_decoder/string-decoder-create.js","n=25000000 encoding=""ucs2""",2268139.6324713253,11.022249090
"new","string_decoder/string-decoder-create.js","n=25000000 encoding=""UTF-8""",1722197.1745673798,14.516340155
"new","string_decoder/string-decoder-create.js","n=25000000 encoding=""AscII""",1435318.3225404934,17.417739053
"new","string_decoder/string-decoder-create.js","n=25000000 encoding=""UTF-16LE""",2006642.425159578,12.458622267
"old","string_decoder/string-decoder.js","n=2500000 chunkLen=16 inLen=32 encoding=""ascii""",841526.8020986533,2.970790703
"old","string_decoder/string-decoder.js","n=2500000 chunkLen=64 inLen=32 encoding=""ascii""",1513902.0532512784,1.651361787
"old","string_decoder/string-decoder.js","n=2500000 chunkLen=256 inLen=32 encoding=""ascii""",1432294.144386339,1.745451526
"old","string_decoder/string-decoder.js","n=2500000 chunkLen=1024 inLen=32 encoding=""ascii""",1506939.225172996,1.658991921
"old","string_decoder/string-decoder.js","n=2500000 chunkLen=16 inLen=128 encoding=""ascii""",181622.36518303488,13.764824599
"old","string_decoder/string-decoder.js","n=2500000 chunkLen=64 inLen=128 encoding=""ascii""",707183.6801350645,3.535149453
"old","string_decoder/string-decoder.js","n=2500000 chunkLen=256 inLen=128 encoding=""ascii""",1189169.1259905072,2.102308196
"old","string_decoder/string-decoder.js","n=2500000 chunkLen=1024 inLen=128 encoding=""ascii""",1189148.0615843001,2.102345436
"old","string_decoder/string-decoder.js","n=2500000 chunkLen=16 inLen=1024 encoding=""ascii""",25890.11914122234,96.561934936
"old","string_decoder/string-decoder.js","n=2500000 chunkLen=64 inLen=1024 encoding=""ascii""",81318.20946953853,30.743421631
"old","string_decoder/string-decoder.js","n=2500000 chunkLen=256 inLen=1024 encoding=""ascii""",240708.57556699833,10.386003050
"old","string_decoder/string-decoder.js","n=2500000 chunkLen=1024 inLen=1024 encoding=""ascii""",497271.471535141,5.027434999
"old","string_decoder/string-decoder.js","n=2500000 chunkLen=16 inLen=4096 encoding=""ascii""",6683.184390621323,374.073174385
"old","string_decoder/string-decoder.js","n=2500000 chunkLen=64 inLen=4096 encoding=""ascii""",22444.943605308243,111.383661459
"old","string_decoder/string-decoder.js","n=2500000 chunkLen=256 inLen=4096 encoding=""ascii""",57419.43553799961,43.539264651
"old","string_decoder/string-decoder.js","n=2500000 chunkLen=1024 inLen=4096 encoding=""ascii""",124505.63728163081,20.079412102
"old","string_decoder/string-decoder.js","n=2500000 chunkLen=16 inLen=32 encoding=""utf8""",628636.142876152,3.976863291
"old","string_decoder/string-decoder.js","n=2500000 chunkLen=64 inLen=32 encoding=""utf8""",942369.7126885654,2.652886618
"old","string_decoder/string-decoder.js","n=2500000 chunkLen=256 inLen=32 encoding=""utf8""",946763.564665693,2.640574789
"old","string_decoder/string-decoder.js","n=2500000 chunkLen=1024 inLen=32 encoding=""utf8""",948531.1758178786,2.635654013
"old","string_decoder/string-decoder.js","n=2500000 chunkLen=16 inLen=128 encoding=""utf8""",152806.45022049928,16.360565908
"old","string_decoder/string-decoder.js","n=2500000 chunkLen=64 inLen=128 encoding=""utf8""",340259.9754382438,7.347323166
"old","string_decoder/string-decoder.js","n=2500000 chunkLen=256 inLen=128 encoding=""utf8""",416176.94231084525,6.007060329
"old","string_decoder/string-decoder.js","n=2500000 chunkLen=1024 inLen=128 encoding=""utf8""",417281.0752860881,5.991165543
"old","string_decoder/string-decoder.js","n=2500000 chunkLen=16 inLen=1024 encoding=""utf8""",19882.50723587923,125.738669190
"old","string_decoder/string-decoder.js","n=2500000 chunkLen=64 inLen=1024 encoding=""utf8""",41825.790757275776,59.771733056
"old","string_decoder/string-decoder.js","n=2500000 chunkLen=256 inLen=1024 encoding=""utf8""",58532.46214369328,42.711341851
"old","string_decoder/string-decoder.js","n=2500000 chunkLen=1024 inLen=1024 encoding=""utf8""",67970.3489064499,36.780743960
"old","string_decoder/string-decoder.js","n=2500000 chunkLen=16 inLen=4096 encoding=""utf8""",4949.857917574989,505.065002194
"old","string_decoder/string-decoder.js","n=2500000 chunkLen=64 inLen=4096 encoding=""utf8""",10582.427117271493,236.240700956
"old","string_decoder/string-decoder.js","n=2500000 chunkLen=256 inLen=4096 encoding=""utf8""",15082.730677011017,165.752479013
"old","string_decoder/string-decoder.js","n=2500000 chunkLen=1024 inLen=4096 encoding=""utf8""",16748.843567361368,149.264036645
"old","string_decoder/string-decoder.js","n=2500000 chunkLen=16 inLen=32 encoding=""base64-utf8""",207999.92735511018,12.019234967
"old","string_decoder/string-decoder.js","n=2500000 chunkLen=64 inLen=32 encoding=""base64-utf8""",618318.6831167602,4.043222481
"old","string_decoder/string-decoder.js","n=2500000 chunkLen=256 inLen=32 encoding=""base64-utf8""",622965.2020636237,4.013065243
"old","string_decoder/string-decoder.js","n=2500000 chunkLen=1024 inLen=32 encoding=""base64-utf8""",632545.3982747219,3.952285491
"old","string_decoder/string-decoder.js","n=2500000 chunkLen=16 inLen=128 encoding=""base64-utf8""",63540.15816980561,39.345196361
"old","string_decoder/string-decoder.js","n=2500000 chunkLen=64 inLen=128 encoding=""base64-utf8""",156683.30111792107,15.955752669
"old","string_decoder/string-decoder.js","n=2500000 chunkLen=256 inLen=128 encoding=""base64-utf8""",347623.39086475933,7.191690967
"old","string_decoder/string-decoder.js","n=2500000 chunkLen=1024 inLen=128 encoding=""base64-utf8""",335550.7065826858,7.450438789
"old","string_decoder/string-decoder.js","n=2500000 chunkLen=16 inLen=1024 encoding=""base64-utf8""",7891.643643489302,316.790786931
"old","string_decoder/string-decoder.js","n=2500000 chunkLen=64 inLen=1024 encoding=""base64-utf8""",22425.713572168264,111.479172868
