"binary","filename","configuration","rate","time"
"old","timers/immediate.js","type=""depth"" n=5000000",114159.66561241742,43.798306286
"old","timers/immediate.js","type=""depth1"" n=5000000",116312.3171942922,42.987708616
"old","timers/immediate.js","type=""breadth"" n=5000000",325137.3205914887,15.378117747
"old","timers/immediate.js","type=""breadth1"" n=5000000",199284.19939037514,25.089796458
"old","timers/immediate.js","type=""breadth4"" n=5000000",105451.1660861041,23.707656281
"old","timers/immediate.js","type=""clear"" n=5000000",1858690.5585273923,10.760263406
"new","timers/immediate.js","type=""depth"" n=5000000",119379.61098867802,41.883198970
"new","timers/immediate.js","type=""depth1"" n=5000000",115660.47972510314,43.229978052
"new","timers/immediate.js","type=""breadth"" n=5000000",374068.6833686155,13.366529256
"new","timers/immediate.js","type=""breadth1"" n=5000000",268307.2859003183,18.635349328
"new","timers/immediate.js","type=""breadth4"" n=5000000",185404.28866722976,13.484046232
"new","timers/immediate.js","type=""clear"" n=5000000",1957067.7802288916,10.219370122
"old","timers/immediate.js","type=""depth"" n=5000000",114159.66561241742,43.798306286
"old","timers/immediate.js","type=""depth1"" n=5000000",116312.3171942922,42.987708616
"old","timers/immediate.js","type=""breadth"" n=5000000",325137.3205914887,15.378117747
"old","timers/immediate.js","type=""breadth1"" n=5000000",199284.19939037514,25.089796458
"old","timers/immediate.js","type=""breadth4"" n=5000000",105451.1660861041,23.707656281
"old","timers/immediate.js","type=""clear"" n=5000000",1858690.5585273923,10.760263406
"new","timers/immediate.js","type=""depth"" n=5000000",118956.6456952819,42.032119944
"new","timers/immediate.js","type=""depth1"" n=5000000",118883.17099436451,42.058097527
"new","timers/immediate.js","type=""breadth"" n=5000000",335208.82701097406,14.916074987
"new","timers/immediate.js","type=""breadth1"" n=5000000",205628.64734237333,24.315678115
"new","timers/immediate.js","type=""breadth4"" n=5000000",189054.2410190822,13.223718159
"new","timers/immediate.js","type=""clear"" n=5000000",1963965.636144464,10.183477568
"old","timers/immediate.js","type=""depth"" n=5000000",114159.66561241742,43.798306286
"old","timers/immediate.js","type=""depth1"" n=5000000",116312.3171942922,42.987708616
"old","timers/immediate.js","type=""breadth"" n=5000000",325137.3205914887,15.378117747
"old","timers/immediate.js","type=""breadth1"" n=5000000",199284.19939037514,25.089796458
"old","timers/immediate.js","type=""breadth4"" n=5000000",105451.1660861041,23.707656281
"old","timers/immediate.js","type=""clear"" n=5000000",1858690.5585273923,10.760263406
"new","timers/immediate.js","type=""depth"" n=5000000",117320.77951085872,42.618196204
"new","timers/immediate.js","type=""depth1"" n=5000000",118939.00254305187,42.038354897
"new","timers/immediate.js","type=""breadth"" n=5000000",305478.1311762267,16.367783778
"new","timers/immediate.js","type=""breadth1"" n=5000000",232604.69410942623,21.495696891
"new","timers/immediate.js","type=""breadth4"" n=5000000",205708.86659701553,12.153097926
