"binary","filename","configuration","rate","time"
"old","v8/get-stats.js","n=1000000 method=""getHeapStatistics""",431778.56116974103,2.316001974
"old","v8/get-stats.js","n=1000000 method=""getHeapSpaceStatistics""",199006.74717550297,5.024955255
"new","v8/get-stats.js","n=1000000 method=""getHeapStatistics""",550836.3107541549,1.815421352
"new","v8/get-stats.js","n=1000000 method=""getHeapSpaceStatistics""",231412.37049843816,4.321290162
"old","v8/get-stats.js","n=1000000 method=""getHeapStatistics""",431778.56116974103,2.316001974
"old","v8/get-stats.js","n=1000000 method=""getHeapSpaceStatistics""",199006.74717550297,5.024955255
"new","v8/get-stats.js","n=1000000 method=""getHeapStatistics""",537228.5382181776,1.861405210
"new","v8/get-stats.js","n=1000000 method=""getHeapSpaceStatistics""",232799.1673406998,4.295548010
"old","v8/get-stats.js","n=1000000 method=""getHeapStatistics""",431778.56116974103,2.316001974
"old","v8/get-stats.js","n=1000000 method=""getHeapSpaceStatistics""",199006.74717550297,5.024955255
"new","v8/get-stats.js","n=1000000 method=""getHeapStatistics""",537520.3100906938,1.860394819
"new","v8/get-stats.js","n=1000000 method=""getHeapSpaceStatistics""",227087.11096479898,4.403596469
"old","v8/serialize.js","n=1000000 len=256",29249.64072637046,34.188454120
"old","v8/serialize.js","n=1000000 len=16384",12908.95501905862,77.465604189
"old","v8/serialize.js","n=1000000 len=524288",795.5473209331994,1256.996251118
"new","v8/serialize.js","n=1000000 len=256",29516.76151115855,33.879055452
"new","v8/serialize.js","n=1000000 len=16384",11733.712728672477,85.224517007
"new","v8/serialize.js","n=1000000 len=524288",694.2922159051678,1440.315730310
"old","v8/serialize.js","n=1000000 len=256",29249.64072637046,34.188454120
"old","v8/serialize.js","n=1000000 len=16384",12908.95501905862,77.465604189
"old","v8/serialize.js","n=1000000 len=524288",795.5473209331994,1256.996251118
"new","v8/serialize.js","n=1000000 len=256",27985.42514379348,35.732885774
"new","v8/serialize.js","n=1000000 len=16384",11387.679135526325,87.814205871
"new","v8/serialize.js","n=1000000 len=524288",460.1680448162528,2173.119170844
"old","v8/serialize.js","n=1000000 len=256",29249.64072637046,34.188454120
"old","v8/serialize.js","n=1000000 len=16384",12908.95501905862,77.465604189
"old","v8/serialize.js","n=1000000 len=524288",795.5473209331994,1256.996251118
"new","v8/serialize.js","n=1000000 len=256",29413.927588973253,33.997499891
"new","v8/serialize.js","n=1000000 len=16384",11245.308928911794,88.925969604
"new","v8/serialize.js","n=1000000 len=524288",520.825001609521,1920.030714558
