"binary","filename","configuration","rate","time"
"old","validators/parse-file-mode.js","value=""'777'"" n=10000000",1805866.4805666844,5.537507954
"old","validators/parse-file-mode.js","value=""0o777"" n=10000000",14885898.929724112,0.671776696
"new","validators/parse-file-mode.js","value=""'777'"" n=10000000",2093209.1595609281,4.777353450
"new","validators/parse-file-mode.js","value=""0o777"" n=10000000",47719124.84938353,0.209559585
"old","validators/parse-file-mode.js","value=""'777'"" n=10000000",1805866.4805666844,5.537507954
"old","validators/parse-file-mode.js","value=""0o777"" n=10000000",14885898.929724112,0.671776696
"new","validators/parse-file-mode.js","value=""'777'"" n=10000000",2007341.7250940662,4.981712817
"new","validators/parse-file-mode.js","value=""0o777"" n=10000000",47684387.94637094,0.209712244
"old","validators/parse-file-mode.js","value=""'777'"" n=10000000",1805866.4805666844,5.537507954
"old","validators/parse-file-mode.js","value=""0o777"" n=10000000",14885898.929724112,0.671776696
"new","validators/parse-file-mode.js","value=""'777'"" n=10000000",2048361.9686457184,4.881949652
"new","validators/parse-file-mode.js","value=""0o777"" n=10000000",47736855.58640242,0.209481749
"old","validators/validate-array.js","value=""[]"" n=10000000",17935060.57484208,0.557567116
"old","validators/validate-array.js","value=""[1,2,3]"" n=10000000",18291145.556045283,0.546712614
"new","validators/validate-array.js","value=""[]"" n=10000000",63712379.281526834,0.156955369
"new","validators/validate-array.js","value=""[1,2,3]"" n=10000000",64851471.38844522,0.154198506
"old","validators/validate-array.js","value=""[]"" n=10000000",17935060.57484208,0.557567116
"old","validators/validate-array.js","value=""[1,2,3]"" n=10000000",18291145.556045283,0.546712614
"new","validators/validate-array.js","value=""[]"" n=10000000",64868175.73655445,0.154158798
"new","validators/validate-array.js","value=""[1,2,3]"" n=10000000",65123610.47380422,0.153554140
"old","validators/validate-array.js","value=""[]"" n=10000000",17935060.57484208,0.557567116
"old","validators/validate-array.js","value=""[1,2,3]"" n=10000000",18291145.556045283,0.546712614
"new","validators/validate-array.js","value=""[]"" n=10000000",63423531.446839295,0.157670186
"new","validators/validate-array.js","value=""[1,2,3]"" n=10000000",64927175.86159271,0.154018712
"old","validators/validate-boolean.js","value=""true"" code=""validateBoolean"" n=100000000",64442635.82320449,1.551767688
"old","validators/validate-boolean.js","value=""false"" code=""validateBoolean"" n=100000000",61168370.61215009,1.634831842
"new","validators/validate-boolean.js","value=""true"" code=""validateBoolean"" n=100000000",81851907.79550874,1.221718622
"new","validators/validate-boolean.js","value=""false"" code=""validateBoolean"" n=100000000",81711096.84814863,1.223823983
"old","validators/validate-boolean.js","value=""true"" code=""validateBoolean"" n=100000000",64442635.82320449,1.551767688
"old","validators/validate-boolean.js","value=""false"" code=""validateBoolean"" n=100000000",61168370.61215009,1.634831842
"new","validators/validate-boolean.js","value=""true"" code=""validateBoolean"" n=100000000",82467942.23681429,1.212592400
"new","validators/validate-boolean.js","value=""false"" code=""validateBoolean"" n=100000000",82302204.946192,1.215034276
"old","validators/validate-boolean.js","value=""true"" code=""validateBoolean"" n=100000000",64442635.82320449,1.551767688
"old","validators/validate-boolean.js","value=""false"" code=""validateBoolean"" n=100000000",61168370.61215009,1.634831842
"new","validators/validate-boolean.js","value=""true"" code=""validateBoolean"" n=100000000",82272510.48615801,1.215472816
"new","validators/validate-boolean.js","value=""false"" code=""validateBoolean"" n=100000000",81580645.2333971,1.225780940
"old","validators/validate-encoding.js","value=""test"" encoding=""ascii"" n=100000000",13288793.309603285,7.525137736
"old","validators/validate-encoding.js","value=""test"" encoding=""utf8"" n=100000000",22892330.315339677,4.368275253
"old","validators/validate-encoding.js","value=""test"" encoding=""utf-8"" n=100000000",21613299.328420583,4.626780876
"old","validators/validate-encoding.js","value=""test"" encoding=""utf16le"" n=100000000",17450927.01206371,5.730354607
"old","validators/validate-encoding.js","value=""test"" encoding=""ucs2"" n=100000000",9738345.243556146,10.268685028
"old","validators/validate-encoding.js","value=""test"" encoding=""ucs-2"" n=100000000",8943387.118732892,11.181445986
"old","validators/validate-encoding.js","value=""test"" encoding=""base64"" n=100000000",17335314.67913416,5.768571373
"old","validators/validate-encoding.js","value=""test"" encoding=""latin1"" n=100000000",11532189.357201362,8.671380334
"old","validators/validate-encoding.js","value=""test"" encoding=""binary"" n=100000000",7981312.466876366,12.529267638
"old","validators/validate-encoding.js","value=""test"" encoding=""hex"" n=100000000",16605130.110744858,6.022235257
