"binary","filename","configuration","rate","time"
"old","webstreams/creation.js","kind=""ReadableStream"" n=50000",8818.04001016595,5.670194277
"old","webstreams/creation.js","kind=""TransformStream"" n=50000",3440.95205357568,14.530862163
"old","webstreams/creation.js","kind=""WritableStream"" n=50000",5262.445051685323,9.501286856
"old","webstreams/creation.js","kind=""ReadableStreamDefaultReader"" n=50000",18078.15752694415,2.765768576
"old","webstreams/creation.js","kind=""ReadableStreamBYOBReader"" n=50000",15919.281139796816,3.140845341
"old","webstreams/creation.js","kind=""ReadableStream.tee"" n=50000",5402.302454866719,9.255312974
"new","webstreams/creation.js","kind=""ReadableStream"" n=50000",17333.571761004077,2.884575706
"new","webstreams/creation.js","kind=""TransformStream"" n=50000",5301.305073215415,9.431639815
"new","webstreams/creation.js","kind=""WritableStream"" n=50000",16373.336471757002,3.053745343
"new","webstreams/creation.js","kind=""ReadableStreamDefaultReader"" n=50000",208701.53066085317,0.239576585
"new","webstreams/creation.js","kind=""ReadableStreamBYOBReader"" n=50000",129451.32423863217,0.386245566
"new","webstreams/creation.js","kind=""ReadableStream.tee"" n=50000",4749.131754946667,10.528240230
"old","webstreams/creation.js","kind=""ReadableStream"" n=50000",8818.04001016595,5.670194277
"old","webstreams/creation.js","kind=""TransformStream"" n=50000",3440.95205357568,14.530862163
"old","webstreams/creation.js","kind=""WritableStream"" n=50000",5262.445051685323,9.501286856
"old","webstreams/creation.js","kind=""ReadableStreamDefaultReader"" n=50000",18078.15752694415,2.765768576
"old","webstreams/creation.js","kind=""ReadableStreamBYOBReader"" n=50000",15919.281139796816,3.140845341
"old","webstreams/creation.js","kind=""ReadableStream.tee"" n=50000",5402.302454866719,9.255312974
"new","webstreams/creation.js","kind=""ReadableStream"" n=50000",17368.563008639452,2.878764350
"new","webstreams/creation.js","kind=""TransformStream"" n=50000",4995.716943060877,10.008573458
"new","webstreams/creation.js","kind=""WritableStream"" n=50000",16127.263393803769,3.100340013
"new","webstreams/creation.js","kind=""ReadableStreamDefaultReader"" n=50000",155362.1765306273,0.321828653
"new","webstreams/creation.js","kind=""ReadableStreamBYOBReader"" n=50000",144232.56478751567,0.346662351
"new","webstreams/creation.js","kind=""ReadableStream.tee"" n=50000",4663.067622290974,10.722555204
"old","webstreams/creation.js","kind=""ReadableStream"" n=50000",8818.04001016595,5.670194277
"old","webstreams/creation.js","kind=""TransformStream"" n=50000",3440.95205357568,14.530862163
"old","webstreams/creation.js","kind=""WritableStream"" n=50000",5262.445051685323,9.501286856
"old","webstreams/creation.js","kind=""ReadableStreamDefaultReader"" n=50000",18078.15752694415,2.765768576
"old","webstreams/creation.js","kind=""ReadableStreamBYOBReader"" n=50000",15919.281139796816,3.140845341
"old","webstreams/creation.js","kind=""ReadableStream.tee"" n=50000",5402.302454866719,9.255312974
"new","webstreams/creation.js","kind=""ReadableStream"" n=50000",17328.367860411276,2.885441976
"new","webstreams/creation.js","kind=""TransformStream"" n=50000",5205.395040199392,9.605418919
"new","webstreams/creation.js","kind=""WritableStream"" n=50000",15688.989662351505,3.186948368
"new","webstreams/creation.js","kind=""ReadableStreamDefaultReader"" n=50000",144563.83624726898,0.345867966
"new","webstreams/creation.js","kind=""ReadableStreamBYOBReader"" n=50000",179082.28316945487,0.279201265
"new","webstreams/creation.js","kind=""ReadableStream.tee"" n=50000",4590.78760059817,10.891377330
"old","webstreams/pipe-to.js","highWaterMarkW=512 highWaterMarkR=512 n=500000",27127.355816363073,18.431578934
"old","webstreams/pipe-to.js","highWaterMarkW=1024 highWaterMarkR=512 n=500000",28177.486195788082,17.744663116
"old","webstreams/pipe-to.js","highWaterMarkW=2048 highWaterMarkR=512 n=500000",27946.327010054705,17.891438822
"old","webstreams/pipe-to.js","highWaterMarkW=4096 highWaterMarkR=512 n=500000",27542.33857352198,18.153868767
"old","webstreams/pipe-to.js","highWaterMarkW=512 highWaterMarkR=1024 n=500000",27107.543821546944,18.445049957
"old","webstreams/pipe-to.js","highWaterMarkW=1024 highWaterMarkR=1024 n=500000",27525.55977526809,18.164934849
"old","webstreams/pipe-to.js","highWaterMarkW=2048 highWaterMarkR=1024 n=500000",27674.85763900465,18.066940272
"old","webstreams/pipe-to.js","highWaterMarkW=4096 highWaterMarkR=1024 n=500000",26165.232807164204,19.109327392
"old","webstreams/pipe-to.js","highWaterMarkW=512 highWaterMarkR=2048 n=500000",27243.821576548526,18.352785001
"old","webstreams/pipe-to.js","highWaterMarkW=1024 highWaterMarkR=2048 n=500000",27327.42791292585,18.296635951
"old","webstreams/pipe-to.js","highWaterMarkW=2048 highWaterMarkR=2048 n=500000",27281.184206205053,18.327650157
"old","webstreams/pipe-to.js","highWaterMarkW=4096 highWaterMarkR=2048 n=500000",27787.013501827674,17.994017240
"old","webstreams/pipe-to.js","highWaterMarkW=512 highWaterMarkR=4096 n=500000",27691.95645094031,18.055784570
"old","webstreams/pipe-to.js","highWaterMarkW=1024 highWaterMarkR=4096 n=500000",27985.117463935585,17.866639318
"old","webstreams/pipe-to.js","highWaterMarkW=2048 highWaterMarkR=4096 n=500000",27403.083567372243,18.246121783
"old","webstreams/pipe-to.js","highWaterMarkW=4096 highWaterMarkR=4096 n=500000",27270.442022577263,18.334869658
"new","webstreams/pipe-to.js","highWaterMarkW=512 highWaterMarkR=512 n=500000",107369.27362479095,4.656825767
"new","webstreams/pipe-to.js","highWaterMarkW=1024 highWaterMarkR=512 n=500000",112694.74588864633,4.436764075
"new","webstreams/pipe-to.js","highWaterMarkW=2048 highWaterMarkR=512 n=500000",104416.79891400565,4.788501517
"new","webstreams/pipe-to.js","highWaterMarkW=4096 highWaterMarkR=512 n=500000",109816.50107208053,4.553049816
"new","webstreams/pipe-to.js","highWaterMarkW=512 highWaterMarkR=1024 n=500000",102042.9072898264,4.899899594
"new","webstreams/pipe-to.js","highWaterMarkW=1024 highWaterMarkR=1024 n=500000",105044.65929781379,4.759880258
"new","webstreams/pipe-to.js","highWaterMarkW=2048 highWaterMarkR=1024 n=500000",108518.77287293719,4.607497733
"new","webstreams/pipe-to.js","highWaterMarkW=4096 highWaterMarkR=1024 n=500000",106103.48665296634,4.712380486
"new","webstreams/pipe-to.js","highWaterMarkW=512 highWaterMarkR=2048 n=500000",110287.03117008969,4.533624622
"new","webstreams/pipe-to.js","highWaterMarkW=1024 highWaterMarkR=2048 n=500000",107882.67199811208,4.634664592
"new","webstreams/pipe-to.js","highWaterMarkW=2048 highWaterMarkR=2048 n=500000",102202.56609144123,4.892245069
"new","webstreams/pipe-to.js","highWaterMarkW=4096 highWaterMarkR=2048 n=500000",105856.72097658369,4.723365653
"new","webstreams/pipe-to.js","highWaterMarkW=512 highWaterMarkR=4096 n=500000",104542.97579443322,4.782722093
"new","webstreams/pipe-to.js","highWaterMarkW=1024 highWaterMarkR=4096 n=500000",106384.46817386367,4.699934197
"new","webstreams/pipe-to.js","highWaterMarkW=2048 highWaterMarkR=4096 n=500000",108054.93699542891,4.627275846
"new","webstreams/pipe-to.js","highWaterMarkW=4096 highWaterMarkR=4096 n=500000",99652.54356904123,5.017433395
"old","webstreams/pipe-to.js","highWaterMarkW=512 highWaterMarkR=512 n=500000",27127.355816363073,18.431578934
"old","webstreams/pipe-to.js","highWaterMarkW=1024 highWaterMarkR=512 n=500000",28177.486195788082,17.744663116
"old","webstreams/pipe-to.js","highWaterMarkW=2048 highWaterMarkR=512 n=500000",27946.327010054705,17.891438822
