"binary","filename","configuration","rate","time"
"old","worker/atomics-wait.js","n=10000000",1451350.6024807217,6.890133909
"new","worker/atomics-wait.js","n=10000000",1159659.660012201,8.623219678
"old","worker/atomics-wait.js","n=10000000",1451350.6024807217,6.890133909
"new","worker/atomics-wait.js","n=10000000",1168333.6939981394,8.559198499
"old","worker/atomics-wait.js","n=10000000",1451350.6024807217,6.890133909
"new","worker/atomics-wait.js","n=10000000",1075167.2993298515,9.300878111
"old","worker/bench-eventlooputil.js","method=""ELU_simple"" n=1000000",257287.65117159463,3.886700335
"old","worker/bench-eventlooputil.js","method=""ELU_passed"" n=1000000",295164.3003624129,3.387943592
"new","worker/bench-eventlooputil.js","method=""ELU_simple"" n=1000000",1092321.6125014182,0.915481291
"new","worker/bench-eventlooputil.js","method=""ELU_passed"" n=1000000",988840.6015609426,1.011285336
"old","worker/bench-eventlooputil.js","method=""ELU_simple"" n=1000000",257287.65117159463,3.886700335
"old","worker/bench-eventlooputil.js","method=""ELU_passed"" n=1000000",295164.3003624129,3.387943592
"new","worker/bench-eventlooputil.js","method=""ELU_simple"" n=1000000",1081600.3310908405,0.924555930
"new","worker/bench-eventlooputil.js","method=""ELU_passed"" n=1000000",985249.4210536466,1.014971416
"old","worker/bench-eventlooputil.js","method=""ELU_simple"" n=1000000",257287.65117159463,3.886700335
"old","worker/bench-eventlooputil.js","method=""ELU_passed"" n=1000000",295164.3003624129,3.387943592
"new","worker/bench-eventlooputil.js","method=""ELU_simple"" n=1000000",1081283.4891675673,0.924826847
"new","worker/bench-eventlooputil.js","method=""ELU_passed"" n=1000000",1011340.0426279019,0.988787112
"old","worker/echo.js","n=100000 sendsPerBroadcast=1 payload=""string"" workers=1",7457.080588853815,13.410073662
"old","worker/echo.js","n=100000 sendsPerBroadcast=10 payload=""string"" workers=1",4840.811176301108,20.657694828
"old","worker/echo.js","n=100000 sendsPerBroadcast=1 payload=""object"" workers=1",6682.1464768561145,14.965251113
"old","worker/echo.js","n=100000 sendsPerBroadcast=10 payload=""object"" workers=1",2884.1984699271798,34.671677779
"new","worker/echo.js","n=100000 sendsPerBroadcast=1 payload=""string"" workers=1",10006.567167939065,9.993437142
"new","worker/echo.js","n=100000 sendsPerBroadcast=10 payload=""string"" workers=1",5420.401774918714,18.448816924
"new","worker/echo.js","n=100000 sendsPerBroadcast=1 payload=""object"" workers=1",7617.020267129876,13.128493360
"new","worker/echo.js","n=100000 sendsPerBroadcast=10 payload=""object"" workers=1",3072.787359469477,32.543742310
"old","worker/echo.js","n=100000 sendsPerBroadcast=1 payload=""string"" workers=1",7457.080588853815,13.410073662
"old","worker/echo.js","n=100000 sendsPerBroadcast=10 payload=""string"" workers=1",4840.811176301108,20.657694828
"old","worker/echo.js","n=100000 sendsPerBroadcast=1 payload=""object"" workers=1",6682.1464768561145,14.965251113
"old","worker/echo.js","n=100000 sendsPerBroadcast=10 payload=""object"" workers=1",2884.1984699271798,34.671677779
"new","worker/echo.js","n=100000 sendsPerBroadcast=1 payload=""string"" workers=1",9128.271696149879,10.954976290
"new","worker/echo.js","n=100000 sendsPerBroadcast=10 payload=""string"" workers=1",5258.344225711637,19.017393253
"new","worker/echo.js","n=100000 sendsPerBroadcast=1 payload=""object"" workers=1",7787.9475061740795,12.840353626
"new","worker/echo.js","n=100000 sendsPerBroadcast=10 payload=""object"" workers=1",3125.317443962089,31.996749704
"old","worker/echo.js","n=100000 sendsPerBroadcast=1 payload=""string"" workers=1",7457.080588853815,13.410073662
"old","worker/echo.js","n=100000 sendsPerBroadcast=10 payload=""string"" workers=1",4840.811176301108,20.657694828
"old","worker/echo.js","n=100000 sendsPerBroadcast=1 payload=""object"" workers=1",6682.1464768561145,14.965251113
"old","worker/echo.js","n=100000 sendsPerBroadcast=10 payload=""object"" workers=1",2884.1984699271798,34.671677779
