"binary","filename","configuration","rate","time"
"old","zlib/createInflate.js","n=100 chunkLen=1024 inputLen=16777216",3.46859538469858,28.830113896
"new","zlib/createInflate.js","n=100 chunkLen=1024 inputLen=16777216",6.0874340706198,16.427282635
"old","zlib/createInflate.js","n=100 chunkLen=1024 inputLen=16777216",3.46859538469858,28.830113896
"new","zlib/createInflate.js","n=100 chunkLen=1024 inputLen=16777216",6.062469194070522,16.494929178
"old","zlib/createInflate.js","n=100 chunkLen=1024 inputLen=16777216",3.46859538469858,28.830113896
"new","zlib/createInflate.js","n=100 chunkLen=1024 inputLen=16777216",5.6467654084576715,17.709253487
"old","zlib/creation.js","n=500000 options=""true"" type=""Deflate""",27772.332566077966,18.003529189
"old","zlib/creation.js","n=500000 options=""false"" type=""Deflate""",31223.65788976577,16.013498539
"old","zlib/creation.js","n=500000 options=""true"" type=""DeflateRaw""",27817.656974547463,17.974195327
"old","zlib/creation.js","n=500000 options=""false"" type=""DeflateRaw""",31124.67431624784,16.064425122
"old","zlib/creation.js","n=500000 options=""true"" type=""Inflate""",28064.46221363344,17.816126181
"old","zlib/creation.js","n=500000 options=""false"" type=""Inflate""",31325.549831405744,15.961411777
"old","zlib/creation.js","n=500000 options=""true"" type=""InflateRaw""",27562.516582798613,18.140578655
"old","zlib/creation.js","n=500000 options=""false"" type=""InflateRaw""",31005.332108813705,16.126258485
"old","zlib/creation.js","n=500000 options=""true"" type=""Gzip""",27539.89190176576,18.155481575
"old","zlib/creation.js","n=500000 options=""false"" type=""Gzip""",31214.21953033013,16.018340600
"old","zlib/creation.js","n=500000 options=""true"" type=""Gunzip""",28351.42640650085,17.635796973
"old","zlib/creation.js","n=500000 options=""false"" type=""Gunzip""",31056.59107472295,16.099642063
"old","zlib/creation.js","n=500000 options=""true"" type=""Unzip""",28035.10392728895,17.834783181
"old","zlib/creation.js","n=500000 options=""false"" type=""Unzip""",30735.047512290468,16.268073111
"old","zlib/creation.js","n=500000 options=""true"" type=""BrotliCompress""",27023.647886382932,18.502313311
"old","zlib/creation.js","n=500000 options=""false"" type=""BrotliCompress""",28594.115852079685,17.486115066
"old","zlib/creation.js","n=500000 options=""true"" type=""BrotliDecompress""",26435.996551864144,18.913605130
"old","zlib/creation.js","n=500000 options=""false"" type=""BrotliDecompress""",27283.02211485331,18.326415523
"new","zlib/creation.js","n=500000 options=""true"" type=""Deflate""",40549.700127088756,12.330547413
"new","zlib/creation.js","n=500000 options=""false"" type=""Deflate""",43105.558099699236,11.599432232
"new","zlib/creation.js","n=500000 options=""true"" type=""DeflateRaw""",41471.828233322194,12.056377095
"new","zlib/creation.js","n=500000 options=""false"" type=""DeflateRaw""",41924.509344629856,11.926198012
"new","zlib/creation.js","n=500000 options=""true"" type=""Inflate""",40543.946361337206,12.332297294
"new","zlib/creation.js","n=500000 options=""false"" type=""Inflate""",43344.705271591774,11.535434302
"new","zlib/creation.js","n=500000 options=""true"" type=""InflateRaw""",40509.873527256896,12.342669983
"new","zlib/creation.js","n=500000 options=""false"" type=""InflateRaw""",41600.049574479555,12.019216446
"new","zlib/creation.js","n=500000 options=""true"" type=""Gzip""",40718.823423225505,12.279333192
"new","zlib/creation.js","n=500000 options=""false"" type=""Gzip""",43135.086054271516,11.591491886
"new","zlib/creation.js","n=500000 options=""true"" type=""Gunzip""",39997.76361944194,12.500698908
"new","zlib/creation.js","n=500000 options=""false"" type=""Gunzip""",41777.51855997282,11.968159365
"new","zlib/creation.js","n=500000 options=""true"" type=""Unzip""",39857.23272202698,12.544774583
"new","zlib/creation.js","n=500000 options=""false"" type=""Unzip""",41901.60071168434,11.932718357
"new","zlib/creation.js","n=500000 options=""true"" type=""BrotliCompress""",38239.894900665226,13.075349744
"new","zlib/creation.js","n=500000 options=""false"" type=""BrotliCompress""",38330.47453921687,13.044451080
"new","zlib/creation.js","n=500000 options=""true"" type=""BrotliDecompress""",37993.235497881156,13.160237433
"new","zlib/creation.js","n=500000 options=""false"" type=""BrotliDecompress""",37989.7197224493,13.161455353
"old","zlib/creation.js","n=500000 options=""true"" type=""Deflate""",27772.332566077966,18.003529189
"old","zlib/creation.js","n=500000 options=""false"" type=""Deflate""",31223.65788976577,16.013498539
"old","zlib/creation.js","n=500000 options=""true"" type=""DeflateRaw""",27817.656974547463,17.974195327
"old","zlib/creation.js","n=500000 options=""false"" type=""DeflateRaw""",31124.67431624784,16.064425122
"old","zlib/creation.js","n=500000 options=""true"" type=""Inflate""",28064.46221363344,17.816126181
"old","zlib/creation.js","n=500000 options=""false"" type=""Inflate""",31325.549831405744,15.961411777
"old","zlib/creation.js","n=500000 options=""true"" type=""InflateRaw""",27562.516582798613,18.140578655
"old","zlib/creation.js","n=500000 options=""false"" type=""InflateRaw""",31005.332108813705,16.126258485
"old","zlib/creation.js","n=500000 options=""true"" type=""Gzip""",27539.89190176576,18.155481575
"old","zlib/creation.js","n=500000 options=""false"" type=""Gzip""",31214.21953033013,16.018340600
"old","zlib/creation.js","n=500000 options=""true"" type=""Gunzip""",28351.42640650085,17.635796973
"old","zlib/creation.js","n=500000 options=""false"" type=""Gunzip""",31056.59107472295,16.099642063
"old","zlib/creation.js","n=500000 options=""true"" type=""Unzip""",28035.10392728895,17.834783181
"old","zlib/creation.js","n=500000 options=""false"" type=""Unzip""",30735.047512290468,16.268073111
"old","zlib/creation.js","n=500000 options=""true"" type=""BrotliCompress""",27023.647886382932,18.502313311
"old","zlib/creation.js","n=500000 options=""false"" type=""BrotliCompress""",28594.115852079685,17.486115066
"old","zlib/creation.js","n=500000 options=""true"" type=""BrotliDecompress""",26435.996551864144,18.913605130
"old","zlib/creation.js","n=500000 options=""false"" type=""BrotliDecompress""",27283.02211485331,18.326415523
