procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
14  0    512 25816896 2378272 100015144    0    0    52    77    3    4  3  1 96  0  0
13  0    512 25815568 2378272 100015144    0    0     0     4 22732 6506 11  5 85  0  0
13  0    512 25820948 2378272 100015200    0    0     0   228 22711 6548 10  3 87  0  0
13  0    512 25733488 2378272 100015200    0    0     0    32 22341 6228 10  4 86  0  0
13  0    512 25619592 2378272 100015200    0    0     0     4 22953 5388 11  5 85  0  0
12  0    512 25511248 2378272 100015216    0    0     0    48 22587 5853 10  4 86  0  0
10  0    512 25400036 2378272 100015224    0    0     0  1668 22587 6426 10  5 85  0  0
11  0    512 25310016 2378272 100015216    0    0     0    20 22275 5931 10  4 86  0  0
12  0    512 25207652 2378272 100015200    0    0     0     4 21104 6024 10  4 86  0  0
12  0    512 25105600 2378272 100015208    0    0     0     8 22356 6656 10  4 86  0  0
14  0    512 24988424 2378272 100015208    0    0     0   132 22075 6534  9  5 86  0  0
 2  0    512 24887144 2378272 100015344    0    0     0  1636 18349 5396 10  5 85  0  0
16  0    512 24870884 2378272 100015352    0    0     0     4 20592 5635 11  5 84  0  0
11  0    512 24869848 2378272 100015392    0    0     0   112 22786 5947 11  4 86  0  0
12  0    512 24871208 2378272 100015392    0    0     0     8 22759 6508 10  4 86  0  0
13  0    512 24865320 2378272 100015408    0    0     0     4 21107 5929 10  4 86  0  0
12  0    512 24865004 2378280 100015408    0    0     0  1588 22524 6464 10  3 87  0  0
12  0    512 24857408 2378280 100015416    0    0     0     8 20341 5550  9  5 86  0  0
12  0    512 24850496 2378280 100015416    0    0     0   128 22669 6500 10  4 86  0  0
13  0    512 24826504 2378280 100015424    0    0     0     4 19331 5696  9  5 86  0  0
13  0    512 24825536 2378280 100015432    0    0     0     8 17278 5531  8  6 86  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
14  0    512 24824152 2378280 100015440    0    0     0  1788 17159 4755  8  6 86  0  0
15  0    512 24823744 2378280 100015456    0    0     0   124 17511 5302  8  7 85  0  0
15  0    512 24818548 2378280 100015584    0    0     0     8 16768 5538  8  7 85  0  0
13  0    512 24803508 2378280 100015600    0    0     0    28 16082 4817  8  6 86  0  0
12  0    512 24798480 2378280 100015600    0    0     0     8 16604 5052  8  5 87  0  0
14  0    512 24795404 2378280 100015616    0    0     0  1764 15315 4637  7  6 86  0  0
12  0    512 24793832 2378280 100015608    0    0     0    64 16840 5241  8  6 86  0  0
 6  0    512 24801064 2378280 100015608    0    0     0     8 17140 5077  8  6 86  0  0
11  0    512 24800268 2378280 100015616    0    0     0     4 17419 5068  8  7 84  0  0
 1  0    512 24809644 2378280 100015624    0    0     0   108 16850 5410  8  6 86  0  0
10  0    512 24811288 2378280 100015640    0    0     0  1700 15555 5127  8  6 86  0  0
12  0    512 24804880 2378284 100015648    0    0     0    40 17000 4962  8  6 86  0  0
13  0    512 24794916 2378284 100015656    0    0     0     4 15888 4837  8  6 86  0  0
14  0    512 24786756 2378284 100015784    0    0     0   104 16157 4949  8  6 85  0  0
13  0    512 24777404 2378284 100015784    0    0     0    40 16295 5203  7  6 86  0  0
11  0    512 24783468 2378284 100015792    0    0     0     4 16103 5006  8  6 86  0  0
12  0    512 24786320 2378284 100015808    0    0     0  1684 15899 4933  7  6 87  0  0
12  0    512 24723760 2378284 100015816    0    0     0   128 19557 5536  9  6 85  0  0
11  0    512 24634112 2378284 100015824    0    0     0     4 18993 5290 10  4 85  0  0
14  0    512 24632936 2378284 100015832    0    0     0     8 20333 5195 11  5 84  0  0
 1  0    512 24633432 2378284 100015840    0    0     0     8 22153 5812 10  5 86  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
15  1    512 24627576 2378284 100015840    0    0     0  1692 19779 5659  9  5 86  0  0
11  0    512 24629972 2378284 100015856    0    0     0   152 21788 6651 10  4 87  0  0
10  0    512 24638644 2378284 100016512    0    0     0     4 20256 5858 10  4 86  0  0
14  0    512 24639936 2378284 100016520    0    0     0     4 21938 6582 10  4 86  0  0
14  0    512 24641992 2378288 100016784    0    0     0   104 21312 5914  9  4 87  0  0
12  0    512 24637372 2378288 100016784    0    0     0  1576 22929 6547 10  4 86  0  0
11  0    512 24647544 2378292 100016800    0    0     0    28 21922 6231 10  4 86  0  0
11  0    512 24646192 2378292 100016808    0    0     0     4 22461 6366 10  4 86  0  0
13  0    512 24653564 2378292 100016952    0    0     0   108 23243 6625 10  3 87  0  0
 9  0    512 24649784 2378292 100016960    0    0     0    32 21971 6236 10  4 87  0  0
12  0    512 24661344 2378292 100016968    0    0     0  1544 21783 6605 10  4 86  0  0
10  0    512 24660304 2378296 100017104    0    0     0    44 22147 6578 10  3 87  0  0
11  0    512 24660340 2378296 100017104    0    0     0    24 23302 6539 10  4 86  0  0
10  0    512 24658728 2378300 100017120    0    0     0   120 22351 6932 10  4 87  0  0
13  0    512 24672032 2378300 100017216    0    0     0     4 22533 6564 10  4 86  0  0
13  0    512 24672280 2378300 100017232    0    0     0  1700 22341 6440 10  4 86  0  0
13  0    512 24663340 2378300 100017232    0    0     0   104 22373 6594 10  4 86  0  0
12  0    512 24669428 2378300 100017240    0    0     0    16 21921 6227 10  3 87  0  0
 2  0    512 24668712 2378300 100017248    0    0     0    36 21287 6267 10  3 87  0  0
11  0    512 24669888 2378300 100017344    0    0     0     8 19708 5780  9  5 86  0  0
18  0    512 24652568 2378300 100017360    0    0     0  1832 22503 6304 10  5 85  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
15  1    512 24621460 2378300 100017360    0    0     0    20 20650 4695 12  5 84  0  0
11  0    512 24625012 2378304 100017512    0    0     0    12 22293 5304 11  4 85  0  0
12  0    512 24621336 2378304 100017512    0    0     0     4 22748 6235 10  4 86  0  0
12  0    512 24621660 2378304 100017520    0    0     0     8 22865 6942 10  3 86  0  0
13  0    512 24617292 2378304 100017528    0    0     0   504 23143 6863 10  4 86  0  0
12  0    512 24625020 2378304 100017544    0    0     0  1216 23054 6573 10  4 85  0  0
14  0    512 24629656 2378312 100017552    0    0     0    28 23014 6463 10  3 87  0  0
12  0    512 24630292 2378312 100017552    0    0     0     4 23062 6713 10  4 86  0  0
13  0    512 24630456 2378312 100017560    0    0     0   112 23340 6722 11  3 86  0  0
12  0    512 24631032 2378312 100017576    0    0     0     4 24100 6337 10  3 86  0  0
18  0    512 24630588 2378312 100017584    0    0     0  1736 23898 6221 11  4 85  0  0
11  0    512 24630688 2378312 100017592    0    0     0     8 23665 6394 11  4 85  0  0
12  0    512 24637188 2378312 100017600    0    0     0   116 23588 6686 10  4 86  0  0
13  0    512 24633420 2378312 100017736    0    0     0    28 24246 6482 10  4 86  0  0
17  0    512 24636588 2378312 100017744    0    0     0     8 23971 6588 11  4 86  0  0
10  0    512 24638356 2378312 100017752    0    0     0  1540 23364 6475 10  4 86  0  0
11  0    512 24638148 2378312 100017760    0    0     0   104 23450 6491 10  5 85  0  0
11  0    512 24637468 2378316 100017768    0    0     0    28 24107 6829 10  4 86  0  0
13  0    512 24637168 2378316 100017776    0    0     0     4 22524 6246 10  4 86  0  0
11  0    512 24638492 2378316 100017792    0    0     0     8 23011 6726 10  4 86  0  0
12  0    512 24632848 2378316 100017792    0    0     0  1804 24024 6581 10  4 86  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
14  0    512 24636800 2378316 100017800    0    0     0    20 20655 5397 11  4 85  0  0
13  0    512 24630168 2378316 100017824    0    0     0    56 22206 5034 11  4 85  0  0
12  0    512 24636492 2378316 100017824    0    0     0     8 23481 6420 11  4 85  0  0
11  0    512 24636252 2378316 100017840    0    0     0   108 22972 6191 10  3 87  0  0
10  0    512 24635832 2378316 100018064    0    0     0  1512 22412 6509 10  4 86  0  0
12  0    512 24638996 2378316 100018072    0    0     0     4 22775 6270 10  4 86  0  0
 1  0    512 24641976 2378316 100018064    0    0     0    20 22440 6472 10  5 86  0  0
14  0    512 24641652 2378316 100018064    0    0     0    16 23086 6555 10  3 87  0  0
 2  0    512 24633048 2378316 100018080    0    0     0   128 22869 6513 10  4 87  0  0
 0  0    512 24644780 2378316 100018192    0    0     0    12  212 1835  0  0 99  0  0
 0  0    512 24645128 2378316 100018192    0    0     0  1660  237 1638  0  0 99  0  0
 1  0    512 24643152 2378316 100018200    0    0     0   104  220 1574  0  1 98  0  0
 0  0    512 24646812 2378320 100018208    0    0     0   152  223 1490  0  1 99  0  0
 0  0    512 24644200 2378320 100018304    0    0     0     8  241 1593  0  1 99  0  0
 0  0    512 24649092 2378320 100018320    0    0     0     4  216 1631  0  0 99  0  0
 0  0    512 24649808 2378320 100018320    0    0     0  1676  204 1504  0  1 99  0  0
 1  0    512 24649040 2378320 100018464    0    0     0    36  240 1546  0  0 99  0  0
