procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st gu
 2  0   2304 856408 5452820 24544020    0    0  5457   213 4446    3  1  1 99  0  0  0
 1  0   2304 851532 5452820 24544028    0    0     0   108 26998 32446  2  4 94  0  0  0
 0  0   2304 851532 5452820 24544028    0    0     0     0 26791 31810  2  3 95  0  0  0
 0  0   2304 851532 5452820 24544028    0    0     0     0 25441 30229  2  4 95  0  0  0
 1  0   2304 851532 5452820 24544028    0    0     0     0 25285 29853  2  4 94  0  0  0
 0  0   2304 851532 5452820 24544028    0    0     0     8 25935 30136  2  3 95  0  0  0
 1  0   2304 851532 5452836 24544028    0    0     0   352 25983 30438  1  4 94  0  0  0
 2  0   2304 851532 5452836 24544028    0    0     0     0 25794 30933  1  4 95  0  0  0
 0  0   2304 851532 5452836 24544028    0    0     0   136 25470 30473  2  3 95  0  0  0
 0  0   2304 851532 5452836 24544028    0    0     0     0 23105 26371  1  3 96  0  0  0
 0  0   2304 851532 5452836 24544028    0    0     0     0 23242 26523  2  4 95  0  0  0
 1  0   2304 851532 5452836 24544028    0    0     0    32 21270 23516  1  3 96  0  0  0
 0  0   2304 851532 5452852 24544028    0    0     0    60 22830 25217  1  3 95  0  0  0
 0  0   2304 851532 5452852 24544028    0    0     0     0 22506 25016  1  4 95  0  0  0
 2  0   2304 851532 5452852 24544028    0    0     0     4 24440 27612  1  3 96  0  0  0
 1  0   2304 851532 5452852 24544028    0    0     0     0 27767 32713  1  3 95  0  0  0
 0  0   2304 851532 5452852 24544028    0    0     0     0 28409 34153  1  3 96  0  0  0
 1  0   2304 851532 5452852 24544028    0    0     0    28 29228 36183  1  3 95  0  0  0
 1  0   2304 851532 5452868 24544028    0    0     0   196 28536 36303  1  3 95  0  0  0
 0  0   2304 851532 5452868 24544028    0    0     0     0 28483 34962  1  3 96  0  0  0
 1  0   2304 851532 5452868 24544028    0    0     0   112 28087 34536  1  3 95  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st gu
 1  0   2304 851532 5452868 24544028    0    0     0     0 29946 37162  1  4 95  0  0  0
 3  0   2304 851532 5452868 24544028    0    0     0     0 28810 35439  1  4 95  0  0  0
 1  0   2304 851532 5452868 24544028    0    0     0    16 29266 36537  1  4 95  0  0  0
 1  0   2304 851532 5452876 24544028    0    0     0    16 28847 35734  1  4 95  0  0  0
 0  0   2304 851532 5452884 24544028    0    0     0    12 29170 35782  1  4 95  0  0  0
 1  0   2304 851532 5452884 24544028    0    0     0    72 28202 34451  2  4 95  0  0  0
 0  0   2304 851532 5452884 24544032    0    0     0     0 29112 36062  2  4 94  0  0  0
