procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
19  0  16384 13378512 2257156 106604144    0    0    20    33    2    2  2  1 98  0  0
22  0  16384 13450956 2257156 106604160    0    0     0   176 13460 2747 21  5 74  0  0
11  0  16384 13499304 2257156 106604160    0    0     0     0 14866 3018 22  3 75  0  0
16  0  16384 13547508 2257156 106604176    0    0     0  1796 14959 3311 22  4 74  0  0
16  0  16384 13576444 2257156 106604184    0    0     0     4 15046 2590 22  3 75  0  0
17  0  16384 13623600 2257160 106604192    0    0     0    56 10150 2757 23  3 74  0  0
17  0  16384 13642476 2257160 106604208    0    0     0     4 11660 3138 23  3 74  0  0
17  0  16384 13640576 2257160 106604344    0    0     0    92 14991 5207 23  3 74  0  0
16  0  16384 13660048 2257160 106604352    0    0     0  1672 13097 3748 23  3 74  0  0
16  0  16384 13666620 2257160 106604360    0    0     0     8 14068 2422 22  4 74  0  0
16  0  16384 13669024 2257160 106604360    0    0     0    36 12857 2614 20  6 74  0  0
18  0  16384 13671040 2257160 106604376    0    0     0    20 16699 2602 23  4 73  0  0
16  0  16384 13672388 2257160 106604384    0    0     0   108 14890 2974 23  3 74  0  0
16  0  16384 13681496 2257160 106604392    0    0     0  1668 15036 2720 23  3 74  0  0
17  0  16384 13677212 2257160 106604400    0    0     0    12 16541 2579 22  4 74  0  0
17  0  16384 13685136 2257160 106604408    0    0     0     8 15499 2530 22  3 74  0  0
17  0  16384 13252756 2257164 106604416    0    0     0   112 13871 2478 20  5 75  0  0
16  0  16384 13095936 2257164 106604424    0    0     0    28 9883 1778 24  3 73  0  0
17  0  16384 13067144 2257164 106604560    0    0     0   480 15082 4156 22  3 75  0  0
16  0  16384 13057484 2257164 106604576    0    0     0  1080 14239 5043 22  5 74  0  0
17  0  16384 13058272 2257164 106604584    0    0     0   100 12737 4817 22  3 75  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
20  0  16384 13048236 2257172 106604592    0    0     0    16 16379 3163 23  4 73  0  0
18  0  16384 13056668 2257172 106604600    0    0     0     8 16264 2349 22  5 73  0  0
17  0  16384 13059392 2257172 106604608    0    0     0    92 12850 2291 18  7 75  0  0
16  0  16384 13054108 2257172 106604624    0    0     0  1676 8657 2159 13 13 74  0  0
19  0  16384 13029200 2257172 106604624    0    0     0    12 5983 1856 10 16 74  0  0
19  0  16384 13016952 2257176 106604632    0    0     0    32 5853 2076 10 16 74  0  0
19  0  16384 13017976 2257176 106604640    0    0     0    92 6335 2262 11 15 74  0  0
17  0  16384 13004900 2257176 106604656    0    0     0     4 7161 1958 12 15 73  0  0
16  0  16384 13016744 2257176 106604656    0    0     0  1460 7878 2159 13 13 74  0  0
16  0  16384 13016584 2257176 106604792    0    0     0     4 8881 2491 15 11 74  0  0
 2  0  16384 13014392 2257176 106604800    0    0     0   264 15882 2903 22  3 74  0  0
16  0  16384 13019148 2257176 106604816    0    0     0    64 12253 2651 22  4 75  0  0
18  0  16384 12909056 2257176 106604824    0    0     0     8 8692 2003 24  3 73  0  0
16  0  16384 12892876 2257176 106604832    0    0     0  1732 12378 7623 21  5 74  0  0
16  0  16384 12887132 2257176 106604848    0    0     0   108 12912 4822 22  4 74  0  0
18  0  16384 12890744 2257176 106604856    0    0     0    12 8857 3915 20  6 75  0  0
17  0  16384 12878212 2257176 106604872    0    0     0    24 14906 4206 22  4 74  0  0
17  0  16384 12896240 2257176 106604880    0    0     0     0 15105 2784 22  4 74  0  0
16  0  16384 12891912 2257176 106604880    0    0     0  1808 16316 2899 22  5 73  0  0
16  0  16384 12901688 2257176 106605024    0    0     0    28 16053 2591 22  4 74  0  0
16  0  16384 12902128 2257176 106605032    0    0     0     8 15009 2881 21  4 74  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
25  0  16384 12901572 2257180 106605040    0    0     0   128 14091 2755 21  5 74  0  0
16  0  16384 12901660 2257180 106605056    0    0     0     4 11261 2545 18  8 74  0  0
18  0  16384 12889040 2257180 106605072    0    0     0  1900 9062 2260 15 12 73  0  0
17  0  16384 12889216 2257180 106605088    0    0     0     4 11846 2224 18  8 74  0  0
16  0  16384 12891140 2257180 106605088    0    0     0   104 8787 2718 18  7 75  0  0
10  0  16384 12815116 2257180 106605104    0    0     0    64 7776 2265 21  5 74  0  0
16  0  16384 12811280 2257180 106605104    0    0     0     4 13915 4304 22  3 75  0  0
17  0  16384 12814836 2257180 106605112    0    0     0   932 14935 4744 23  4 74  0  0
19  0  16384 12825132 2257180 106605120    0    0     0   456 13195 4338 23  4 73  0  0
16  0  16384 12823988 2257180 106605128    0    0     0   104 16315 3176 23  4 74  0  0
17  0  16384 12828392 2257180 106605264    0    0     0    20 14585 2618 23  3 74  0  0
18  0  16384 12823688 2257188 106605272    0    0     0    16 16171 2577 23  3 74  0  0
16  0  16384 12838612 2257188 106605280    0    0     0     4 15712 2615 23  3 74  0  0
17  0  16384 12843924 2257188 106605288    0    0     0  1616 16748 2335 23  3 75  0  0
16  0  16384 12844948 2257188 106605296    0    0     0     4 16851 2302 23  4 73  0  0
16  0  16384 12851116 2257188 106605296    0    0     0     0 13770 2671 22  3 75  0  0
16  0  16384 12847644 2257188 106605312    0    0     0    32 8973 1770 23  4 74  0  0
16  0  16384 12854044 2257188 106605312    0    0     0    84 12959 4109 22  3 75  0  0
17  0  16384 12853392 2257188 106605320    0    0     0  1376 15050 5278 23  3 74  0  0
17  0  16384 12862164 2257188 106605344    0    0     0   140 13096 4829 23  3 74  0  0
16  0  16384 12863540 2257188 106605344    0    0     0     8 17159 3308 23  3 74  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
19  0  16384 12867612 2257188 106605368    0    0     0   168 16460 2752 23  3 74  0  0
16  0  16384 12866092 2257192 106605504    0    0     0    48 16568 2949 22  3 74  0  0
17  0  16384 12868624 2257192 106605520    0    0     0  2144 14829 3100 23  3 74  0  0
16  0  16384 12873908 2257192 106605528    0    0     0     4 16261 2734 23  3 74  0  0
16  0  16384 12871336 2257192 106605536    0    0     0    92 17133 2561 23  4 73  0  0
16  0  16384 12873888 2257196 106605536    0    0     0    48 15936 2680 22  4 74  0  0
17  0  16384 12872148 2257196 106605568    0    0     0     8 10279 2368 22  3 75  0  0
16  0  16384 12861884 2257196 106605568    0    0     0  1720 8193 2319 20  6 74  0  0
16  0  16384 12863304 2257196 106605568    0    0     0     4 15043 4233 23  3 74  0  0
18  0  16384 12863312 2257196 106605584    0    0     0    28 15348 5359 23  4 73  0  0
17  0  16384 12865136 2257196 106605592    0    0     0     8 13388 4514 23  3 74  0  0
16  0  16384 12866836 2257196 106605728    0    0     0   112 15144 3260 23  3 74  0  0
19  0  16384 12867304 2257196 106605736    0    0     0  1516 16038 2423 23  3 74  0  0
19  0  16384 12861884 2257196 106605744    0    0     0   440 15327 2686 23  3 74  0  0
16  0  16384 12879472 2257196 106605752    0    0     0     4 16945 2562 22  3 74  0  0
25  0  16384 12880440 2257196 106605760    0    0     0     4 16919 2472 23  4 74  0  0
16  0  16384 12882572 2257200 106605776    0    0     0   144 16977 2355 23  3 74  0  0
16  0  16384 12884632 2257200 106605784    0    0     0     8 14783 2420 23  3 75  0  0
16  0  16384 12887624 2257200 106605792    0    0     0  1456 10033 2330 24  3 74  0  0
16  0  16384 12886688 2257200 106605792    0    0     0     4 13089 3696 22  3 75  0  0
16  0  16384 12884780 2257200 106605808    0    0     0    96 16362 4659 23  4 74  0  0
