procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st gu
 2  0   2304 658684 5625060 24479468    0    0  2074   112 2948    3  1  0 99  0  0  0
 2  0   2304 658232 5625060 24479468    0    0     0     0 17335 15315  2  3 95  0  0  0
 4  0   2304 657756 5625060 24479500    0    0     0     0 17594 15245  3  3 94  0  0  0
 1  0   2304 657500 5625060 24479500    0    0     0     0 14471 12177  1  2 97  0  0  0
 0  0   2304 657244 5625060 24479500    0    0     0     0 12105 10986  1  2 97  0  0  0
 1  0   2304 657756 5625064 24479500    0    0     0    32 12736 10700  1  2 96  0  0  0
 1  0   2304 657756 5625072 24479500    0    0     0   204 16496 13878  2  2 96  0  0  0
 1  0   2304 657500 5625072 24479500    0    0     0   112 16615 13236  1  3 96  0  0  0
 0  0   2304 657256 5625072 24479500    0    0     0     0 16912 14508  2  3 96  0  0  0
 0  0   2304 657232 5625072 24479500    0    0     0     0 13567 11661  1  2 97  0  0  0
 0  0   2304 656876 5625072 24479504    0    0     0     0 17624 14848  2  3 95  0  0  0
 0  0   2304 656876 5625088 24479504    0    0     0    52 17522 14668  2  2 96  0  0  0
 1  0   2304 656540 5625088 24479504    0    0     0   164 17774 14747  1  3 96  0  0  0
 0  0   2304 656796 5625088 24479504    0    0     0   116 17447 14058  2  3 96  0  0  0
 0  0   2304 658764 5625088 24479504    0    0     0     0 17958 14672  2  3 96  0  0  0
 2  0   2304 659020 5625088 24479508    0    0     0     0 17875 14156  2  3 96  0  0  0
 1  0   2304 658764 5625096 24479508    0    0     0    40 18030 15206  2  3 95  0  0  0
 2  0   2304 658772 5625104 24479516    0    0     0   208 17830 14159  1  3 96  0  0  0
 1  0   2304 658772 5625104 24479508    0    0     0     4 17658 15040  1  2 96  0  0  0
 0  0   2304 658516 5625104 24479508    0    0     0   116 17608 13915  1  3 96  0  0  0
 1  0   2304 658772 5625104 24479516    0    0     0     0 14131 11767  1  2 97  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st gu
 2  0   2304 658516 5625104 24479508    0    0     0     0 12535 10693  1  2 97  0  0  0
 0  0   2304 658524 5625112 24479508    0    0     0    32 12996 10372  1  2 96  0  0  0
 0  0   2304 658524 5625120 24479508    0    0     0    12 16233 12891  1  2 97  0  0  0
 0  0   2304 658524 5625120 24479516    0    0     0     4 16692 13642  1  2 97  0  0  0
 0  0   2304 658268 5625120 24479516    0    0     0   112 16644 13209  1  2 97  0  0  0
 1  0   2304 658524 5625120 24479508    0    0     0     0 12777 11160  1  2 97  0  0  0
 2  0   2304 658524 5625120 24479516    0    0     0     0 16387 13371  1  2 97  0  0  0
 0  0   2304 658268 5625120 24479516    0    0     0     0 17735 15045  2  2 96  0  0  0
 0  0   2304 658524 5625128 24479508    0    0     0    12 17396 14174  1  2 97  0  0  0
 0  0   2304 658524 5625136 24479508    0    0     0    20 17499 14596  2  2 96  0  0  0
 1  0   2304 658524 5625136 24479508    0    0     0    96 17475 14560  1  2 97  0  0  0
 0  0   2304 657756 5625136 24479516    0    0     0     0 17424 14290  1  2 97  0  0  0
 0  0   2304 658524 5625136 24479508    0    0     0     0 17527 14222  2  2 96  0  0  0
 0  0   2304 658268 5625136 24479508    0    0     0     0 17816 14956  1  2 97  0  0  0
