procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
17  0   5120 20846036 2289336 101229856    0    0    45    68    1    1  3  1 96  0  0
16  0   5120 20841076 2289336 101233216    0    0  1064     0 16238 12480 20  4 76  0  0
18  0   5120 20836796 2289336 101236768    0    0  1616    20 16430 12124 20  4 76  0  0
15  0   5120 20833700 2289336 101240280    0    0   844     0 16834 12551 20  5 75  0  0
16  0   5120 20831132 2289340 101244032    0    0  1572 26724 15349 12363 20  4 76  0  0
16  0   5120 20826068 2289340 101249000    0    0   912 28532 15725 11910 20  4 76  0  0
16  0   5120 20817548 2289344 101258240    0    0  6248  3864 16640 13535 21  4 75  0  0
16  0   5120 20812436 2289344 101266736    0    0  6272     0 16111 13359 20  4 76  0  0
17  0   5120 20798564 2289344 101275104    0    0  6508     0 16210 13304 21  4 74  0  0
16  0   5120 20801564 2289344 101281616    0    0  4208     0 11569 9934 22  4 75  0  0
16  0   5120 20797996 2289344 101287000    0    0  4156    16 14616 11526 20  3 76  0  0
16  0   5120 20790948 2289344 101294304    0    0  4900     0 16099 12133 21  4 75  0  0
 1  0   5120 20776228 2289344 101301728    0    0  4312     0 16961 12800 20  4 76  0  0
17  0   5120 20768708 2289344 101306496    0    0  3176 10392 16182 12754 21  4 75  0  0
15  0   5120 20766388 2289344 101311048    0    0  2092  6112 15776 12896 21  5 75  0  0
17  0   5120 20755776 2289348 101315664    0    0  1796    20 16328 13257 20  4 76  0  0
16  0   5120 20759032 2289348 101320272    0    0  1260     0 16028 12508 21  4 76  0  0
16  0   5120 20757680 2289348 101323720    0    0  1900     0 16245 13086 20  4 76  0  0
18  0   5120 20752060 2289348 101328424    0    0  2064  9484 15903 12547 20  4 75  0  0
17  0   5120 20748576 2289348 101331528    0    0  1012  7376 16386 12853 21  4 75  0  0
16  0   5120 20745948 2289348 101335896    0    0  1856    20 15728 12574 21  4 75  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
18  0   5120 20742808 2289348 101339416    0    0  1356     0 15846 12455 20  4 76  0  0
16  0   5120 20739476 2289348 101343104    0    0  1232     0 16473 12825 21  4 75  0  0
16  0   5120 20736428 2289348 101346952    0    0  1212     0 16347 12461 20  4 76  0  0
17  0   5120 20726112 2289348 101350648    0    0  1196     0 13282 10642 21  3 76  0  0
16  0   5120 20728428 2289356 101352952    0    0   424    16 13022 10955 22  4 74  0  0
17  0   5120 20726924 2289356 101355000    0    0   572     0 15261 11547 20  4 76  0  0
15  0   5120 20722776 2289356 101358184    0    0   540     0 16140 12501 21  4 75  0  0
16  0   5120 20720920 2289356 101361584    0    0  1384     0 16955 12702 20  4 76  0  0
16  0   5120 20717796 2289356 101364736    0    0   568 16392 17264 12839 21  4 75  0  0
17  0   5120 20717388 2289360 101367824    0    0   760    52 16569 13079 20  4 75  0  0
18  0   5120 20657300 2289360 101370576    0    0   488 16420 15818 12623 21  5 75  0  0
16  0   5120 20659340 2289360 101373328    0    0   448 30576 16096 12196 21  4 76  0  0
16  0   5120 20644380 2289364 101387528    0    0  9232 10400 17588 13130 21  4 76  0  0
16  0   5120 20623180 2289404 101400320    0    0  7500 56988 15754 12455 21  4 75  0  0
16  0   5120 20604380 2289424 101412472    0    0  7272 40824 15139 12468 20  4 76  0  0
15  0   5120 20583044 2289472 101425160    0    0  6832 41516 15905 12961 21  5 74  0  0
16  0   5120 20561272 2289512 101435872    0    0  5220 30220 15178 12145 21  4 75  0  0
24  0   5120 20539948 2289544 101446632    0    0  4132 37176 15237 12586 21  4 75  0  0
16  0   5120 20524592 2289576 101455296    0    0  3512 27340 14414 12186 21  4 75  0  0
18  0   5120 20500248 2289624 101462960    0    0  2528 27900 9998 8749 21  2 76  0  0
17  0   5120 20499220 2289644 101469280    0    0  1392 20732 15539 12173 21  4 75  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
17  0   5120 20492984 2289668 101476648    0    0  2504 33956 14436 11810 21  4 74  0  0
16  0   5120 20484228 2289700 101484560    0    0  1992 29152 16598 12130 20  4 76  0  0
14  0   5120 20477680 2289720 101492560    0    0  1524 21936 15438 12444 20  4 76  0  0
16  0   5120 20471604 2289772 101500096    0    0  1812 39856 16928 12841 21  4 75  0  0
16  0   5120 20461600 2289800 101508504    0    0  2936 35944 15927 12314 20  4 76  0  0
17  0   5120 20452740 2289824 101515872    0    0  1244 30372 15986 12325 21  5 74  0  0
17  0   5120 20445128 2289848 101521656    0    0  1208 26432 15125 12384 20  4 76  0  0
17  0   5120 20428312 2289884 101530160    0    0   904 32032 15619 12235 21  3 76  0  0
16  0   5120 20432944 2289912 101535760    0    0   676 30424 16068 12553 21  4 75  0  0
16  0   5120 20418544 2289932 101543008    0    0   788 32932 11739 9089 15  3 82  0  0
