procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st gu
 2  0   2304 793096 5483336 24573964    0    0  4704   189 4229    3  1  1 99  0  0  0
 1  0   2304 790924 5483336 24573972    0    0     0     0 15402 15653  1  2 97  0  0  0
 1  0   2304 790672 5483340 24573968    0    0     4     4 15653 16756  1  3 96  0  0  0
 0  0   2304 790672 5483340 24573972    0    0     0   308 15664 16132  1  2 97  0  0  0
 0  0   2304 790172 5483348 24573972    0    0     0    48 14895 14887  1  2 97  0  0  0
 0  0   2304 790172 5483348 24573972    0    0     0     0 15359 15494  1  2 97  0  0  0
 0  0   2304 790172 5483356 24573972    0    0     0   128 13492 13306  1  2 97  0  0  0
 0  0   2304 790172 5483356 24573972    0    0     0     0 13263 12902  1  2 97  0  0  0
 0  0   2304 790172 5483356 24573972    0    0     0     4 12943 12332  1  2 97  0  0  0
 0  0   2304 790172 5483356 24573972    0    0     0    20 12349 13347  1  2 97  0  0  0
 0  0   2304 790172 5483356 24573972    0    0     0     0 10773 10344  1  2 98  0  0  0
 0  0   2304 790172 5483364 24573972    0    0     0    56 13848 13563  1  2 97  0  0  0
 0  0   2304 790172 5483372 24573972    0    0     0    68 15520 15432  1  2 97  0  0  0
 2  0   2304 790172 5483372 24573972    0    0     0     0 16240 15669  1  2 97  0  0  0
 0  0   2304 790172 5483372 24573972    0    0     0     4 16571 16020  1  3 97  0  0  0
 0  0   2304 790172 5483372 24573972    0    0     0     0 16672 16143  1  3 96  0  0  0
 0  0   2304 790172 5483372 24573972    0    0     0   164 16816 15682  1  3 97  0  0  0
 1  0   2304 790172 5483380 24573972    0    0     0    28 17089 16617  1  3 96  0  0  0
 0  0   2304 790172 5483388 24573972    0    0     0   108 16933 16208  2  2 96  0  0  0
 1  0   2304 789920 5483388 24573972    0    0     0     4 14992 15862  1  3 96  0  0  0
 0  0   2304 789920 5483388 24573972    0    0     0     4 16632 15838  1  3 96  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st gu
 2  0   2304 789920 5483388 24573972    0    0     0     0 17052 16482  1  3 97  0  0  0
 0  0   2304 789304 5483388 24573972    0    0     0   152 15760 15163  1  2 97  0  0  0
 1  0   2304 788152 5483396 24573964    0    0     0   180 16145 15859  1  2 97  0  0  0
 1  0   2304 788664 5483404 24573972    0    0     0    12 17140 16400  1  2 97  0  0  0
 0  0   2304 788664 5483404 24573972    0    0     0     0 17031 16166  1  2 97  0  0  0
 1  0   2304 788664 5483404 24573972    0    0     0     4 16629 16075  1  2 96  0  0  0
 0  0   2304 788664 5483404 24573972    0    0     0     0 13537 13318  1  2 97  0  0  0
 0  0   2304 788664 5483404 24573972    0    0     0    20 12223 11516  1  1 98  0  0  0
 1  0   2304 788416 5483404 24573972    0    0     0     0 16513 17036  1  2 96  0  0  0
 0  0   2304 788416 5483412 24573972    0    0     0    64 15935 15180  1  2 97  0  0  0
 0  0   2304 788412 5483420 24573976    0    0     0    16 16968 16553  1  2 97  0  0  0
 1  0   2304 788160 5483420 24573976    0    0     0     4 16987 16947  1  2 97  0  0  0
 0  0   2304 788160 5483420 24573976    0    0     0     0 17051 17032  1  2 96  0  0  0
 0  0   2304 788160 5483420 24573976    0    0     0     0 16539 15555  1  2 97  0  0  0
 0  0   2304 788160 5483420 24573976    0    0     0     0 17041 16500  1  3 97  0  0  0
 0  0   2304 787652 5483436 24573968    0    0     0   140 17071 16543  1  2 97  0  0  0
 0  0   2304 787656 5483436 24573976    0    0     0     0 16616 16154  1  2 97  0  0  0
 0  0   2304 787656 5483436 24573976    0    0     0     4 16799 16000  1  2 97  0  0  0
 2  0   2304 787656 5483436 24573976    0    0     0     0 17152 18493  1  3 96  0  0  0
 0  0   2304 787656 5483436 24573980    0    0     4     0 16708 16072  1  2 97  0  0  0
 1  0   2304 787656 5483436 24573980    0    0     0   172 16818 16233  1  2 97  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st gu
 1  0   2304 787656 5483452 24573980    0    0     0   112 16590 16169  1  2 97  0  0  0
 0  0   2304 787656 5483452 24573984    0    0     0     0 17132 16778  1  2 97  0  0  0
