procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st gu
 0  1   2304 802024 5477920 24572428    0    0  4800   192 4216    3  1  1 99  0  0  0
 0  0   2304 801496 5477928 24572432    0    0     0    56 5448 7854  1  1 99  0  0  0
 0  0   2304 800740 5477928 24572432    0    0     0     0 5413 7247  0  1 99  0  0  0
 0  0   2304 800228 5477928 24572432    0    0     0     0 5299 6888  0  1 99  0  0  0
 0  0   2304 800740 5477936 24572432    0    0     0   288 5682 7369  1  1 99  0  0  0
 1  0   2304 800488 5477936 24572432    0    0     0   368 5656 7548  0  1 98  0  0  0
 0  0   2304 800488 5477944 24572432    0    0     0    40 5465 7524  1  1 99  0  0  0
 0  0   2304 800488 5477944 24572432    0    0     0     4 5175 6526  0  1 99  0  0  0
 1  0   2304 800488 5477944 24572432    0    0     0     0 5581 6643  1  1 98  0  0  0
 0  0   2304 800236 5477952 24572424    0    0     0    64 5595 6867  0  1 99  0  0  0
 0  0   2304 799984 5477952 24572432    0    0     0     0 5807 7366  1  1 99  0  0  0
 0  0   2304 799984 5477952 24572436    0    0     0   148 5277 7237  1  1 99  0  0  0
 0  0   2304 799984 5477960 24572436    0    0     0    12 5523 6891  0  1 99  0  0  0
 0  0   2304 799472 5477960 24572436    0    0     0     4 4342 5353  0  1 99  0  0  0
 0  0   2304 799984 5477960 24572436    0    0     0     0 4222 5743  0  0 99  0  0  0
 0  0   2304 799984 5477968 24572436    0    0     0    32 4337 5626  0  1 99  0  0  0
 1  0   2304 799984 5477968 24572436    0    0     0   224 4297 6212  1  1 98  0  0  0
 0  0   2304 799984 5477968 24572436    0    0     0     0 4184 5723  0  0 99  0  0  0
 1  0   2304 799984 5477976 24572436    0    0     0    12 4315 5999  1  1 99  0  0  0
 0  0   2304 799984 5477976 24572436    0    0     0     4 4023 5280  0  1 99  0  0  0
 0  0   2304 799984 5477976 24572436    0    0     0     0 4819 7227  1  1 99  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st gu
 1  0   2304 799984 5477984 24572428    0    0     0    32 4312 6303  0  1 99  0  0  0
 1  0   2304 797976 5477984 24572436    0    0     0     0 4520 6071  1  1 99  0  0  0
 0  0   2304 797976 5477984 24572436    0    0     0    96 5326 6242  0  1 99  0  0  0
 0  0   2304 797976 5477992 24572436    0    0     0    12 5318 6522  1  1 99  0  0  0
 0  0   2304 797976 5477992 24572436    0    0     0     4 5216 6147  1  1 99  0  0  0
 0  0   2304 797976 5477992 24572436    0    0     0    80 5501 6974  1  1 99  0  0  0
 0  0   2304 797976 5477992 24572436    0    0     0     0 5346 6158  0  1 99  0  0  0
 0  0   2304 797976 5478000 24572436    0    0     0    16 5467 6793  0  1 99  0  0  0
 0  0   2304 797976 5478000 24572436    0    0     0    52 5341 6318  0  1 99  0  0  0
 0  0   2304 797976 5478008 24572440    0    0     0    12 5582 7342  1  1 99  0  0  0
 0  0   2304 797976 5478008 24572440    0    0     0     4 5400 6967  0  1 99  0  0  0
 1  0   2304 797976 5478008 24572440    0    0     0     0 5460 6637  1  1 99  0  0  0
 0  0   2304 797976 5478008 24572440    0    0     0     0 5268 6278  0  1 99  0  0  0
