procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st gu
 3  2   2816 3406032 6287008 21172324    0    0  4372   122 2870    3  1  0 99  0  0  0
 1  0   2816 3405548 6287016 21172344    0    0     0    20 18343 16842  2  3 95  0  0  0
 1  0   2816 3405548 6287016 21172344    0    0     0     0 18247 16043  2  3 95  0  0  0
 2  0   2816 3405548 6287016 21172344    0    0     0    92 18182 15542  2  3 96  0  0  0
 1  0   2816 3405296 6287016 21172344    0    0     0     0 18197 14710  2  3 96  0  0  0
 1  0   2816 3405296 6287016 21172344    0    0     0     0 17914 14423  1  3 96  0  0  0
 0  0   2816 3405296 6287032 21172344    0    0     0   372 17119 13930  1  2 96  0  0  0
 1  0   2816 3405296 6287032 21172352    0    0     0     0 17076 14176  1  3 96  0  0  0
 0  0   2816 3404316 6287032 21172344    0    0     0     0 15529 13007  1  3 96  0  0  0
 0  0   2816 3403924 6287032 21172344    0    0     0    96 12307 10523  1  2 97  0  0  0
 0  0   2816 3404176 6287032 21172352    0    0     0     0 14860 11972  1  2 96  0  0  0
 0  0   2816 3404176 6287048 21172348    0    0     0   292 17355 14728  2  3 95  0  0  0
 0  0   2816 3403168 6287048 21172352    0    0     0     4 16272 13685  1  2 96  0  0  0
 1  0   2816 3402664 6287048 21172352    0    0     0     0 15754 13677  2  2 96  0  0  0
 2  0   2816 3402664 6287048 21172352    0    0     0     0 17890 14393  1  2 96  0  0  0
 0  0   2816 3402664 6287048 21172344    0    0     0    88 17746 14367  2  3 96  0  0  0
 0  0   2816 3402664 6287048 21172352    0    0     0     0 17728 14294  1  3 96  0  0  0
 0  0   2816 3402152 6287064 21172352    0    0     0    64 18053 14859  2  2 96  0  0  0
 0  0   2816 3402664 6287064 21172344    0    0     0   160 17858 14456  1  3 96  0  0  0
 1  0   2816 3402664 6287064 21172352    0    0     0     0 18425 15367  2  3 95  0  0  0
 0  0   2816 3402664 6287064 21172352    0    0     0     0 17886 14254  1  3 96  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st gu
 1  0   2816 3402664 6287064 21172344    0    0     0    68 17244 14447  2  3 95  0  0  0
 0  0   2816 3402664 6287064 21172352    0    0     0    16 14536 12584  1  2 96  0  0  0
 0  0   2816 3402664 6287080 21172352    0    0     0    28 12687 11163  1  2 97  0  0  0
 0  0   2816 3402664 6287080 21172352    0    0     0     4 17283 14724  2  3 96  0  0  0
 0  0   2816 3402416 6287080 21172352    0    0     0     0 18003 15568  2  3 95  0  0  0
 0  0   2816 3401904 6287080 21172352    0    0     0     0 17459 14750  1  3 96  0  0  0
 0  0   2816 3402416 6287080 21172352    0    0     0    84 14627 13175  1  2 96  0  0  0
 1  0   2816 3402416 6287080 21172336    0    0     0     0 17877 14761  2  3 95  0  0  0
 1  0   2816 3402164 6287096 21172336    0    0     0    28 17934 14751  1  3 96  0  0  0
 0  0   2816 3402164 6287096 21172336    0    0     0     4 17711 14421  2  3 96  0  0  0
 2  0   2816 3402164 6287096 21172336    0    0     0     0 17959 15544  2  3 95  0  0  0
 0  0   2816 3402164 6287096 21172336    0    0     0     0 17550 14517  2  3 95  0  0  0
 0  0   2816 3402164 6287096 21172340    0    0     0    88 18511 15801  2  3 95  0  0  0
