procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
17  0    512 18798508 2385032 100145776    0    0    67    99    0    4  3  1 96  0  0
16  0    512 18799796 2385032 100146328    0    0   688     8 15772 2608 23  3 74  0  0
17  0    512 18678136 2385032 100147008    0    0   892   132 15781 3198 23  4 74  0  0
16  0    512 18092476 2385032 100147936    0    0   524    64 16314 2850 21  6 73  0  0
17  0    512 17683488 2385032 100148128    0    0   496     8 10751 2303 23  4 73  0  0
16  0    512 17373860 2385032 100148576    0    0   288  1492 9674 2385 22  4 74  0  0
17  0    512 17369104 2385036 100149152    0    0   728   152 15202 3915 23  3 74  0  0
21  0    512 17364636 2385036 100149696    0    0   272     0 15692 3541 23  3 74  0  0
16  0    512 17373644 2385036 100149976    0    0   208     4 13812 4388 23  3 74  0  0
16  0    512 17373348 2385036 100150144    0    0   196     8 13246 5477 23  2 75  0  0
16  0    512 17372296 2385036 100150296    0    0   132  1820 16248 2855 23  4 72  0  0
20  0    512 17373156 2385036 100150560    0    0   140   196 15440 2341 24  2 74  0  0
16  0    512 17373956 2385036 100150816    0    0   496     4 16822 2319 23  3 74  0  0
16  0    512 17374340 2385036 100151320    0    0   356     4 15801 2796 23  3 74  0  0
17  0    512 17367812 2385036 100151584    0    0   196     8 15053 2782 23  3 74  0  0
18  0    512 17374756 2385036 100151808    0    0   364  1296 16410 2816 23  4 73  0  0
16  0    512 17376100 2385040 100152176    0    0   260   160 15840 2889 23  3 73  0  0
16  0    512 17381360 2385040 100152352    0    0   316    20 17002 2691 23  3 73  0  0
19  0    512 17381344 2385040 100152624    0    0   140     8 10697 1710 24  2 74  0  0
18  0    512 17247124 2385040 100152832    0    0    76     4 10992 2549 22  3 76  0  0
16  0    512 17249176 2385040 100153040    0    0   320  1856 14742 4095 23  3 74  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
17  1    512 17247296 2385040 100153184    0    0     8    24 15787 3634 24  4 73  0  0
14  0    512 17245876 2385044 100153432    0    0   276    24 13386 4661 23  3 74  0  0
19  0    512 17241920 2385044 100153632    0    0   204     4 14465 5153 23  3 74  0  0
16  0    512 17248804 2385048 100153920    0    0   252   100 16220 2429 23  3 74  0  0
16  0    512 17248588 2385048 100153952    0    0   136  1552 16179 2751 23  3 74  0  0
17  0    512 17245004 2385048 100154352    0    0   256     4 16503 2512 23  3 73  0  0
19  0    512 17240468 2385048 100154448    0    0   148    60 15493 2981 23  4 73  0  0
17  0    512 17237132 2385048 100154592    0    0    88     8 15764 2638 23  3 74  0  0
16  0    512 17238060 2385048 100154736    0    0    56    72 15400 2490 23  3 74  0  0
18  0    512 17230732 2385052 100155152    0    0   284   536 17279 2706 23  4 74  0  0
16  0    512 17243180 2385052 100155168    0    0   244   924 17125 2283 23  3 74  0  0
18  0    512 17244092 2385052 100155424    0    0     4    24 10873 2156 24  3 73  0  0
17  0    512 17088052 2385060 100155552    0    0   140    24 12488 2497 23  3 74  0  0
16  0    512 17086284 2385060 100155824    0    0   104   112 15804 4386 23  3 74  0  0
16  0    512 17082632 2385060 100155824    0    0   128     4 15472 3328 23  3 73  0  0
18  0    512 17083492 2385060 100155968    0    0   176  2016 12095 4195 23  2 74  0  0
18  0    512 17084196 2385060 100156144    0    0     0     4 16451 5507 23  3 74  0  0
17  0    512 17082124 2385060 100156160    0    0    16   108 15657 2546 23  4 73  0  0
17  0    512 17075800 2385064 100156192    0    0    64    20 16153 3704 23  3 74  0  0
17  0    512 17080940 2385064 100156256    0    0   120     8 15403 3057 23  3 74  0  0
16  0    512 17085464 2385064 100156480    0    0   236  1640 17419 2728 23  3 74  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
17  0    512 17081564 2385064 100156624    0    0   132     4 17353 2642 23  4 73  0  0
18  0    512 17080588 2385064 100156872    0    0   104    32 16433 2426 23  3 74  0  0
17  0    512 17079712 2385064 100156888    0    0     0     8 17835 2626 24  4 73  0  0
16  0    512 17085128 2385064 100157016    0    0     0    24 16596 2832 23  3 74  0  0
17  0    512 17076680 2385064 100157040    0    0    20  1416 11496 1930 24  3 74  0  0
16  0    512 16868976 2385064 100157168    0    0   184     8 10458 2521 23  3 74  0  0
16  0    512 16863760 2385064 100157248    0    0   128    16 14817 3537 23  3 75  0  0
16  0    512 16853724 2385064 100157408    0    0    36    16 15614 4004 23  4 72  0  0
18  0    512 16854996 2385064 100157432    0    0     4     4 15072 4732 23  3 74  0  0
16  0    512 16853800 2385072 100157424    0    0     8  1520 12583 5266 24  3 74  0  0
16  0    512 16854152 2385072 100157456    0    0    20     4 16662 2652 23  3 74  0  0
16  0    512 16853240 2385072 100157520    0    0   156     8 16657 2379 23  3 74  0  0
18  0    512 16855172 2385072 100157632    0    0     0     8 17416 2429 23  4 74  0  0
