procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st gu
 1  0   2560 1249664 6328420 23331688    0    0  4404   118 2788    3  1  0 99  0  0  0
 0  0   2560 1249172 6328428 23331708    0    0     0   140 16990 16798  1  2 97  0  0  0
 0  0   2560 1248416 6328428 23331712    0    0     0   408 17456 17462  1  3 96  0  0  0
 2  0   2560 1252008 6328428 23331712    0    0     0     4 15944 16046  1  2 97  0  0  0
 0  0   2560 1251756 6328428 23331712    0    0     0     0 16712 16309  1  3 96  0  0  0
 1  0   2560 1251756 6328428 23331712    0    0     0     0 16255 15906  1  3 96  0  0  0
 0  0   2560 1251756 6328436 23331712    0    0     0    32 14339 14787  1  2 97  0  0  0
 1  0   2560 1251756 6328444 23331712    0    0     0   132 15902 15171  1  2 97  0  0  0
 0  0   2560 1251756 6328444 23331712    0    0     0   156 16727 16518  1  3 96  0  0  0
 0  0   2560 1251756 6328444 23331712    0    0     0     0 16047 15392  1  3 96  0  0  0
 0  0   2560 1251756 6328444 23331712    0    0     0     0 16986 17313  1  3 97  0  0  0
 0  0   2560 1251756 6328452 23331704    0    0     0    36 16519 16607  1  2 97  0  0  0
 2  0   2560 1251756 6328452 23331712    0    0     0    28 17218 17730  1  2 97  0  0  0
 1  0   2560 1251244 6328460 23331712    0    0     0   116 17986 19251  1  3 97  0  0  0
 0  0   2560 1251756 6328460 23331712    0    0     0     0 17056 18136  2  3 95  0  0  0
 0  0   2560 1251756 6328460 23331712    0    0     0     0 15584 15905  1  2 97  0  0  0
 1  0   2560 1251756 6328460 23331712    0    0     0     8 16333 16720  1  3 96  0  0  0
 1  0   2560 1251532 6328468 23331712    0    0     0    12 16452 16312  1  3 97  0  0  0
 1  0   2560 1251532 6328468 23331712    0    0     0     8 17247 17856  1  2 97  0  0  0
 0  0   2560 1251532 6328468 23331712    0    0     0    84 16712 16170  1  2 97  0  0  0
 0  0   2560 1251284 6328476 23331712    0    0     0    24 17418 18367  1  3 96  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st gu
 2  0   2560 1251284 6328476 23331712    0    0     0     0 17758 19149  1  3 96  0  0  0
 0  0   2560 1251284 6328476 23331712    0    0     0     0 17389 17840  1  3 96  0  0  0
 1  0   2560 1251284 6328484 23331712    0    0     0    12 17361 17880  1  3 96  0  0  0
 2  0   2560 1251284 6328484 23331712    0    0     0     4 15605 15952  1  2 97  0  0  0
 0  0   2560 1251284 6328492 23331712    0    0     0   384 15911 15372  1  2 97  0  0  0
 1  0   2560 1251284 6328492 23331712    0    0     0     0 16181 15757  1  2 97  0  0  0
 0  0   2560 1248340 6328492 23331712    0    0     0     0 16568 16296  1  2 96  0  0  0
 0  0   2560 1244164 6328492 23331716    0    0     0     4 14220 14524  1  2 96  0  0  0
 0  0   2560 1244164 6328500 23331716    0    0     0    48 16574 16209  1  2 97  0  0  0
 0  0   2560 1244164 6328500 23331716    0    0     0    24 14436 15503  1  2 97  0  0  0
 0  0   2560 1243916 6328500 23331732    0    0     0    80 16477 15518  1  3 97  0  0  0
 1  0   2560 1243916 6328508 23331732    0    0     0    20 16334 16026  1  2 97  0  0  0
 1  0   2560 1243916 6328508 23331728    0    0     0     0 16610 16614  1  3 96  0  0  0
 0  0   2560 1243916 6328508 23331736    0    0     0    40 14389 14055  1  2 97  0  0  0
 0  0   2560 1243916 6328516 23331736    0    0     0    24 15517 14756  1  2 97  0  0  0
