procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
15  0    512 24229744 2375408 99233808    0    0    66    98    6    3  3  1 96  0  0
16  0    512 24219532 2375408 99239160    0    0  2916 52272 16296 11919 21  4 75  0  0
18  0    512 24222284 2375408 99244952    0    0  2344   140 15696 13001 21  5 74  0  0
17  0    512 24211812 2375412 99248336    0    0  1936    40 14768 12027 19  5 76  0  0
16  0    512 24201912 2375412 99252560    0    0  1896  1208 15273 12561 19  5 76  0  0
18  0    512 24197612 2375412 99256720    0    0  1176    16 15917 11723 19  6 75  0  0
17  0    512 24191912 2375412 99259480    0    0  1400    20 14543 12033 18  5 77  0  0
17  0    512 24183640 2375412 99263248    0    0  1336   148 14248 12526 19  6 76  0  0
16  0    512 24181308 2375412 99266976    0    0  2220    52 14868 12188 18  6 76  0  0
14  0    512 24175864 2375412 99271312    0    0  1496  1520 13939 12062 18  6 76  0  0
19  0    512 24169932 2375412 99274504    0    0  1744     4 12861 10923 20  4 76  0  0
17  0    512 24154504 2375412 99278128    0    0  1608   112 15535 12131 21  4 75  0  0
16  0    512 24155648 2375412 99281664    0    0  1660     8 16113 12730 20  5 75  0  0
17  0    512 24153512 2375416 99285824    0    0  1508    44 16737 12432 20  5 75  0  0
16  0    512 24149360 2375416 99289216    0    0  1088  1400 16020 12988 21  4 74  0  0
20  0    512 24130672 2375420 99292752    0    0   672 18588 15901 12890 21  4 75  0  0
15  0    512 24111108 2375420 99295360    0    0   740 28652 16487 12803 21  5 75  0  0
16  0    512 24088404 2375420 99305376    0    0  6672  3876 17074 13551 20  4 76  0  0
17  1    512 24071012 2375420 99316808    0    0  7856    40 17235 13263 21  4 75  0  0
16  0    512 24008400 2375468 99347552    0    0 27576 26048 15586 11868 20  6 74  0  0
17  0    512 23986124 2375504 99360960    0    0  8408 40528 12281 10953 17  6 77  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
17  0    512 23972580 2375540 99374312    0    0  8280 30552 10816 10322 20  5 75  0  0
16  0    512 23956684 2375588 99382528    0    0  3420 32676 14693 12565 21  4 75  0  0
16  0    512 23946628 2375600 99391120    0    0  2728 29840 16537 12893 21  4 75  0  0
20  0    512 23942472 2375616 99399280    0    0  2112 16620 15979 12389 20  5 75  0  0
16  0    512 23934976 2375640 99406384    0    0  2412 30752 16301 12461 20  5 75  0  0
17  0    512 23924208 2375656 99415208    0    0  1012 20428 15065 13310 21  4 75  0  0
