run,elapsed,latency,dblatency,ttype,rbk,dskipped,error
1,72,3,3,DELIVERY,0,0,0
1,72,3,3,DELIVERY,0,0,0
1,196,109,109,PAYMENT,0,0,0
1,197,110,110,PAYMENT,0,0,0
1,219,132,132,PAYMENT,0,0,0
1,221,134,134,PAYMENT,0,0,0
1,224,138,138,PAYMENT,0,0,0
1,231,144,144,PAYMENT,0,0,0
1,253,169,169,PAYMENT,0,0,0
1,267,182,182,PAYMENT,0,0,0
1,270,184,184,PAYMENT,0,0,0
1,292,207,207,PAYMENT,0,0,0
1,308,239,239,NEW_ORDER,0,0,0
1,318,234,234,PAYMENT,0,0,0
1,319,235,235,NEW_ORDER,0,0,0
1,322,238,238,PAYMENT,0,0,0
1,339,267,267,NEW_ORDER,0,0,0
1,341,262,262,NEW_ORDER,0,0,0
1,353,267,267,PAYMENT,0,0,0
1,353,280,280,NEW_ORDER,0,0,0
1,368,295,295,NEW_ORDER,0,0,0
1,372,288,288,PAYMENT,0,0,0
1,372,288,288,NEW_ORDER,0,0,0
1,375,296,296,NEW_ORDER,0,0,0
1,379,299,299,NEW_ORDER,0,0,0
1,380,311,311,STOCK_LEVEL,0,0,0
1,381,290,290,PAYMENT,0,0,0
1,389,299,299,PAYMENT,0,0,0
1,392,308,308,NEW_ORDER,0,0,0
1,395,305,305,PAYMENT,0,0,0
1,402,312,312,PAYMENT,0,0,0
1,403,334,334,PAYMENT,0,0,0
1,404,335,319,DELIVERY_BG,0,0,0
1,409,340,340,PAYMENT,0,0,0
1,420,330,330,PAYMENT,0,0,0
1,426,357,341,DELIVERY_BG,0,0,0
1,427,343,343,NEW_ORDER,0,0,0
1,441,357,357,NEW_ORDER,0,0,0
1,460,374,374,PAYMENT,0,0,0
1,7532,26,26,PAYMENT,0,0,0
1,7541,37,37,PAYMENT,0,0,0
1,7571,56,56,PAYMENT,0,0,0
1,7578,53,53,PAYMENT,0,0,0
1,7581,53,53,STOCK_LEVEL,0,0,0
1,7616,88,88,PAYMENT,0,0,0
1,7640,126,126,NEW_ORDER,0,0,0
1,7660,121,121,PAYMENT,0,0,0
1,7672,145,145,NEW_ORDER,0,0,0
1,7672,133,133,PAYMENT,0,0,0
1,7676,157,157,NEW_ORDER,0,0,0
1,7678,150,150,NEW_ORDER,0,0,0
1,7680,165,165,NEW_ORDER,0,0,0
1,7704,165,165,PAYMENT,0,0,0
1,7711,183,183,NEW_ORDER,0,0,0
1,7711,197,197,NEW_ORDER,0,0,0
1,7711,188,188,NEW_ORDER,0,0,0
1,7714,186,186,NEW_ORDER,0,0,0
1,7714,173,173,NEW_ORDER,0,0,0
1,7713,173,173,PAYMENT,0,0,0
1,7724,168,168,PAYMENT,0,0,0
1,7725,192,192,NEW_ORDER,0,0,0
1,7731,206,206,NEW_ORDER,0,0,0
1,7731,175,175,NEW_ORDER,0,0,0
1,7734,176,176,ORDER_STATUS,0,0,0
1,7740,198,198,NEW_ORDER,0,0,0
1,7742,182,182,NEW_ORDER,0,0,0
1,7749,217,217,NEW_ORDER,0,0,0
1,7756,195,195,NEW_ORDER,0,0,0
1,7760,204,204,NEW_ORDER,0,0,0
1,7771,204,204,PAYMENT,0,0,0
1,7771,215,215,NEW_ORDER,0,0,0
