run,elapsed,latency,dblatency,ttype,rbk,dskipped,error
9,47,4,4,DELIVERY,0,0,0
9,173,130,130,ORDER_STATUS,0,0,0
9,173,130,130,ORDER_STATUS,0,0,0
9,174,131,131,ORDER_STATUS,0,0,0
9,178,129,129,PAYMENT,0,0,0
9,178,133,133,PAYMENT,0,0,0
9,178,132,132,PAYMENT,0,0,0
9,179,131,131,PAYMENT,0,0,0
9,248,200,200,PAYMENT,0,0,0
9,248,199,199,PAYMENT,0,0,0
9,251,207,207,STOCK_LEVEL,0,0,0
9,258,211,211,PAYMENT,0,0,0
9,258,211,211,PAYMENT,0,0,0
9,268,224,224,STOCK_LEVEL,0,0,0
9,268,224,224,NEW_ORDER,0,0,0
9,288,244,244,NEW_ORDER,0,0,0
9,298,251,251,PAYMENT,0,0,0
9,298,254,254,PAYMENT,0,0,0
9,308,264,264,NEW_ORDER,0,0,0
9,308,259,259,PAYMENT,0,0,0
9,308,258,258,PAYMENT,0,0,0
9,328,284,284,NEW_ORDER,0,0,0
9,328,285,285,NEW_ORDER,0,0,0
9,328,284,284,NEW_ORDER,0,0,0
9,338,292,292,PAYMENT,0,0,0
9,348,304,304,NEW_ORDER,0,0,0
9,358,315,315,NEW_ORDER,0,0,0
9,358,310,310,PAYMENT,0,0,0
9,368,324,324,NEW_ORDER,0,0,0
9,368,324,324,NEW_ORDER,0,0,0
9,389,341,341,PAYMENT,0,0,0
9,389,346,346,NEW_ORDER,0,0,0
9,389,344,344,PAYMENT,0,0,0
9,397,352,352,PAYMENT,0,0,0
9,417,374,366,DELIVERY_BG,0,0,0
9,427,381,381,PAYMENT,0,0,0
9,447,400,400,PAYMENT,0,0,0
9,508,463,463,PAYMENT,0,0,0
9,7517,1,1,DELIVERY,0,0,0
9,7588,61,61,PAYMENT,0,0,0
9,7598,61,61,PAYMENT,0,0,0
9,7600,53,53,PAYMENT,0,0,0
9,7608,91,91,PAYMENT,0,0,0
9,7616,69,69,ORDER_STATUS,0,0,0
9,7628,81,81,PAYMENT,0,0,0
9,7638,111,111,NEW_ORDER,0,0,0
9,7638,111,111,PAYMENT,0,0,0
9,7653,127,127,STOCK_LEVEL,0,0,0
9,7658,121,121,PAYMENT,0,0,0
9,7668,131,131,PAYMENT,0,0,0
9,7678,131,131,PAYMENT,0,0,0
9,7678,161,161,NEW_ORDER,0,0,0
9,7678,161,161,NEW_ORDER,0,0,0
9,7688,151,151,NEW_ORDER,0,0,0
9,7688,151,151,NEW_ORDER,0,0,0
9,7688,161,161,NEW_ORDER,0,0,0
9,7695,158,158,STOCK_LEVEL,0,0,0
9,7697,170,170,PAYMENT,0,0,0
9,7698,161,161,NEW_ORDER,0,0,0
9,7707,170,170,NEW_ORDER,0,0,0
9,7708,161,161,PAYMENT,0,0,0
9,7718,191,191,PAYMENT,0,0,0
9,7718,201,201,NEW_ORDER,0,0,0
9,7728,181,181,PAYMENT,0,0,0
9,7738,191,191,PAYMENT,0,0,0
9,7738,221,221,PAYMENT,0,0,0
9,7757,240,240,NEW_ORDER,0,0,0
9,7767,220,220,NEW_ORDER,0,0,0
9,7787,271,267,DELIVERY_BG,0,0,0
9,7807,270,270,PAYMENT,0,0,0
9,7807,260,260,NEW_ORDER,0,0,0
9,7827,301,301,PAYMENT,0,0,0
9,7827,310,310,PAYMENT,0,0,0
9,7897,360,360,NEW_ORDER,0,0,0
