run,elapsed,latency,dblatency,ttype,rbk,dskipped,error
20,50,4,4,DELIVERY,0,0,0
20,111,65,65,ORDER_STATUS,0,0,0
20,111,64,64,STOCK_LEVEL,0,0,0
20,125,80,80,ORDER_STATUS,0,0,0
20,136,91,91,PAYMENT,0,0,0
20,136,88,88,PAYMENT,0,0,0
20,140,91,91,PAYMENT,0,0,0
20,151,106,106,PAYMENT,0,0,0
20,180,132,132,PAYMENT,0,0,0
20,206,158,158,PAYMENT,0,0,0
20,222,175,175,PAYMENT,0,0,0
20,222,174,174,PAYMENT,0,0,0
20,232,187,187,PAYMENT,0,0,0
20,240,195,195,PAYMENT,0,0,0
20,245,200,200,NEW_ORDER,0,0,0
20,255,210,210,NEW_ORDER,0,0,0
20,268,219,219,NEW_ORDER,0,0,0
20,269,221,221,NEW_ORDER,0,0,0
20,271,223,223,NEW_ORDER,0,0,0
20,271,226,226,PAYMENT,0,0,0
20,271,224,224,NEW_ORDER,0,0,0
20,277,230,230,NEW_ORDER,0,0,0
20,280,233,233,NEW_ORDER,0,0,0
20,295,250,250,NEW_ORDER,0,0,0
20,302,257,257,NEW_ORDER,0,0,0
20,320,275,275,NEW_ORDER,0,0,0
20,323,274,274,NEW_ORDER,0,0,0
20,324,276,276,NEW_ORDER,0,0,0
20,327,282,282,NEW_ORDER,0,0,0
20,329,281,281,NEW_ORDER,0,0,0
20,330,285,285,NEW_ORDER,0,0,0
20,345,300,300,PAYMENT,0,0,0
20,349,304,304,NEW_ORDER,0,0,0
20,372,326,319,DELIVERY_BG,0,0,0
20,398,353,353,PAYMENT,0,0,0
20,411,362,362,PAYMENT,0,0,0
20,411,366,366,NEW_ORDER,0,0,0
20,440,391,391,NEW_ORDER,0,0,0
20,7620,104,104,STOCK_LEVEL,0,0,0
20,7723,206,206,PAYMENT,0,0,0
20,7735,215,215,PAYMENT,0,0,0
20,7745,205,205,ORDER_STATUS,0,0,0
20,7748,214,214,PAYMENT,0,0,0
20,7750,190,190,STOCK_LEVEL,0,0,0
20,7750,212,212,PAYMENT,0,0,0
20,7761,237,237,PAYMENT,0,0,0
20,7767,239,239,PAYMENT,0,0,0
20,7771,237,237,PAYMENT,0,0,0
20,7824,248,248,PAYMENT,0,0,0
20,7851,320,320,PAYMENT,0,0,0
20,7855,334,334,NEW_ORDER,0,0,0
20,7872,344,344,NEW_ORDER,0,0,0
20,7878,361,361,NEW_ORDER,0,0,0
20,7881,342,342,NEW_ORDER,0,0,0
20,7883,357,357,PAYMENT,0,0,0
20,7890,359,359,NEW_ORDER,0,0,0
20,7892,373,373,NEW_ORDER,0,0,0
20,7901,373,373,NEW_ORDER,0,0,0
20,7902,382,382,NEW_ORDER,0,0,0
20,7906,376,376,NEW_ORDER,0,0,0
20,7914,404,404,NEW_ORDER,0,0,0
20,7914,375,375,PAYMENT,0,0,0
20,7918,383,383,NEW_ORDER,0,0,0
20,7924,414,414,NEW_ORDER,0,0,0
20,7929,401,401,PAYMENT,0,0,0
20,7930,310,310,NEW_ORDER,0,0,0
20,7932,392,392,PAYMENT,0,0,0
20,7951,416,416,NEW_ORDER,0,0,0
20,7953,428,428,NEW_ORDER,0,0,0
20,7962,444,444,PAYMENT,0,0,0
20,7974,437,437,PAYMENT,0,0,0
20,7976,450,450,NEW_ORDER,0,0,0
20,7976,326,326,NEW_ORDER,0,0,0
20,7982,447,447,NEW_ORDER,0,0,0
20,8008,470,470,PAYMENT,0,0,0
20,15025,1,1,DELIVERY,0,0,0
20,15039,0,0,DELIVERY,0,0,0
20,15067,33,33,PAYMENT,0,0,0
20,15068,40,40,PAYMENT,0,0,0
20,15096,86,86,PAYMENT,0,0,0
20,15102,82,82,PAYMENT,0,0,0
20,15102,85,85,PAYMENT,0,0,0
20,15105,86,86,PAYMENT,0,0,0
20,15106,54,54,PAYMENT,0,0,0
20,15109,82,82,PAYMENT,0,0,0
20,15116,87,87,PAYMENT,0,0,0
20,15125,84,84,PAYMENT,0,0,0
20,15128,37,37,STOCK_LEVEL,0,0,0
20,15131,97,97,NEW_ORDER,0,0,0
20,15132,97,97,PAYMENT,0,0,0
20,15132,91,91,PAYMENT,0,0,0
20,15133,114,114,PAYMENT,0,0,0
20,15139,91,91,PAYMENT,0,0,0
20,15148,112,112,NEW_ORDER,0,0,0
