"binary","filename","configuration","rate","time"
"old","es/defaultparams-bench.js","n=100000000 method=""withoutdefaults""",193435237.4666104,0.516968890
"old","es/defaultparams-bench.js","n=100000000 method=""withdefaults""",193485703.97016215,0.516834050
"new","es/defaultparams-bench.js","n=100000000 method=""withoutdefaults""",193262395.9070859,0.517431234
"new","es/defaultparams-bench.js","n=100000000 method=""withdefaults""",193552190.8343774,0.516656513
"old","es/defaultparams-bench.js","n=100000000 method=""withoutdefaults""",193435237.4666104,0.516968890
"old","es/defaultparams-bench.js","n=100000000 method=""withdefaults""",193485703.97016215,0.516834050
"new","es/defaultparams-bench.js","n=100000000 method=""withoutdefaults""",193458045.55941227,0.516907941
"new","es/defaultparams-bench.js","n=100000000 method=""withdefaults""",193479155.7611334,0.516851542
"old","es/defaultparams-bench.js","n=100000000 method=""withoutdefaults""",193435237.4666104,0.516968890
"old","es/defaultparams-bench.js","n=100000000 method=""withdefaults""",193485703.97016215,0.516834050
"new","es/defaultparams-bench.js","n=100000000 method=""withoutdefaults""",193308916.5098635,0.517306712
"new","es/defaultparams-bench.js","n=100000000 method=""withdefaults""",193623088.25832358,0.516467333
"old","es/destructuring-bench.js","n=100000000 method=""swap""",150228661.9948217,0.665651938
"old","es/destructuring-bench.js","n=100000000 method=""destructure""",135191809.1857705,0.739689783
"new","es/destructuring-bench.js","n=100000000 method=""swap""",150018889.2533931,0.666582725
"new","es/destructuring-bench.js","n=100000000 method=""destructure""",134042238.76832469,0.746033496
"old","es/destructuring-bench.js","n=100000000 method=""swap""",150228661.9948217,0.665651938
"old","es/destructuring-bench.js","n=100000000 method=""destructure""",135191809.1857705,0.739689783
"new","es/destructuring-bench.js","n=100000000 method=""swap""",149686685.33536053,0.668062091
"new","es/destructuring-bench.js","n=100000000 method=""destructure""",135317488.43396434,0.739002779
"old","es/destructuring-bench.js","n=100000000 method=""swap""",150228661.9948217,0.665651938
"old","es/destructuring-bench.js","n=100000000 method=""destructure""",135191809.1857705,0.739689783
"new","es/destructuring-bench.js","n=100000000 method=""swap""",150243397.38375133,0.665586653
"new","es/destructuring-bench.js","n=100000000 method=""destructure""",134011481.6400672,0.746204719
"old","es/destructuring-object-bench.js","n=100000000 method=""normal""",324490845.30851656,0.308175104
"old","es/destructuring-object-bench.js","n=100000000 method=""destructureObject""",325767846.3786731,0.306967066
"new","es/destructuring-object-bench.js","n=100000000 method=""normal""",326456301.7297963,0.306319711
"new","es/destructuring-object-bench.js","n=100000000 method=""destructureObject""",326293622.39015347,0.306472432
"old","es/destructuring-object-bench.js","n=100000000 method=""normal""",324490845.30851656,0.308175104
"old","es/destructuring-object-bench.js","n=100000000 method=""destructureObject""",325767846.3786731,0.306967066
"new","es/destructuring-object-bench.js","n=100000000 method=""normal""",326363647.2671491,0.306406675
"new","es/destructuring-object-bench.js","n=100000000 method=""destructureObject""",325880855.3001145,0.306860616
"old","es/destructuring-object-bench.js","n=100000000 method=""normal""",324490845.30851656,0.308175104
"old","es/destructuring-object-bench.js","n=100000000 method=""destructureObject""",325767846.3786731,0.306967066
"new","es/destructuring-object-bench.js","n=100000000 method=""normal""",325991656.7586121,0.306756317
"new","es/destructuring-object-bench.js","n=100000000 method=""destructureObject""",325516449.6694262,0.307204137
"old","es/error-stack.js","n=100000 method=""without-sourcemap""",7120.508665533156,14.043940496
"old","es/error-stack.js","n=100000 method=""sourcemap""",3341.789550107923,29.924086631
"new","es/error-stack.js","n=100000 method=""without-sourcemap""",7104.785988296143,14.075019313
"new","es/error-stack.js","n=100000 method=""sourcemap""",3357.6699581000153,29.782557919
"old","es/error-stack.js","n=100000 method=""without-sourcemap""",7120.508665533156,14.043940496
"old","es/error-stack.js","n=100000 method=""sourcemap""",3341.789550107923,29.924086631
"new","es/error-stack.js","n=100000 method=""without-sourcemap""",6933.2583341147565,14.423232942
"new","es/error-stack.js","n=100000 method=""sourcemap""",3320.1388191223277,30.119222553
"old","es/error-stack.js","n=100000 method=""without-sourcemap""",7120.508665533156,14.043940496
"old","es/error-stack.js","n=100000 method=""sourcemap""",3341.789550107923,29.924086631
"new","es/error-stack.js","n=100000 method=""without-sourcemap""",6980.49344024198,14.325634836
"new","es/error-stack.js","n=100000 method=""sourcemap""",3336.6651068891756,29.970043980
"old","es/eval.js","n=1000000 method=""without-sourcemap""",231392.44927295676,4.321662194
"old","es/eval.js","n=1000000 method=""sourcemap""",113802.75153567255,8.787133760
"new","es/eval.js","n=1000000 method=""without-sourcemap""",233655.67725205416,4.279801851
"new","es/eval.js","n=1000000 method=""sourcemap""",119175.36837437075,8.390995670
"old","es/eval.js","n=1000000 method=""without-sourcemap""",231392.44927295676,4.321662194
"old","es/eval.js","n=1000000 method=""sourcemap""",113802.75153567255,8.787133760
"new","es/eval.js","n=1000000 method=""without-sourcemap""",235379.0007976926,4.248467351
"new","es/eval.js","n=1000000 method=""sourcemap""",113582.99414966651,8.804134875
"old","es/eval.js","n=1000000 method=""without-sourcemap""",231392.44927295676,4.321662194
"old","es/eval.js","n=1000000 method=""sourcemap""",113802.75153567255,8.787133760
"new","es/eval.js","n=1000000 method=""without-sourcemap""",231443.7474715031,4.320704322
"new","es/eval.js","n=1000000 method=""sourcemap""",118088.97678286069,8.468190912
"old","es/foreach-bench.js","n=5000000 count=5 method=""for""",51751562.154542156,0.096615441
"old","es/foreach-bench.js","n=5000000 count=10 method=""for""",22307863.597764947,0.224136210
"old","es/foreach-bench.js","n=5000000 count=20 method=""for""",16280810.057305,0.307110026
"old","es/foreach-bench.js","n=5000000 count=100 method=""for""",3788044.11878619,1.319942388
"old","es/foreach-bench.js","n=5000000 count=5 method=""for-of""",35532421.64340634,0.140716556
"old","es/foreach-bench.js","n=5000000 count=10 method=""for-of""",18454093.02427053,0.270942603
"old","es/foreach-bench.js","n=5000000 count=20 method=""for-of""",12564385.818193758,0.397950212
"old","es/foreach-bench.js","n=5000000 count=100 method=""for-of""",3120021.6194035662,1.602552998
"old","es/foreach-bench.js","n=5000000 count=5 method=""for-in""",750521.5017042368,6.662034317
"old","es/foreach-bench.js","n=5000000 count=10 method=""for-in""",485015.8362646803,10.308941742
"old","es/foreach-bench.js","n=5000000 count=20 method=""for-in""",286619.16940706223,17.444750853
"old","es/foreach-bench.js","n=5000000 count=100 method=""for-in""",68317.68065184767,73.187496301
"old","es/foreach-bench.js","n=5000000 count=5 method=""forEach""",41673008.95135399,0.119981737
"old","es/foreach-bench.js","n=5000000 count=10 method=""forEach""",37444246.26619456,0.133531864
"old","es/foreach-bench.js","n=5000000 count=20 method=""forEach""",29617833.921396412,0.168817207
"old","es/foreach-bench.js","n=5000000 count=100 method=""forEach""",12498611.091842419,0.400044450
"new","es/foreach-bench.js","n=5000000 count=5 method=""for""",51573991.28158181,0.096948091
"new","es/foreach-bench.js","n=5000000 count=10 method=""for""",21508434.05707909,0.232466947
"new","es/foreach-bench.js","n=5000000 count=20 method=""for""",16191871.658406535,0.308796914
"new","es/foreach-bench.js","n=5000000 count=100 method=""for""",3784625.1112649506,1.321134816
"new","es/foreach-bench.js","n=5000000 count=5 method=""for-of""",35383174.516426295,0.141310102
"new","es/foreach-bench.js","n=5000000 count=10 method=""for-of""",17745587.502881527,0.281760184
"new","es/foreach-bench.js","n=5000000 count=20 method=""for-of""",12601314.092756484,0.396784015
"new","es/foreach-bench.js","n=5000000 count=100 method=""for-of""",3104214.7831340176,1.610713288
"new","es/foreach-bench.js","n=5000000 count=5 method=""for-in""",726812.8430272617,6.879350094
"new","es/foreach-bench.js","n=5000000 count=10 method=""for-in""",471103.7056623645,10.613374380
"new","es/foreach-bench.js","n=5000000 count=20 method=""for-in""",288423.44890034734,17.335622395
"new","es/foreach-bench.js","n=5000000 count=100 method=""for-in""",67977.81046519829,73.553413471
"new","es/foreach-bench.js","n=5000000 count=5 method=""forEach""",40954347.697169796,0.122087160
"new","es/foreach-bench.js","n=5000000 count=10 method=""forEach""",36104977.93845039,0.138485059
"new","es/foreach-bench.js","n=5000000 count=20 method=""forEach""",29098355.391797513,0.171831017
"new","es/foreach-bench.js","n=5000000 count=100 method=""forEach""",12474779.115323594,0.400808700
"old","es/foreach-bench.js","n=5000000 count=5 method=""for""",51751562.154542156,0.096615441
"old","es/foreach-bench.js","n=5000000 count=10 method=""for""",22307863.597764947,0.224136210
"old","es/foreach-bench.js","n=5000000 count=20 method=""for""",16280810.057305,0.307110026
"old","es/foreach-bench.js","n=5000000 count=100 method=""for""",3788044.11878619,1.319942388
"old","es/foreach-bench.js","n=5000000 count=5 method=""for-of""",35532421.64340634,0.140716556
"old","es/foreach-bench.js","n=5000000 count=10 method=""for-of""",18454093.02427053,0.270942603
"old","es/foreach-bench.js","n=5000000 count=20 method=""for-of""",12564385.818193758,0.397950212
"old","es/foreach-bench.js","n=5000000 count=100 method=""for-of""",3120021.6194035662,1.602552998
"old","es/foreach-bench.js","n=5000000 count=5 method=""for-in""",750521.5017042368,6.662034317
"old","es/foreach-bench.js","n=5000000 count=10 method=""for-in""",485015.8362646803,10.308941742
"old","es/foreach-bench.js","n=5000000 count=20 method=""for-in""",286619.16940706223,17.444750853
"old","es/foreach-bench.js","n=5000000 count=100 method=""for-in""",68317.68065184767,73.187496301
"old","es/foreach-bench.js","n=5000000 count=5 method=""forEach""",41673008.95135399,0.119981737
"old","es/foreach-bench.js","n=5000000 count=10 method=""forEach""",37444246.26619456,0.133531864
"old","es/foreach-bench.js","n=5000000 count=20 method=""forEach""",29617833.921396412,0.168817207
"old","es/foreach-bench.js","n=5000000 count=100 method=""forEach""",12498611.091842419,0.400044450
"new","es/foreach-bench.js","n=5000000 count=5 method=""for""",51485719.282476895,0.097114308
"new","es/foreach-bench.js","n=5000000 count=10 method=""for""",22639073.162140343,0.220857098
"new","es/foreach-bench.js","n=5000000 count=20 method=""for""",16170686.224382896,0.309201473
"new","es/foreach-bench.js","n=5000000 count=100 method=""for""",3817466.9883263335,1.309769021
"new","es/foreach-bench.js","n=5000000 count=5 method=""for-of""",35284491.37363344,0.141705316
"new","es/foreach-bench.js","n=5000000 count=10 method=""for-of""",18105033.22168587,0.276166298
"new","es/foreach-bench.js","n=5000000 count=20 method=""for-of""",12601513.095433181,0.396777749
"new","es/foreach-bench.js","n=5000000 count=100 method=""for-of""",3119203.648194136,1.602973247
"new","es/foreach-bench.js","n=5000000 count=5 method=""for-in""",746779.6346626149,6.695415579
"new","es/foreach-bench.js","n=5000000 count=10 method=""for-in""",492238.0108404285,10.157687724
"new","es/foreach-bench.js","n=5000000 count=20 method=""for-in""",294409.6770570974,16.983137409
"new","es/foreach-bench.js","n=5000000 count=100 method=""for-in""",68289.19289976252,73.218027446
"new","es/foreach-bench.js","n=5000000 count=5 method=""forEach""",41249942.219143435,0.121212291
"new","es/foreach-bench.js","n=5000000 count=10 method=""forEach""",36155219.53489072,0.138292619
"new","es/foreach-bench.js","n=5000000 count=20 method=""forEach""",30073733.938806616,0.166258038
"new","es/foreach-bench.js","n=5000000 count=100 method=""forEach""",12095224.92204065,0.413386277
"old","es/foreach-bench.js","n=5000000 count=5 method=""for""",51751562.154542156,0.096615441
"old","es/foreach-bench.js","n=5000000 count=10 method=""for""",22307863.597764947,0.224136210
"old","es/foreach-bench.js","n=5000000 count=20 method=""for""",16280810.057305,0.307110026
"old","es/foreach-bench.js","n=5000000 count=100 method=""for""",3788044.11878619,1.319942388
"old","es/foreach-bench.js","n=5000000 count=5 method=""for-of""",35532421.64340634,0.140716556
"old","es/foreach-bench.js","n=5000000 count=10 method=""for-of""",18454093.02427053,0.270942603
"old","es/foreach-bench.js","n=5000000 count=20 method=""for-of""",12564385.818193758,0.397950212
"old","es/foreach-bench.js","n=5000000 count=100 method=""for-of""",3120021.6194035662,1.602552998
"old","es/foreach-bench.js","n=5000000 count=5 method=""for-in""",750521.5017042368,6.662034317
"old","es/foreach-bench.js","n=5000000 count=10 method=""for-in""",485015.8362646803,10.308941742
"old","es/foreach-bench.js","n=5000000 count=20 method=""for-in""",286619.16940706223,17.444750853
"old","es/foreach-bench.js","n=5000000 count=100 method=""for-in""",68317.68065184767,73.187496301
"old","es/foreach-bench.js","n=5000000 count=5 method=""forEach""",41673008.95135399,0.119981737
"old","es/foreach-bench.js","n=5000000 count=10 method=""forEach""",37444246.26619456,0.133531864
"old","es/foreach-bench.js","n=5000000 count=20 method=""forEach""",29617833.921396412,0.168817207
"old","es/foreach-bench.js","n=5000000 count=100 method=""forEach""",12498611.091842419,0.400044450
"new","es/foreach-bench.js","n=5000000 count=5 method=""for""",51753447.693064705,0.096611921
"new","es/foreach-bench.js","n=5000000 count=10 method=""for""",22672001.376498822,0.220536331
"new","es/foreach-bench.js","n=5000000 count=20 method=""for""",16258617.795004498,0.307529217
"new","es/foreach-bench.js","n=5000000 count=100 method=""for""",3817679.3237067815,1.309696173
"new","es/foreach-bench.js","n=5000000 count=5 method=""for-of""",34861376.49043453,0.143425203
"new","es/foreach-bench.js","n=5000000 count=10 method=""for-of""",17741444.12026844,0.281825987
"new","es/foreach-bench.js","n=5000000 count=20 method=""for-of""",12573017.800878603,0.397677000
"new","es/foreach-bench.js","n=5000000 count=100 method=""for-of""",3120557.075657961,1.602278016
"new","es/foreach-bench.js","n=5000000 count=5 method=""for-in""",745801.3394894256,6.704198203
"new","es/foreach-bench.js","n=5000000 count=10 method=""for-in""",489097.68940522394,10.222906606
"new","es/foreach-bench.js","n=5000000 count=20 method=""for-in""",290690.5799121945,17.200419778
"new","es/foreach-bench.js","n=5000000 count=100 method=""for-in""",68104.65776194372,73.416417677
"new","es/foreach-bench.js","n=5000000 count=5 method=""forEach""",43438315.37247317,0.115105753
"new","es/foreach-bench.js","n=5000000 count=10 method=""forEach""",31659673.002687477,0.157929616
"new","es/foreach-bench.js","n=5000000 count=20 method=""forEach""",29956738.934083987,0.166907353
"new","es/foreach-bench.js","n=5000000 count=100 method=""forEach""",11635252.690589935,0.429728527
"old","es/map-bench.js","n=1000000 method=""object""",66663.61260213828,15.000687196
"old","es/map-bench.js","n=1000000 method=""nullProtoObject""",68475.70559842787,14.603719542
"old","es/map-bench.js","n=1000000 method=""nullProtoLiteralObject""",66793.61636838208,14.971490606
"old","es/map-bench.js","n=1000000 method=""storageObject""",66797.32442865451,14.970659507
