"binary","filename","configuration","rate","time"
"old","http/bench-parser.js","n=100000 len=4",67394.05201797774,1.483810470
"old","http/bench-parser.js","n=100000 len=8",57336.84479154866,1.744079228
"old","http/bench-parser.js","n=100000 len=16",44728.676156824135,2.235702207
"old","http/bench-parser.js","n=100000 len=32",26616.275420970098,3.757099685
"new","http/bench-parser.js","n=100000 len=4",65765.31393080496,1.520558392
"new","http/bench-parser.js","n=100000 len=8",57073.09353714665,1.752139122
"new","http/bench-parser.js","n=100000 len=16",43531.35515496728,2.297194738
"new","http/bench-parser.js","n=100000 len=32",26125.77313680403,3.827637922
"old","http/bench-parser.js","n=100000 len=4",67394.05201797774,1.483810470
"old","http/bench-parser.js","n=100000 len=8",57336.84479154866,1.744079228
"old","http/bench-parser.js","n=100000 len=16",44728.676156824135,2.235702207
"old","http/bench-parser.js","n=100000 len=32",26616.275420970098,3.757099685
"new","http/bench-parser.js","n=100000 len=4",66632.43198922952,1.500770676
"new","http/bench-parser.js","n=100000 len=8",57672.36179470771,1.733932804
"new","http/bench-parser.js","n=100000 len=16",44374.81517251593,2.253530513
"new","http/bench-parser.js","n=100000 len=32",26283.94505629884,3.804603905
"old","http/bench-parser.js","n=100000 len=4",67394.05201797774,1.483810470
"old","http/bench-parser.js","n=100000 len=8",57336.84479154866,1.744079228
"old","http/bench-parser.js","n=100000 len=16",44728.676156824135,2.235702207
"old","http/bench-parser.js","n=100000 len=32",26616.275420970098,3.757099685
"new","http/bench-parser.js","n=100000 len=4",67134.2901169141,1.489551760
"new","http/bench-parser.js","n=100000 len=8",57271.59652471347,1.746066219
"new","http/bench-parser.js","n=100000 len=16",43141.65821029049,2.317945210
"new","http/bench-parser.js","n=100000 len=32",26293.98600920301,3.803151031
"old","http/check_invalid_header_char.js","n=1000000 input='",8649662.968909798,0.115611441
"old","http/check_invalid_header_char.js","n=1000000 input=""1""",8449018.84839231,0.118356938
"old","http/check_invalid_header_char.js","n=1000000 input=""\t\t\t\t\t\t\t\t\t\tFoo bar baz""",4757547.301676169,0.210192340
"old","http/check_invalid_header_char.js","n=1000000 input=""keep-alive""",5968706.180930095,0.167540497
"old","http/check_invalid_header_char.js","n=1000000 input=""close""",6895296.494853254,0.145026396
"old","http/check_invalid_header_char.js","n=1000000 input=""gzip""",7244750.312650822,0.138030982
"old","http/check_invalid_header_char.js","n=1000000 input=""20091""",7460945.772615068,0.134031265
"old","http/check_invalid_header_char.js","n=1000000 input=""private""",6209648.038204835,0.161039723
"old","http/check_invalid_header_char.js","n=1000000 input=""text/html; charset=utf-8""",4485111.649454079,0.222959890
"old","http/check_invalid_header_char.js","n=1000000 input=""text/plain""",5949626.523201815,0.168077777
"old","http/check_invalid_header_char.js","n=1000000 input=""Sat, 07 May 2016 16:54:48 GMT""",4116222.480227962,0.242941193
"old","http/check_invalid_header_char.js","n=1000000 input=""SAMEORIGIN""",5897086.812577696,0.169575255
"old","http/check_invalid_header_char.js","n=1000000 input=""en-US""",6798926.917205945,0.147082034
"old","http/check_invalid_header_char.js","n=1000000 input=""中文呢""",3382479.7836709344,0.295641087
"old","http/check_invalid_header_char.js","n=1000000 input=""foo\nbar""",3493123.289035465,0.286276755
"old","http/check_invalid_header_char.js","n=1000000 input=""""",3780541.472891548,0.264512374
"old","http/check_invalid_header_char.js","n=1000000 input=""group_acmeair""",5564994.218583156,0.179694706
"old","http/check_invalid_header_char.js","n=1000000 input=""LONG_AND_INVALID""",2072785.4120214854,0.482442608
"new","http/check_invalid_header_char.js","n=1000000 input='",8759482.676515643,0.114161993
"new","http/check_invalid_header_char.js","n=1000000 input=""1""",8459935.063061245,0.118204217
"new","http/check_invalid_header_char.js","n=1000000 input=""\t\t\t\t\t\t\t\t\t\tFoo bar baz""",4765638.6397790285,0.209835465
