"binary","filename","configuration","rate","time"
"old","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=1 requests=100",493,5.470002244
"old","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=10 requests=100",493,5.479540859
"old","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=20 requests=100",506,5.514132742
"old","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=40 requests=100",494,5.469714564
"old","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=100 requests=100",489,5.456060330
"old","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=200 requests=100",503,5.496596311
"old","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=1 requests=1000",527,5.440516698
"old","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=10 requests=1000",488,5.500908108
"old","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=20 requests=1000",503,5.453561972
"old","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=40 requests=1000",500,5.460366288
"old","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=100 requests=1000",502,5.454526252
"old","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=200 requests=1000",527,5.432291902
"old","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=1 requests=5000",488,5.477908140
"old","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=10 requests=5000",497,5.523900378
"old","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=20 requests=5000",511,5.572482573
"old","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=40 requests=5000",489,5.512378783
"old","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=100 requests=5000",490,5.465927265
"old","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=200 requests=5000",482,5.581375108
"new","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=1 requests=100",517,5.486588459
"new","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=10 requests=100",505,5.481551254
"new","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=20 requests=100",522,5.570954537
"new","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=40 requests=100",492,5.503773400
"new","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=100 requests=100",502,5.518709777
"new","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=200 requests=100",510,5.463559853
"new","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=1 requests=1000",504,5.494998069
"new","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=10 requests=1000",508,5.468548499
"new","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=20 requests=1000",519,5.574401482
"new","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=40 requests=1000",506,5.476492628
"new","http2/compat.js","duration=5 benchmarker=""test-double-http2"" clients=2 streams=100 requests=1000",524,5.545561728
