"binary","filename","configuration","rate","time"
"old","https/simple.js","duration=5 benchmarker=""test-double-https"" chunkedEnc=1 c=50 chunks=1 len=4 type=""bytes""",2121,5.198518498
"old","https/simple.js","duration=5 benchmarker=""test-double-https"" chunkedEnc=0 c=50 chunks=1 len=4 type=""bytes""",2207,5.209241713
"old","https/simple.js","duration=5 benchmarker=""test-double-https"" chunkedEnc=1 c=500 chunks=1 len=4 type=""bytes""",2142,5.200154458
"old","https/simple.js","duration=5 benchmarker=""test-double-https"" chunkedEnc=0 c=500 chunks=1 len=4 type=""bytes""",2225,5.199154558
"old","https/simple.js","duration=5 benchmarker=""test-double-https"" chunkedEnc=1 c=50 chunks=4 len=4 type=""bytes""",2093,5.198975658
"old","https/simple.js","duration=5 benchmarker=""test-double-https"" chunkedEnc=0 c=50 chunks=4 len=4 type=""bytes""",2134,5.199303618
"old","https/simple.js","duration=5 benchmarker=""test-double-https"" chunkedEnc=1 c=500 chunks=4 len=4 type=""bytes""",2057,5.204426856
"old","https/simple.js","duration=5 benchmarker=""test-double-https"" chunkedEnc=0 c=500 chunks=4 len=4 type=""bytes""",2208,5.200051998
"old","https/simple.js","duration=5 benchmarker=""test-double-https"" chunkedEnc=1 c=50 chunks=1 len=1024 type=""bytes""",2090,5.206069015
"old","https/simple.js","duration=5 benchmarker=""test-double-https"" chunkedEnc=0 c=50 chunks=1 len=1024 type=""bytes""",2109,5.205582016
"old","https/simple.js","duration=5 benchmarker=""test-double-https"" chunkedEnc=1 c=500 chunks=1 len=1024 type=""bytes""",1908,5.204097396
"old","https/simple.js","duration=5 benchmarker=""test-double-https"" chunkedEnc=0 c=500 chunks=1 len=1024 type=""bytes""",1975,5.211048832
"old","https/simple.js","duration=5 benchmarker=""test-double-https"" chunkedEnc=1 c=50 chunks=4 len=1024 type=""bytes""",1943,5.219167108
"old","https/simple.js","duration=5 benchmarker=""test-double-https"" chunkedEnc=0 c=50 chunks=4 len=1024 type=""bytes""",1992,5.213845391
