"binary","filename","configuration","rate","time"
"old","mime/mimetype-instantiation.js","value=""application/ecmascript; "" n=100000",197274.083677318,0.506908957
"old","mime/mimetype-instantiation.js","value=""text/html;charset=gbk"" n=100000",296523.9106859069,0.337240932
"old","mime/mimetype-instantiation.js","value=""text/html;012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789=x;charset=gbk"" n=100000",298198.9256047774,0.335346614
"old","mime/mimetype-instantiation.js","value=""text/html;test=ÿ;charset=gbk"" n=100000",297730.13551755785,0.335874633
"old","mime/mimetype-instantiation.js","value=""x/x;\n\r\t x=x\n\r\t ;x=y"" n=100000",406624.6391638366,0.245927055
"new","mime/mimetype-instantiation.js","value=""application/ecmascript; "" n=100000",206727.89184686344,0.483727663
"new","mime/mimetype-instantiation.js","value=""text/html;charset=gbk"" n=100000",300094.2103760286,0.333228688
"new","mime/mimetype-instantiation.js","value=""text/html;012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789=x;charset=gbk"" n=100000",295879.59875637427,0.337975313
"new","mime/mimetype-instantiation.js","value=""text/html;test=ÿ;charset=gbk"" n=100000",304728.8784201924,0.328160562
"new","mime/mimetype-instantiation.js","value=""x/x;\n\r\t x=x\n\r\t ;x=y"" n=100000",399483.37052796496,0.250323311
"old","mime/mimetype-instantiation.js","value=""application/ecmascript; "" n=100000",197274.083677318,0.506908957
"old","mime/mimetype-instantiation.js","value=""text/html;charset=gbk"" n=100000",296523.9106859069,0.337240932
"old","mime/mimetype-instantiation.js","value=""text/html;012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789=x;charset=gbk"" n=100000",298198.9256047774,0.335346614
"old","mime/mimetype-instantiation.js","value=""text/html;test=ÿ;charset=gbk"" n=100000",297730.13551755785,0.335874633
"old","mime/mimetype-instantiation.js","value=""x/x;\n\r\t x=x\n\r\t ;x=y"" n=100000",406624.6391638366,0.245927055
"new","mime/mimetype-instantiation.js","value=""application/ecmascript; "" n=100000",205426.23751358985,0.486792735
"new","mime/mimetype-instantiation.js","value=""text/html;charset=gbk"" n=100000",297698.12634187617,0.335910747
"new","mime/mimetype-instantiation.js","value=""text/html;012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789=x;charset=gbk"" n=100000",303217.1288860065,0.329796672
"new","mime/mimetype-instantiation.js","value=""text/html;test=ÿ;charset=gbk"" n=100000",299508.1336660114,0.333880749
"new","mime/mimetype-instantiation.js","value=""x/x;\n\r\t x=x\n\r\t ;x=y"" n=100000",387127.5835549658,0.258312774
"old","mime/mimetype-instantiation.js","value=""application/ecmascript; "" n=100000",197274.083677318,0.506908957
"old","mime/mimetype-instantiation.js","value=""text/html;charset=gbk"" n=100000",296523.9106859069,0.337240932
"old","mime/mimetype-instantiation.js","value=""text/html;012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789=x;charset=gbk"" n=100000",298198.9256047774,0.335346614
"old","mime/mimetype-instantiation.js","value=""text/html;test=ÿ;charset=gbk"" n=100000",297730.13551755785,0.335874633
"old","mime/mimetype-instantiation.js","value=""x/x;\n\r\t x=x\n\r\t ;x=y"" n=100000",406624.6391638366,0.245927055
"new","mime/mimetype-instantiation.js","value=""application/ecmascript; "" n=100000",211615.89618997683,0.472554292
"new","mime/mimetype-instantiation.js","value=""text/html;charset=gbk"" n=100000",293712.0014136711,0.340469574
"new","mime/mimetype-instantiation.js","value=""text/html;012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789=x;charset=gbk"" n=100000",306444.25077780685,0.326323629
"new","mime/mimetype-instantiation.js","value=""text/html;test=ÿ;charset=gbk"" n=100000",292988.50984324055,0.341310313
"new","mime/mimetype-instantiation.js","value=""x/x;\n\r\t x=x\n\r\t ;x=y"" n=100000",399470.73164035217,0.250331231
"old","mime/mimetype-to-string.js","value=""application/ecmascript; "" n=100000",1290541.5730609978,0.077486849
"old","mime/mimetype-to-string.js","value=""text/html;charset=gbk"" n=100000",680726.2690347573,0.146901926
"old","mime/mimetype-to-string.js","value=""text/html;012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789=x;charset=gbk"" n=100000",468543.7419201096,0.213427245
"old","mime/mimetype-to-string.js","value=""text/html;test=ÿ;charset=gbk"" n=100000",413129.0802228838,0.242055098
"old","mime/mimetype-to-string.js","value=""x/x;\n\r\t x=x\n\r\t ;x=y"" n=100000",686835.9854280053,0.145595167
"new","mime/mimetype-to-string.js","value=""application/ecmascript; "" n=100000",1303368.220199473,0.076724289
"new","mime/mimetype-to-string.js","value=""text/html;charset=gbk"" n=100000",682161.1336770393,0.146592931
"new","mime/mimetype-to-string.js","value=""text/html;012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789=x;charset=gbk"" n=100000",470946.26970241393,0.212338448
