"binary","filename","configuration","rate","time"
"old","string_decoder/string-decoder-create.js","n=25000000 encoding=""ascii""",2373004.8586241747,10.535165956
"old","string_decoder/string-decoder-create.js","n=25000000 encoding=""utf8""",2766643.536755728,9.036220123
"old","string_decoder/string-decoder-create.js","n=25000000 encoding=""utf-8""",2763366.9071705425,9.046934714
"old","string_decoder/string-decoder-create.js","n=25000000 encoding=""base64""",2570008.750767744,9.727593337
"old","string_decoder/string-decoder-create.js","n=25000000 encoding=""ucs2""",1854911.2757332404,13.477733586
"old","string_decoder/string-decoder-create.js","n=25000000 encoding=""UTF-8""",1747794.443335702,14.303741550
"old","string_decoder/string-decoder-create.js","n=25000000 encoding=""AscII""",1513786.9068983353,16.514873980
"old","string_decoder/string-decoder-create.js","n=25000000 encoding=""UTF-16LE""",1896738.2397095996,13.180521949
"new","string_decoder/string-decoder-create.js","n=25000000 encoding=""ascii""",2383901.56506254,10.487010188
"new","string_decoder/string-decoder-create.js","n=25000000 encoding=""utf8""",2821646.830563375,8.860074099
"new","string_decoder/string-decoder-create.js","n=25000000 encoding=""utf-8""",2725946.1152633885,9.171127727
"new","string_decoder/string-decoder-create.js","n=25000000 encoding=""base64""",2618518.0648173974,9.547384964
"new","string_decoder/string-decoder-create.js","n=25000000 encoding=""ucs2""",2142535.2662948156,11.668419369
"new","string_decoder/string-decoder-create.js","n=25000000 encoding=""UTF-8""",1646815.2542679973,15.180816388
"new","string_decoder/string-decoder-create.js","n=25000000 encoding=""AscII""",1488234.4574679527,16.798428416
"new","string_decoder/string-decoder-create.js","n=25000000 encoding=""UTF-16LE""",2133558.9290043395,11.717510897
"old","string_decoder/string-decoder-create.js","n=25000000 encoding=""ascii""",2373004.8586241747,10.535165956
"old","string_decoder/string-decoder-create.js","n=25000000 encoding=""utf8""",2766643.536755728,9.036220123
"old","string_decoder/string-decoder-create.js","n=25000000 encoding=""utf-8""",2763366.9071705425,9.046934714
"old","string_decoder/string-decoder-create.js","n=25000000 encoding=""base64""",2570008.750767744,9.727593337
"old","string_decoder/string-decoder-create.js","n=25000000 encoding=""ucs2""",1854911.2757332404,13.477733586
"old","string_decoder/string-decoder-create.js","n=25000000 encoding=""UTF-8""",1747794.443335702,14.303741550
