"binary","filename","configuration","rate","time"
"old","url/legacy-url-get-prop.js","e=1 type=""long""",258668.63254827404,0.001546380
"old","url/legacy-url-get-prop.js","e=1 type=""short""",608143.035241889,0.000657740
"old","url/legacy-url-get-prop.js","e=1 type=""idn""",554200.8423852804,0.000721760
"old","url/legacy-url-get-prop.js","e=1 type=""auth""",503575.38523516967,0.000794320
"old","url/legacy-url-get-prop.js","e=1 type=""file""",213709.3478071551,0.001871701
"old","url/legacy-url-get-prop.js","e=1 type=""ws""",244645.32543944416,0.001635020
"old","url/legacy-url-get-prop.js","e=1 type=""javascript""",600672.753483902,0.000665920
"old","url/legacy-url-get-prop.js","e=1 type=""percent""",234469.19983282345,0.001705981
"old","url/legacy-url-get-prop.js","e=1 type=""dot""",241120.58380115748,0.001658921
"old","url/legacy-url-get-prop.js","e=1 type=""wpt""",674698.7951807228,0.000747000
"new","url/legacy-url-get-prop.js","e=1 type=""long""",274043.9292418575,0.001459620
"new","url/legacy-url-get-prop.js","e=1 type=""short""",607219.8439445001,0.000658740
"new","url/legacy-url-get-prop.js","e=1 type=""idn""",465506.0050274648,0.000859280
"new","url/legacy-url-get-prop.js","e=1 type=""auth""",494644.85117991344,0.000808661
"new","url/legacy-url-get-prop.js","e=1 type=""file""",207729.5112488127,0.001925581
"new","url/legacy-url-get-prop.js","e=1 type=""ws""",237211.20277347337,0.001686261
"new","url/legacy-url-get-prop.js","e=1 type=""javascript""",605655.9177882657,0.000660441
"new","url/legacy-url-get-prop.js","e=1 type=""percent""",202132.39570852712,0.001978901
"new","url/legacy-url-get-prop.js","e=1 type=""dot""",221128.74059995546,0.001808901
"new","url/legacy-url-get-prop.js","e=1 type=""wpt""",699922.2308632374,0.000720080
"old","url/legacy-url-get-prop.js","e=1 type=""long""",258668.63254827404,0.001546380
"old","url/legacy-url-get-prop.js","e=1 type=""short""",608143.035241889,0.000657740
"old","url/legacy-url-get-prop.js","e=1 type=""idn""",554200.8423852804,0.000721760
"old","url/legacy-url-get-prop.js","e=1 type=""auth""",503575.38523516967,0.000794320
"old","url/legacy-url-get-prop.js","e=1 type=""file""",213709.3478071551,0.001871701
"old","url/legacy-url-get-prop.js","e=1 type=""ws""",244645.32543944416,0.001635020
"old","url/legacy-url-get-prop.js","e=1 type=""javascript""",600672.753483902,0.000665920
"old","url/legacy-url-get-prop.js","e=1 type=""percent""",234469.19983282345,0.001705981
"old","url/legacy-url-get-prop.js","e=1 type=""dot""",241120.58380115748,0.001658921
"old","url/legacy-url-get-prop.js","e=1 type=""wpt""",674698.7951807228,0.000747000
"new","url/legacy-url-get-prop.js","e=1 type=""long""",264023.2657301762,0.001515018
"new","url/legacy-url-get-prop.js","e=1 type=""short""",542006.1544798841,0.000737999
"new","url/legacy-url-get-prop.js","e=1 type=""idn""",551603.1656505677,0.000725159
"new","url/legacy-url-get-prop.js","e=1 type=""auth""",528304.5781553981,0.000757139
"new","url/legacy-url-get-prop.js","e=1 type=""file""",231975.90698230083,0.001724317
"new","url/legacy-url-get-prop.js","e=1 type=""ws""",264229.0654614298,0.001513838
"new","url/legacy-url-get-prop.js","e=1 type=""javascript""",533590.1680675632,0.000749639
"new","url/legacy-url-get-prop.js","e=1 type=""percent""",194823.72836117202,0.002053138
"new","url/legacy-url-get-prop.js","e=1 type=""dot""",276755.7035891064,0.001445318
"new","url/legacy-url-get-prop.js","e=1 type=""wpt""",694751.729642327,0.000725439
"old","url/legacy-url-get-prop.js","e=1 type=""long""",258668.63254827404,0.001546380
"old","url/legacy-url-get-prop.js","e=1 type=""short""",608143.035241889,0.000657740
"old","url/legacy-url-get-prop.js","e=1 type=""idn""",554200.8423852804,0.000721760
"old","url/legacy-url-get-prop.js","e=1 type=""auth""",503575.38523516967,0.000794320
"old","url/legacy-url-get-prop.js","e=1 type=""file""",213709.3478071551,0.001871701
"old","url/legacy-url-get-prop.js","e=1 type=""ws""",244645.32543944416,0.001635020
"old","url/legacy-url-get-prop.js","e=1 type=""javascript""",600672.753483902,0.000665920
"old","url/legacy-url-get-prop.js","e=1 type=""percent""",234469.19983282345,0.001705981
"old","url/legacy-url-get-prop.js","e=1 type=""dot""",241120.58380115748,0.001658921
"old","url/legacy-url-get-prop.js","e=1 type=""wpt""",674698.7951807228,0.000747000
"new","url/legacy-url-get-prop.js","e=1 type=""long""",234469.7495921692,0.001705977
"new","url/legacy-url-get-prop.js","e=1 type=""short""",560979.9197237735,0.000713038
"new","url/legacy-url-get-prop.js","e=1 type=""idn""",536467.7354892184,0.000745618
"new","url/legacy-url-get-prop.js","e=1 type=""auth""",540060.3247382733,0.000740658
"new","url/legacy-url-get-prop.js","e=1 type=""file""",227283.4457534077,0.001759917
"new","url/legacy-url-get-prop.js","e=1 type=""ws""",261219.8837963347,0.001531277
"new","url/legacy-url-get-prop.js","e=1 type=""javascript""",448743.40627657407,0.000891378
"new","url/legacy-url-get-prop.js","e=1 type=""percent""",193877.72907138383,0.002063156
"new","url/legacy-url-get-prop.js","e=1 type=""dot""",254094.5752713889,0.001574217
"new","url/legacy-url-get-prop.js","e=1 type=""wpt""",665505.5531420709,0.000757319
"old","url/legacy-url-parse.js","e=1 type=""long""",5537.5827922272765,0.072233683
"old","url/legacy-url-parse.js","e=1 type=""short""",11208.597577188779,0.035686891
"old","url/legacy-url-parse.js","e=1 type=""idn""",15187.845744189064,0.026336849
"old","url/legacy-url-parse.js","e=1 type=""auth""",8837.584745533348,0.045261235
"old","url/legacy-url-parse.js","e=1 type=""file""",15445.978097062449,0.025896709
"old","url/legacy-url-parse.js","e=1 type=""ws""",8289.15301123688,0.048255835
"old","url/legacy-url-parse.js","e=1 type=""javascript""",18463.41292402901,0.021664467
"old","url/legacy-url-parse.js","e=1 type=""percent""",16084.974992689378,0.024867928
"old","url/legacy-url-parse.js","e=1 type=""dot""",11105.924952656134,0.036016811
"old","url/legacy-url-parse.js","e=1 type=""wpt""",15424.263180040538,0.032675791
"new","url/legacy-url-parse.js","e=1 type=""long""",5280.2217650899565,0.075754394
"new","url/legacy-url-parse.js","e=1 type=""short""",11389.821628274663,0.035119075
"new","url/legacy-url-parse.js","e=1 type=""idn""",13364.627499598811,0.029929753
"new","url/legacy-url-parse.js","e=1 type=""auth""",8597.258235480236,0.046526461
"new","url/legacy-url-parse.js","e=1 type=""file""",14598.92802991262,0.027399272
"new","url/legacy-url-parse.js","e=1 type=""ws""",8301.768969988316,0.048182502
"new","url/legacy-url-parse.js","e=1 type=""javascript""",18653.66344659356,0.021443509
"new","url/legacy-url-parse.js","e=1 type=""percent""",15631.843816620965,0.025588792
"new","url/legacy-url-parse.js","e=1 type=""dot""",10534.866774494541,0.037969156
"new","url/legacy-url-parse.js","e=1 type=""wpt""",15341.4406556396,0.032852195
"old","url/legacy-url-parse.js","e=1 type=""long""",5537.5827922272765,0.072233683
"old","url/legacy-url-parse.js","e=1 type=""short""",11208.597577188779,0.035686891
"old","url/legacy-url-parse.js","e=1 type=""idn""",15187.845744189064,0.026336849
"old","url/legacy-url-parse.js","e=1 type=""auth""",8837.584745533348,0.045261235
"old","url/legacy-url-parse.js","e=1 type=""file""",15445.978097062449,0.025896709
"old","url/legacy-url-parse.js","e=1 type=""ws""",8289.15301123688,0.048255835
"old","url/legacy-url-parse.js","e=1 type=""javascript""",18463.41292402901,0.021664467
"old","url/legacy-url-parse.js","e=1 type=""percent""",16084.974992689378,0.024867928
"old","url/legacy-url-parse.js","e=1 type=""dot""",11105.924952656134,0.036016811
"old","url/legacy-url-parse.js","e=1 type=""wpt""",15424.263180040538,0.032675791
"new","url/legacy-url-parse.js","e=1 type=""long""",5448.802466280562,0.073410626
"new","url/legacy-url-parse.js","e=1 type=""short""",11589.06474393266,0.034515296
"new","url/legacy-url-parse.js","e=1 type=""idn""",13280.185147029246,0.030120062
"new","url/legacy-url-parse.js","e=1 type=""auth""",8874.700609201604,0.045071943
"new","url/legacy-url-parse.js","e=1 type=""file""",15195.0016346023,0.026324446
"new","url/legacy-url-parse.js","e=1 type=""ws""",8257.877323369268,0.048438598
"new","url/legacy-url-parse.js","e=1 type=""javascript""",18766.820055706492,0.021314213
"new","url/legacy-url-parse.js","e=1 type=""percent""",15671.52054142596,0.025524007
"new","url/legacy-url-parse.js","e=1 type=""dot""",10901.537233941512,0.036692073
"new","url/legacy-url-parse.js","e=1 type=""wpt""",15272.00671168333,0.033001557
"old","url/legacy-url-parse.js","e=1 type=""long""",5537.5827922272765,0.072233683
"old","url/legacy-url-parse.js","e=1 type=""short""",11208.597577188779,0.035686891
"old","url/legacy-url-parse.js","e=1 type=""idn""",15187.845744189064,0.026336849
"old","url/legacy-url-parse.js","e=1 type=""auth""",8837.584745533348,0.045261235
"old","url/legacy-url-parse.js","e=1 type=""file""",15445.978097062449,0.025896709
"old","url/legacy-url-parse.js","e=1 type=""ws""",8289.15301123688,0.048255835
"old","url/legacy-url-parse.js","e=1 type=""javascript""",18463.41292402901,0.021664467
"old","url/legacy-url-parse.js","e=1 type=""percent""",16084.974992689378,0.024867928
"old","url/legacy-url-parse.js","e=1 type=""dot""",11105.924952656134,0.036016811
"old","url/legacy-url-parse.js","e=1 type=""wpt""",15424.263180040538,0.032675791
"new","url/legacy-url-parse.js","e=1 type=""long""",5296.983525467506,0.075514677
"new","url/legacy-url-parse.js","e=1 type=""short""",11111.922281437655,0.035997372
"new","url/legacy-url-parse.js","e=1 type=""idn""",13491.924610903014,0.029647364
"new","url/legacy-url-parse.js","e=1 type=""auth""",8704.68006253094,0.045952292
"new","url/legacy-url-parse.js","e=1 type=""file""",14705.28332889969,0.027201108
"new","url/legacy-url-parse.js","e=1 type=""ws""",8047.897059348714,0.049702425
"new","url/legacy-url-parse.js","e=1 type=""javascript""",18703.475105674635,0.021386400
"new","url/legacy-url-parse.js","e=1 type=""percent""",15721.198999251357,0.025443352
"new","url/legacy-url-parse.js","e=1 type=""dot""",10904.432436422865,0.036682331
"new","url/legacy-url-parse.js","e=1 type=""wpt""",15301.421146812976,0.032938117
"old","url/legacy-vs-whatwg-url-searchparams-parse.js","n=1000000 method=""legacy"" searchParam=""noencode""",257824.06155806468,3.878613943
"old","url/legacy-vs-whatwg-url-searchparams-parse.js","n=1000000 method=""whatwg"" searchParam=""noencode""",740078.9237926228,1.351207240
"old","url/legacy-vs-whatwg-url-searchparams-parse.js","n=1000000 method=""legacy"" searchParam=""multicharsep""",236542.31319743244,4.227573437
"old","url/legacy-vs-whatwg-url-searchparams-parse.js","n=1000000 method=""whatwg"" searchParam=""multicharsep""",623060.1322629681,1.604981523
"old","url/legacy-vs-whatwg-url-searchparams-parse.js","n=1000000 method=""legacy"" searchParam=""encodefake""",269676.1788959152,3.708151028
"old","url/legacy-vs-whatwg-url-searchparams-parse.js","n=1000000 method=""whatwg"" searchParam=""encodefake""",688152.3932853303,1.453166493
"old","url/legacy-vs-whatwg-url-searchparams-parse.js","n=1000000 method=""legacy"" searchParam=""encodemany""",104338.86186172628,9.584156681
"old","url/legacy-vs-whatwg-url-searchparams-parse.js","n=1000000 method=""whatwg"" searchParam=""encodemany""",208297.76549178216,4.800819623
"old","url/legacy-vs-whatwg-url-searchparams-parse.js","n=1000000 method=""legacy"" searchParam=""encodelast""",211755.36093392322,4.722430618
"old","url/legacy-vs-whatwg-url-searchparams-parse.js","n=1000000 method=""whatwg"" searchParam=""encodelast""",363683.2596008257,2.749645395
"old","url/legacy-vs-whatwg-url-searchparams-parse.js","n=1000000 method=""legacy"" searchParam=""multivalue""",173425.5644846648,5.766162578
"old","url/legacy-vs-whatwg-url-searchparams-parse.js","n=1000000 method=""whatwg"" searchParam=""multivalue""",620637.5603108894,1.611246344
"old","url/legacy-vs-whatwg-url-searchparams-parse.js","n=1000000 method=""legacy"" searchParam=""multivaluemany""",78849.76193999217,12.682346470
"old","url/legacy-vs-whatwg-url-searchparams-parse.js","n=1000000 method=""whatwg"" searchParam=""multivaluemany""",281559.4864568502,3.551647336
"old","url/legacy-vs-whatwg-url-searchparams-parse.js","n=1000000 method=""legacy"" searchParam=""manypairs""",48321.40849560911,20.694761000
"old","url/legacy-vs-whatwg-url-searchparams-parse.js","n=1000000 method=""whatwg"" searchParam=""manypairs""",339991.68077076256,2.941248438
"old","url/legacy-vs-whatwg-url-searchparams-parse.js","n=1000000 method=""legacy"" searchParam=""manyblankpairs""",1858741.673708587,0.537998375
"old","url/legacy-vs-whatwg-url-searchparams-parse.js","n=1000000 method=""whatwg"" searchParam=""manyblankpairs""",1876812.7207393341,0.532818213
"old","url/legacy-vs-whatwg-url-searchparams-parse.js","n=1000000 method=""legacy"" searchParam=""altspaces""",174923.7675486458,5.716776022
"old","url/legacy-vs-whatwg-url-searchparams-parse.js","n=1000000 method=""whatwg"" searchParam=""altspaces""",338810.6477958587,2.951501101
"new","url/legacy-vs-whatwg-url-searchparams-parse.js","n=1000000 method=""legacy"" searchParam=""noencode""",270067.14124074625,3.702782928
