"binary","filename","configuration","rate","time"
"old","v8/get-stats.js","n=1000000 method=""getHeapStatistics""",553549.4134466697,1.806523457
"old","v8/get-stats.js","n=1000000 method=""getHeapSpaceStatistics""",228133.08125865858,4.383406363
"new","v8/get-stats.js","n=1000000 method=""getHeapStatistics""",550836.3107541549,1.815421352
"new","v8/get-stats.js","n=1000000 method=""getHeapSpaceStatistics""",231412.37049843816,4.321290162
"old","v8/get-stats.js","n=1000000 method=""getHeapStatistics""",553549.4134466697,1.806523457
"old","v8/get-stats.js","n=1000000 method=""getHeapSpaceStatistics""",228133.08125865858,4.383406363
"new","v8/get-stats.js","n=1000000 method=""getHeapStatistics""",537228.5382181776,1.861405210
"new","v8/get-stats.js","n=1000000 method=""getHeapSpaceStatistics""",232799.1673406998,4.295548010
"old","v8/get-stats.js","n=1000000 method=""getHeapStatistics""",553549.4134466697,1.806523457
"old","v8/get-stats.js","n=1000000 method=""getHeapSpaceStatistics""",228133.08125865858,4.383406363
"new","v8/get-stats.js","n=1000000 method=""getHeapStatistics""",537520.3100906938,1.860394819
"new","v8/get-stats.js","n=1000000 method=""getHeapSpaceStatistics""",227087.11096479898,4.403596469
"old","v8/serialize.js","n=1000000 len=256",29205.129913054687,34.240559894
"old","v8/serialize.js","n=1000000 len=16384",12117.333347091904,82.526408357
"old","v8/serialize.js","n=1000000 len=524288",747.6998585179464,1337.435053127
"new","v8/serialize.js","n=1000000 len=256",29516.76151115855,33.879055452
"new","v8/serialize.js","n=1000000 len=16384",11733.712728672477,85.224517007
"new","v8/serialize.js","n=1000000 len=524288",694.2922159051678,1440.315730310
"old","v8/serialize.js","n=1000000 len=256",29205.129913054687,34.240559894
"old","v8/serialize.js","n=1000000 len=16384",12117.333347091904,82.526408357
"old","v8/serialize.js","n=1000000 len=524288",747.6998585179464,1337.435053127
"new","v8/serialize.js","n=1000000 len=256",27985.42514379348,35.732885774
"new","v8/serialize.js","n=1000000 len=16384",11387.679135526325,87.814205871
"new","v8/serialize.js","n=1000000 len=524288",460.1680448162528,2173.119170844
"old","v8/serialize.js","n=1000000 len=256",29205.129913054687,34.240559894
"old","v8/serialize.js","n=1000000 len=16384",12117.333347091904,82.526408357
"old","v8/serialize.js","n=1000000 len=524288",747.6998585179464,1337.435053127
"new","v8/serialize.js","n=1000000 len=256",29413.927588973253,33.997499891
"new","v8/serialize.js","n=1000000 len=16384",11245.308928911794,88.925969604
"new","v8/serialize.js","n=1000000 len=524288",520.825001609521,1920.030714558
