"binary","filename","configuration","rate","time"
"old","webstreams/creation.js","kind=""ReadableStream"" n=50000",16607.895443450365,3.010616256
"old","webstreams/creation.js","kind=""TransformStream"" n=50000",5045.484024846249,9.909852009
"old","webstreams/creation.js","kind=""WritableStream"" n=50000",15450.734416004467,3.236092127
"old","webstreams/creation.js","kind=""ReadableStreamDefaultReader"" n=50000",201214.14708981122,0.248491474
"old","webstreams/creation.js","kind=""ReadableStreamBYOBReader"" n=50000",178192.0970536229,0.280596058
"old","webstreams/creation.js","kind=""ReadableStream.tee"" n=50000",4428.178732759803,11.291323819
"new","webstreams/creation.js","kind=""ReadableStream"" n=50000",17333.571761004077,2.884575706
"new","webstreams/creation.js","kind=""TransformStream"" n=50000",5301.305073215415,9.431639815
"new","webstreams/creation.js","kind=""WritableStream"" n=50000",16373.336471757002,3.053745343
"new","webstreams/creation.js","kind=""ReadableStreamDefaultReader"" n=50000",208701.53066085317,0.239576585
"new","webstreams/creation.js","kind=""ReadableStreamBYOBReader"" n=50000",129451.32423863217,0.386245566
"new","webstreams/creation.js","kind=""ReadableStream.tee"" n=50000",4749.131754946667,10.528240230
"old","webstreams/creation.js","kind=""ReadableStream"" n=50000",16607.895443450365,3.010616256
"old","webstreams/creation.js","kind=""TransformStream"" n=50000",5045.484024846249,9.909852009
"old","webstreams/creation.js","kind=""WritableStream"" n=50000",15450.734416004467,3.236092127
"old","webstreams/creation.js","kind=""ReadableStreamDefaultReader"" n=50000",201214.14708981122,0.248491474
"old","webstreams/creation.js","kind=""ReadableStreamBYOBReader"" n=50000",178192.0970536229,0.280596058
"old","webstreams/creation.js","kind=""ReadableStream.tee"" n=50000",4428.178732759803,11.291323819
"new","webstreams/creation.js","kind=""ReadableStream"" n=50000",17368.563008639452,2.878764350
"new","webstreams/creation.js","kind=""TransformStream"" n=50000",4995.716943060877,10.008573458
"new","webstreams/creation.js","kind=""WritableStream"" n=50000",16127.263393803769,3.100340013
"new","webstreams/creation.js","kind=""ReadableStreamDefaultReader"" n=50000",155362.1765306273,0.321828653
"new","webstreams/creation.js","kind=""ReadableStreamBYOBReader"" n=50000",144232.56478751567,0.346662351
"new","webstreams/creation.js","kind=""ReadableStream.tee"" n=50000",4663.067622290974,10.722555204
"old","webstreams/creation.js","kind=""ReadableStream"" n=50000",16607.895443450365,3.010616256
"old","webstreams/creation.js","kind=""TransformStream"" n=50000",5045.484024846249,9.909852009
"old","webstreams/creation.js","kind=""WritableStream"" n=50000",15450.734416004467,3.236092127
"old","webstreams/creation.js","kind=""ReadableStreamDefaultReader"" n=50000",201214.14708981122,0.248491474
"old","webstreams/creation.js","kind=""ReadableStreamBYOBReader"" n=50000",178192.0970536229,0.280596058
"old","webstreams/creation.js","kind=""ReadableStream.tee"" n=50000",4428.178732759803,11.291323819
"new","webstreams/creation.js","kind=""ReadableStream"" n=50000",17328.367860411276,2.885441976
"new","webstreams/creation.js","kind=""TransformStream"" n=50000",5205.395040199392,9.605418919
"new","webstreams/creation.js","kind=""WritableStream"" n=50000",15688.989662351505,3.186948368
"new","webstreams/creation.js","kind=""ReadableStreamDefaultReader"" n=50000",144563.83624726898,0.345867966
"new","webstreams/creation.js","kind=""ReadableStreamBYOBReader"" n=50000",179082.28316945487,0.279201265
"new","webstreams/creation.js","kind=""ReadableStream.tee"" n=50000",4590.78760059817,10.891377330
"old","webstreams/pipe-to.js","highWaterMarkW=512 highWaterMarkR=512 n=500000",98892.96135575829,5.055971559
"old","webstreams/pipe-to.js","highWaterMarkW=1024 highWaterMarkR=512 n=500000",107387.14395686913,4.656050823
"old","webstreams/pipe-to.js","highWaterMarkW=2048 highWaterMarkR=512 n=500000",105007.11654440258,4.761582038
"old","webstreams/pipe-to.js","highWaterMarkW=4096 highWaterMarkR=512 n=500000",94840.8852078877,5.271987908
"old","webstreams/pipe-to.js","highWaterMarkW=512 highWaterMarkR=1024 n=500000",108298.34985997088,4.616875517
"old","webstreams/pipe-to.js","highWaterMarkW=1024 highWaterMarkR=1024 n=500000",115404.95192096064,4.332569718
"old","webstreams/pipe-to.js","highWaterMarkW=2048 highWaterMarkR=1024 n=500000",107874.3694230704,4.635021300
"old","webstreams/pipe-to.js","highWaterMarkW=4096 highWaterMarkR=1024 n=500000",107349.37887605368,4.657688803
"old","webstreams/pipe-to.js","highWaterMarkW=512 highWaterMarkR=2048 n=500000",108554.78968530348,4.605969036
"old","webstreams/pipe-to.js","highWaterMarkW=1024 highWaterMarkR=2048 n=500000",104949.44702889898,4.764198518
"old","webstreams/pipe-to.js","highWaterMarkW=2048 highWaterMarkR=2048 n=500000",103397.56481876914,4.835703828
"old","webstreams/pipe-to.js","highWaterMarkW=4096 highWaterMarkR=2048 n=500000",106790.14211065484,4.682080107
"old","webstreams/pipe-to.js","highWaterMarkW=512 highWaterMarkR=4096 n=500000",110202.34274853741,4.537108627
"old","webstreams/pipe-to.js","highWaterMarkW=1024 highWaterMarkR=4096 n=500000",105026.99975504636,4.760680598
"old","webstreams/pipe-to.js","highWaterMarkW=2048 highWaterMarkR=4096 n=500000",107603.29901479553,4.646697681
