"binary","filename","configuration","rate","time"
"old","worker/atomics-wait.js","n=10000000",1165980.3774569137,8.576473664
"new","worker/atomics-wait.js","n=10000000",1159659.660012201,8.623219678
"old","worker/atomics-wait.js","n=10000000",1165980.3774569137,8.576473664
"new","worker/atomics-wait.js","n=10000000",1168333.6939981394,8.559198499
"old","worker/atomics-wait.js","n=10000000",1165980.3774569137,8.576473664
"new","worker/atomics-wait.js","n=10000000",1075167.2993298515,9.300878111
"old","worker/bench-eventlooputil.js","method=""ELU_simple"" n=1000000",1088032.3645933087,0.919090307
"old","worker/bench-eventlooputil.js","method=""ELU_passed"" n=1000000",975249.8736707637,1.025378241
"new","worker/bench-eventlooputil.js","method=""ELU_simple"" n=1000000",1092321.6125014182,0.915481291
"new","worker/bench-eventlooputil.js","method=""ELU_passed"" n=1000000",988840.6015609426,1.011285336
"old","worker/bench-eventlooputil.js","method=""ELU_simple"" n=1000000",1088032.3645933087,0.919090307
"old","worker/bench-eventlooputil.js","method=""ELU_passed"" n=1000000",975249.8736707637,1.025378241
"new","worker/bench-eventlooputil.js","method=""ELU_simple"" n=1000000",1081600.3310908405,0.924555930
"new","worker/bench-eventlooputil.js","method=""ELU_passed"" n=1000000",985249.4210536466,1.014971416
"old","worker/bench-eventlooputil.js","method=""ELU_simple"" n=1000000",1088032.3645933087,0.919090307
"old","worker/bench-eventlooputil.js","method=""ELU_passed"" n=1000000",975249.8736707637,1.025378241
"new","worker/bench-eventlooputil.js","method=""ELU_simple"" n=1000000",1081283.4891675673,0.924826847
"new","worker/bench-eventlooputil.js","method=""ELU_passed"" n=1000000",1011340.0426279019,0.988787112
"old","worker/echo.js","n=100000 sendsPerBroadcast=1 payload=""string"" workers=1",9249.963445971329,10.810853533
"old","worker/echo.js","n=100000 sendsPerBroadcast=10 payload=""string"" workers=1",5234.454334890716,19.104188059
"old","worker/echo.js","n=100000 sendsPerBroadcast=1 payload=""object"" workers=1",7556.007587530345,13.234502327
"old","worker/echo.js","n=100000 sendsPerBroadcast=10 payload=""object"" workers=1",3146.639678146245,31.779933589
"new","worker/echo.js","n=100000 sendsPerBroadcast=1 payload=""string"" workers=1",10006.567167939065,9.993437142
