"binary","filename","configuration","rate","time"
"old","dns/lookup-promises.js","n=5000000 all=""true"" name=""127.0.0.1""",2304934542.163937,0.002169259
"old","dns/lookup-promises.js","n=5000000 all=""false"" name=""127.0.0.1""",2369175323.2384353,0.002110439
"old","dns/lookup-promises.js","n=5000000 all=""true"" name=""::1""",346479817.0309382,0.014430855
"old","dns/lookup-promises.js","n=5000000 all=""false"" name=""::1""",346752300.6148265,0.014419515
"new","dns/lookup-promises.js","n=5000000 all=""true"" name=""127.0.0.1""",2377802358.9701643,0.002102782
"new","dns/lookup-promises.js","n=5000000 all=""false"" name=""127.0.0.1""",2548105687.26997,0.001962242
"new","dns/lookup-promises.js","n=5000000 all=""true"" name=""::1""",336786585.8172298,0.014846197
"new","dns/lookup-promises.js","n=5000000 all=""false"" name=""::1""",344594307.7431168,0.014509816
"old","dns/lookup-promises.js","n=5000000 all=""true"" name=""127.0.0.1""",2304934542.163937,0.002169259
"old","dns/lookup-promises.js","n=5000000 all=""false"" name=""127.0.0.1""",2369175323.2384353,0.002110439
"old","dns/lookup-promises.js","n=5000000 all=""true"" name=""::1""",346479817.0309382,0.014430855
"old","dns/lookup-promises.js","n=5000000 all=""false"" name=""::1""",346752300.6148265,0.014419515
"new","dns/lookup-promises.js","n=5000000 all=""true"" name=""127.0.0.1""",2603137613.8287,0.001920759
"new","dns/lookup-promises.js","n=5000000 all=""false"" name=""127.0.0.1""",2685632243.4858646,0.001861759
"new","dns/lookup-promises.js","n=5000000 all=""true"" name=""::1""",351323706.92323416,0.014231889
"new","dns/lookup-promises.js","n=5000000 all=""false"" name=""::1""",347915903.7160828,0.014371289
"old","dns/lookup-promises.js","n=5000000 all=""true"" name=""127.0.0.1""",2304934542.163937,0.002169259
"old","dns/lookup-promises.js","n=5000000 all=""false"" name=""127.0.0.1""",2369175323.2384353,0.002110439
"old","dns/lookup-promises.js","n=5000000 all=""true"" name=""::1""",346479817.0309382,0.014430855
"old","dns/lookup-promises.js","n=5000000 all=""false"" name=""::1""",346752300.6148265,0.014419515
"new","dns/lookup-promises.js","n=5000000 all=""true"" name=""127.0.0.1""",2576711271.25658,0.001940458
"new","dns/lookup-promises.js","n=5000000 all=""false"" name=""127.0.0.1""",2593713461.0616174,0.001927738
"new","dns/lookup-promises.js","n=5000000 all=""true"" name=""::1""",298253884.5629814,0.016764241
"new","dns/lookup-promises.js","n=5000000 all=""false"" name=""::1""",343256112.3787559,0.014566383
"old","dns/lookup.js","n=5000000 all=""true"" name=""127.0.0.1""",533691.6163696012,9.368706284
"old","dns/lookup.js","n=5000000 all=""false"" name=""127.0.0.1""",585981.4159423098,8.532693809
"old","dns/lookup.js","n=5000000 all=""true"" name=""::1""",287997.00094392186,17.361291901
"old","dns/lookup.js","n=5000000 all=""false"" name=""::1""",320422.8087341057,15.604382284
"new","dns/lookup.js","n=5000000 all=""true"" name=""127.0.0.1""",925654.8257973259,5.401581519
"new","dns/lookup.js","n=5000000 all=""false"" name=""127.0.0.1""",1051578.341104949,4.754757496
"new","dns/lookup.js","n=5000000 all=""true"" name=""::1""",585933.0327412735,8.533398393
"new","dns/lookup.js","n=5000000 all=""false"" name=""::1""",607300.409626021,8.233157628
"old","dns/lookup.js","n=5000000 all=""true"" name=""127.0.0.1""",533691.6163696012,9.368706284
"old","dns/lookup.js","n=5000000 all=""false"" name=""127.0.0.1""",585981.4159423098,8.532693809
"old","dns/lookup.js","n=5000000 all=""true"" name=""::1""",287997.00094392186,17.361291901
"old","dns/lookup.js","n=5000000 all=""false"" name=""::1""",320422.8087341057,15.604382284
"new","dns/lookup.js","n=5000000 all=""true"" name=""127.0.0.1""",1020506.9733323322,4.899525560
"new","dns/lookup.js","n=5000000 all=""false"" name=""127.0.0.1""",1100629.386021311,4.542855264
"new","dns/lookup.js","n=5000000 all=""true"" name=""::1""",552273.5721619248,9.053484092
"new","dns/lookup.js","n=5000000 all=""false"" name=""::1""",607511.2619526475,8.230300100
"old","dns/lookup.js","n=5000000 all=""true"" name=""127.0.0.1""",533691.6163696012,9.368706284
"old","dns/lookup.js","n=5000000 all=""false"" name=""127.0.0.1""",585981.4159423098,8.532693809
"old","dns/lookup.js","n=5000000 all=""true"" name=""::1""",287997.00094392186,17.361291901
"old","dns/lookup.js","n=5000000 all=""false"" name=""::1""",320422.8087341057,15.604382284
"new","dns/lookup.js","n=5000000 all=""true"" name=""127.0.0.1""",982116.371726687,5.091046381
"new","dns/lookup.js","n=5000000 all=""false"" name=""127.0.0.1""",1097466.1132353721,4.555949327
"new","dns/lookup.js","n=5000000 all=""true"" name=""::1""",566516.6590490968,8.825865789
"new","dns/lookup.js","n=5000000 all=""false"" name=""::1""",608060.981122385,8.222859475
