"binary","filename","configuration","rate","time"
"old","error/determine-specific-type.js","v=""() => 1n"" n=1000000",1166434.5469694429,0.857313428
"old","error/determine-specific-type.js","v=""() => true"" n=1000000",2104068.157921467,0.475269775
"old","error/determine-specific-type.js","v=""() => false"" n=1000000",2109279.243336401,0.474095596
"old","error/determine-specific-type.js","v=""() => 2"" n=1000000",1688153.4557151177,0.592363210
"old","error/determine-specific-type.js","v=""() => +0"" n=1000000",2098297.8911759974,0.476576755
"old","error/determine-specific-type.js","v=""() => -0"" n=1000000",1917517.6779502137,0.521507578
"old","error/determine-specific-type.js","v=""() => NaN"" n=1000000",2017990.2743241247,0.495542527
"old","error/determine-specific-type.js","v=""() => Infinity"" n=1000000",2045296.3185423026,0.488926710
"old","error/determine-specific-type.js","v=""() => \""\' n=1000000",1472358.4952175794,0.679182416
"old","error/determine-specific-type.js","v=""() => \""'\' n=1000000",663277.9464742325,1.507663575
"old","error/determine-specific-type.js","v=""() => Symbol(\""foo\"")"" n=1000000",797013.3976031335,1.254684053
"old","error/determine-specific-type.js","v=""() => function foo() {}"" n=1000000",1411174.9775194535,0.708629345
"old","error/determine-specific-type.js","v=""() => null"" n=1000000",2314234.3651940464,0.432108353
"old","error/determine-specific-type.js","v=""() => undefined"" n=1000000",2315586.0711412462,0.431856113
"old","error/determine-specific-type.js","v=""() => new Array()"" n=1000000",1454113.3576228623,0.687704294
"old","error/determine-specific-type.js","v=""() => new BigInt64Array()"" n=1000000",1268127.1902252696,0.788564434
"old","error/determine-specific-type.js","v=""() => new BigUint64Array()"" n=1000000",1273800.8170018322,0.785052095
"old","error/determine-specific-type.js","v=""() => new Int8Array()"" n=1000000",1285699.6393913364,0.777786638
"old","error/determine-specific-type.js","v=""() => new Int16Array()"" n=1000000",1283393.5850472595,0.779184197
"old","error/determine-specific-type.js","v=""() => new Int32Array()"" n=1000000",1248243.9875217094,0.801125429
"old","error/determine-specific-type.js","v=""() => new Float32Array()"" n=1000000",1280880.7590225784,0.780712797
"old","error/determine-specific-type.js","v=""() => new Float64Array()"" n=1000000",1277808.7652792402,0.782589717
"old","error/determine-specific-type.js","v=""() => new Uint8Array()"" n=1000000",1252157.9847228462,0.798621270
"old","error/determine-specific-type.js","v=""() => new Uint8ClampedArray()"" n=1000000",1284759.8556041953,0.778355578
"old","error/determine-specific-type.js","v=""() => new Uint16Array()"" n=1000000",1274290.0128809821,0.784750716
"old","error/determine-specific-type.js","v=""() => new Uint32Array()"" n=1000000",1264985.7901489723,0.790522714
"old","error/determine-specific-type.js","v=""() => new Date()"" n=1000000",1475297.7393155594,0.677829277
"old","error/determine-specific-type.js","v=""() => new Map()"" n=1000000",1466630.2854358063,0.681835095
"old","error/determine-specific-type.js","v=""() => new WeakMap()"" n=1000000",1479511.34663735,0.675898838
"old","error/determine-specific-type.js","v=""() => new Object()"" n=1000000",1472049.4261910121,0.679325016
"old","error/determine-specific-type.js","v=""() => Promise.resolve(\""foo\"")"" n=1000000",1478034.1868036299,0.676574337
"old","error/determine-specific-type.js","v=""() => new Set()"" n=1000000",1473894.1864568146,0.678474757
"old","error/determine-specific-type.js","v=""() => new WeakSet()"" n=1000000",1474467.6551014201,0.678210876
"old","error/determine-specific-type.js","v=""() => ({ __proto__: null })"" n=1000000",117035.58172541282,8.544410044
"new","error/determine-specific-type.js","v=""() => 1n"" n=1000000",2665432.820044716,0.375173590
"new","error/determine-specific-type.js","v=""() => true"" n=1000000",20453613.69947047,0.048891116
"new","error/determine-specific-type.js","v=""() => false"" n=1000000",20621654.20104855,0.048492715
"new","error/determine-specific-type.js","v=""() => 2"" n=1000000",7370066.012575764,0.135683995
"new","error/determine-specific-type.js","v=""() => +0"" n=1000000",18286489.04768226,0.054685183
"new","error/determine-specific-type.js","v=""() => -0"" n=1000000",17499740.041361686,0.057143706
"new","error/determine-specific-type.js","v=""() => NaN"" n=1000000",22322798.334210284,0.044797251
"new","error/determine-specific-type.js","v=""() => Infinity"" n=1000000",20787283.005450323,0.048106335
"new","error/determine-specific-type.js","v=""() => \""\' n=1000000",5865282.347419255,0.170494776
"new","error/determine-specific-type.js","v=""() => \""'\' n=1000000",1006160.336392644,0.993877381
"new","error/determine-specific-type.js","v=""() => Symbol(\""foo\"")"" n=1000000",1347782.2581908708,0.741959611
"new","error/determine-specific-type.js","v=""() => function foo() {}"" n=1000000",3605807.135083177,0.277330418
"new","error/determine-specific-type.js","v=""() => null"" n=1000000",38933729.730613634,0.025684670
"new","error/determine-specific-type.js","v=""() => undefined"" n=1000000",41722806.441183545,0.023967707
"new","error/determine-specific-type.js","v=""() => new Array()"" n=1000000",3792831.565030551,0.263655262
"new","error/determine-specific-type.js","v=""() => new BigInt64Array()"" n=1000000",2833115.8893278977,0.352968265
"new","error/determine-specific-type.js","v=""() => new BigUint64Array()"" n=1000000",2773173.585519379,0.360597694
"new","error/determine-specific-type.js","v=""() => new Int8Array()"" n=1000000",2820049.163214285,0.354603747
"new","error/determine-specific-type.js","v=""() => new Int16Array()"" n=1000000",2833030.168414153,0.352978945
"new","error/determine-specific-type.js","v=""() => new Int32Array()"" n=1000000",2819774.5044939267,0.354638287
"new","error/determine-specific-type.js","v=""() => new Float32Array()"" n=1000000",2860371.4728391096,0.349604941
"new","error/determine-specific-type.js","v=""() => new Float64Array()"" n=1000000",2779187.4974759766,0.359817393
"new","error/determine-specific-type.js","v=""() => new Uint8Array()"" n=1000000",2711183.114953272,0.368842663
"new","error/determine-specific-type.js","v=""() => new Uint8ClampedArray()"" n=1000000",2788538.3444601777,0.358610812
"new","error/determine-specific-type.js","v=""() => new Uint16Array()"" n=1000000",2740774.1444839323,0.364860418
"new","error/determine-specific-type.js","v=""() => new Uint32Array()"" n=1000000",2735048.1284641386,0.365624279
"new","error/determine-specific-type.js","v=""() => new Date()"" n=1000000",3782289.26635892,0.264390143
"new","error/determine-specific-type.js","v=""() => new Map()"" n=1000000",3810352.0566781033,0.262442941
"new","error/determine-specific-type.js","v=""() => new WeakMap()"" n=1000000",3882375.2725990387,0.257574276
"new","error/determine-specific-type.js","v=""() => new Object()"" n=1000000",3740101.456834595,0.267372426
"new","error/determine-specific-type.js","v=""() => Promise.resolve(\""foo\"")"" n=1000000",3738553.8519260585,0.267483107
"new","error/determine-specific-type.js","v=""() => new Set()"" n=1000000",3853455.5812830236,0.259507338
"new","error/determine-specific-type.js","v=""() => new WeakSet()"" n=1000000",3910359.3447008864,0.255730973
"new","error/determine-specific-type.js","v=""() => ({ __proto__: null })"" n=1000000",176060.10230474366,5.679878558
"old","error/determine-specific-type.js","v=""() => 1n"" n=1000000",1166434.5469694429,0.857313428
"old","error/determine-specific-type.js","v=""() => true"" n=1000000",2104068.157921467,0.475269775
"old","error/determine-specific-type.js","v=""() => false"" n=1000000",2109279.243336401,0.474095596
