"binary","filename","configuration","rate","time"
"old","fs/bench-accessSync.js","n=100000 type=""existing""",87687.4843801736,1.140413603
"old","fs/bench-accessSync.js","n=100000 type=""non-existing""",16094.838905203442,6.213171849
"old","fs/bench-accessSync.js","n=100000 type=""non-flat-existing""",93235.79457009799,1.072549448
"new","fs/bench-accessSync.js","n=100000 type=""existing""",86127.02999159621,1.161075681
"new","fs/bench-accessSync.js","n=100000 type=""non-existing""",16579.83996251778,6.031421306
"new","fs/bench-accessSync.js","n=100000 type=""non-flat-existing""",84930.93085472264,1.177427340
"old","fs/bench-accessSync.js","n=100000 type=""existing""",87687.4843801736,1.140413603
"old","fs/bench-accessSync.js","n=100000 type=""non-existing""",16094.838905203442,6.213171849
"old","fs/bench-accessSync.js","n=100000 type=""non-flat-existing""",93235.79457009799,1.072549448
"new","fs/bench-accessSync.js","n=100000 type=""existing""",83501.08938777758,1.197589166
"new","fs/bench-accessSync.js","n=100000 type=""non-existing""",16467.242278033656,6.072662217
"new","fs/bench-accessSync.js","n=100000 type=""non-flat-existing""",86069.85553415744,1.161846960
"old","fs/bench-accessSync.js","n=100000 type=""existing""",87687.4843801736,1.140413603
"old","fs/bench-accessSync.js","n=100000 type=""non-existing""",16094.838905203442,6.213171849
"old","fs/bench-accessSync.js","n=100000 type=""non-flat-existing""",93235.79457009799,1.072549448
"new","fs/bench-accessSync.js","n=100000 type=""existing""",85931.21735387121,1.163721440
"new","fs/bench-accessSync.js","n=100000 type=""non-existing""",16211.28564131698,6.168542225
"new","fs/bench-accessSync.js","n=100000 type=""non-flat-existing""",87363.20116297613,1.144646701
"old","fs/bench-chmodSync.js","n=1000 type=""existing""",2687.1341446708525,0.372143684
"old","fs/bench-chmodSync.js","n=1000 type=""non-existing""",1065.111573094735,0.938868777
"new","fs/bench-chmodSync.js","n=1000 type=""existing""",24585.436074461122,0.040674487
"new","fs/bench-chmodSync.js","n=1000 type=""non-existing""",8855.142452632359,0.112928731
"old","fs/bench-chmodSync.js","n=1000 type=""existing""",2687.1341446708525,0.372143684
"old","fs/bench-chmodSync.js","n=1000 type=""non-existing""",1065.111573094735,0.938868777
"new","fs/bench-chmodSync.js","n=1000 type=""existing""",23541.884532094333,0.042477483
"new","fs/bench-chmodSync.js","n=1000 type=""non-existing""",9377.01564811991,0.106643738
"old","fs/bench-chmodSync.js","n=1000 type=""existing""",2687.1341446708525,0.372143684
"old","fs/bench-chmodSync.js","n=1000 type=""non-existing""",1065.111573094735,0.938868777
"new","fs/bench-chmodSync.js","n=1000 type=""existing""",24133.128957908564,0.041436815
"new","fs/bench-chmodSync.js","n=1000 type=""non-existing""",9165.408783051758,0.109105881
"old","fs/bench-chownSync.js","n=10000 method=""chownSync"" type=""existing""",11818.278137148636,0.846146950
"old","fs/bench-chownSync.js","n=10000 method=""lchownSync"" type=""existing""",11832.493387816334,0.845130411
"old","fs/bench-chownSync.js","n=10000 method=""chownSync"" type=""non-existing""",7649.280594874639,1.307312482
"old","fs/bench-chownSync.js","n=10000 method=""lchownSync"" type=""non-existing""",8242.536328129885,1.213218796
"new","fs/bench-chownSync.js","n=10000 method=""chownSync"" type=""existing""",52686.93933292297,0.189800359
"new","fs/bench-chownSync.js","n=10000 method=""lchownSync"" type=""existing""",52768.64995931353,0.189506459
"new","fs/bench-chownSync.js","n=10000 method=""chownSync"" type=""non-existing""",18031.52375927064,0.554584301
"new","fs/bench-chownSync.js","n=10000 method=""lchownSync"" type=""non-existing""",18152.856223858424,0.550877497
"old","fs/bench-chownSync.js","n=10000 method=""chownSync"" type=""existing""",11818.278137148636,0.846146950
"old","fs/bench-chownSync.js","n=10000 method=""lchownSync"" type=""existing""",11832.493387816334,0.845130411
"old","fs/bench-chownSync.js","n=10000 method=""chownSync"" type=""non-existing""",7649.280594874639,1.307312482
"old","fs/bench-chownSync.js","n=10000 method=""lchownSync"" type=""non-existing""",8242.536328129885,1.213218796
"new","fs/bench-chownSync.js","n=10000 method=""chownSync"" type=""existing""",52281.13437618686,0.191273585
"new","fs/bench-chownSync.js","n=10000 method=""lchownSync"" type=""existing""",51392.552385572126,0.194580723
"new","fs/bench-chownSync.js","n=10000 method=""chownSync"" type=""non-existing""",17885.735792851658,0.559104759
"new","fs/bench-chownSync.js","n=10000 method=""lchownSync"" type=""non-existing""",17953.151857045574,0.557005259
"old","fs/bench-chownSync.js","n=10000 method=""chownSync"" type=""existing""",11818.278137148636,0.846146950
"old","fs/bench-chownSync.js","n=10000 method=""lchownSync"" type=""existing""",11832.493387816334,0.845130411
"old","fs/bench-chownSync.js","n=10000 method=""chownSync"" type=""non-existing""",7649.280594874639,1.307312482
"old","fs/bench-chownSync.js","n=10000 method=""lchownSync"" type=""non-existing""",8242.536328129885,1.213218796
"new","fs/bench-chownSync.js","n=10000 method=""chownSync"" type=""existing""",51774.077331449735,0.193146851
"new","fs/bench-chownSync.js","n=10000 method=""lchownSync"" type=""existing""",52621.07854962037,0.190037914
