"binary","filename","configuration","rate","time"
"old","mime/mimetype-instantiation.js","value=""application/ecmascript; "" n=100000",56833.97110265486,1.759511047
"old","mime/mimetype-instantiation.js","value=""text/html;charset=gbk"" n=100000",56398.36800448573,1.773100952
"old","mime/mimetype-instantiation.js","value=""text/html;012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789=x;charset=gbk"" n=100000",57481.82549700755,1.739680310
"old","mime/mimetype-instantiation.js","value=""text/html;test=ÿ;charset=gbk"" n=100000",60291.67925471516,1.658603662
"old","mime/mimetype-instantiation.js","value=""x/x;\n\r\t x=x\n\r\t ;x=y"" n=100000",61335.444087144635,1.630378674
"new","mime/mimetype-instantiation.js","value=""application/ecmascript; "" n=100000",206727.89184686344,0.483727663
"new","mime/mimetype-instantiation.js","value=""text/html;charset=gbk"" n=100000",300094.2103760286,0.333228688
"new","mime/mimetype-instantiation.js","value=""text/html;012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789=x;charset=gbk"" n=100000",295879.59875637427,0.337975313
"new","mime/mimetype-instantiation.js","value=""text/html;test=ÿ;charset=gbk"" n=100000",304728.8784201924,0.328160562
"new","mime/mimetype-instantiation.js","value=""x/x;\n\r\t x=x\n\r\t ;x=y"" n=100000",399483.37052796496,0.250323311
"old","mime/mimetype-instantiation.js","value=""application/ecmascript; "" n=100000",56833.97110265486,1.759511047
"old","mime/mimetype-instantiation.js","value=""text/html;charset=gbk"" n=100000",56398.36800448573,1.773100952
"old","mime/mimetype-instantiation.js","value=""text/html;012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789=x;charset=gbk"" n=100000",57481.82549700755,1.739680310
"old","mime/mimetype-instantiation.js","value=""text/html;test=ÿ;charset=gbk"" n=100000",60291.67925471516,1.658603662
"old","mime/mimetype-instantiation.js","value=""x/x;\n\r\t x=x\n\r\t ;x=y"" n=100000",61335.444087144635,1.630378674
"new","mime/mimetype-instantiation.js","value=""application/ecmascript; "" n=100000",205426.23751358985,0.486792735
"new","mime/mimetype-instantiation.js","value=""text/html;charset=gbk"" n=100000",297698.12634187617,0.335910747
"new","mime/mimetype-instantiation.js","value=""text/html;012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789=x;charset=gbk"" n=100000",303217.1288860065,0.329796672
"new","mime/mimetype-instantiation.js","value=""text/html;test=ÿ;charset=gbk"" n=100000",299508.1336660114,0.333880749
"new","mime/mimetype-instantiation.js","value=""x/x;\n\r\t x=x\n\r\t ;x=y"" n=100000",387127.5835549658,0.258312774
"old","mime/mimetype-instantiation.js","value=""application/ecmascript; "" n=100000",56833.97110265486,1.759511047
"old","mime/mimetype-instantiation.js","value=""text/html;charset=gbk"" n=100000",56398.36800448573,1.773100952
"old","mime/mimetype-instantiation.js","value=""text/html;012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789=x;charset=gbk"" n=100000",57481.82549700755,1.739680310
"old","mime/mimetype-instantiation.js","value=""text/html;test=ÿ;charset=gbk"" n=100000",60291.67925471516,1.658603662
"old","mime/mimetype-instantiation.js","value=""x/x;\n\r\t x=x\n\r\t ;x=y"" n=100000",61335.444087144635,1.630378674
"new","mime/mimetype-instantiation.js","value=""application/ecmascript; "" n=100000",211615.89618997683,0.472554292
"new","mime/mimetype-instantiation.js","value=""text/html;charset=gbk"" n=100000",293712.0014136711,0.340469574
"new","mime/mimetype-instantiation.js","value=""text/html;012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789=x;charset=gbk"" n=100000",306444.25077780685,0.326323629
"new","mime/mimetype-instantiation.js","value=""text/html;test=ÿ;charset=gbk"" n=100000",292988.50984324055,0.341310313
"new","mime/mimetype-instantiation.js","value=""x/x;\n\r\t x=x\n\r\t ;x=y"" n=100000",399470.73164035217,0.250331231
"old","mime/mimetype-to-string.js","value=""application/ecmascript; "" n=100000",142119.54566359555,0.703632984
"old","mime/mimetype-to-string.js","value=""text/html;charset=gbk"" n=100000",97812.7234207662,1.022361882
"old","mime/mimetype-to-string.js","value=""text/html;012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789=x;charset=gbk"" n=100000",84967.21846182473,1.176924487
"old","mime/mimetype-to-string.js","value=""text/html;test=ÿ;charset=gbk"" n=100000",63533.46399481529,1.573973678
"old","mime/mimetype-to-string.js","value=""x/x;\n\r\t x=x\n\r\t ;x=y"" n=100000",93802.43265784298,1.066070433
"new","mime/mimetype-to-string.js","value=""application/ecmascript; "" n=100000",1303368.220199473,0.076724289
"new","mime/mimetype-to-string.js","value=""text/html;charset=gbk"" n=100000",682161.1336770393,0.146592931
"new","mime/mimetype-to-string.js","value=""text/html;012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789=x;charset=gbk"" n=100000",470946.26970241393,0.212338448
"new","mime/mimetype-to-string.js","value=""text/html;test=ÿ;charset=gbk"" n=100000",417205.94185203034,0.239689779
