"binary","filename","configuration","rate","time"
"old","util/format.js","type=""string"" n=100000",161381.39634962703,0.619650110
"old","util/format.js","type=""string-2"" n=100000",151261.88091359648,0.661105094
"old","util/format.js","type=""number"" n=100000",117391.40368647348,0.851851131
"old","util/format.js","type=""replace-object"" n=100000",117158.80035007377,0.853542369
"old","util/format.js","type=""unknown"" n=100000",166940.7982037544,0.599014747
"old","util/format.js","type=""no-replace"" n=100000",62506.36353847299,1.599837110
"old","util/format.js","type=""no-replace-2"" n=100000",172660.75007196714,0.579170425
"old","util/format.js","type=""only-objects"" n=100000",14605.571291459313,6.846702399
"old","util/format.js","type=""many-%"" n=100000",138172.056099955,0.723735340
"old","util/format.js","type=""object-to-string"" n=100000",117258.10541083892,0.852819510
"old","util/format.js","type=""object-%s"" n=100000",15644.555136583453,6.392000228
"new","util/format.js","type=""string"" n=100000",1270214.704899655,0.078726848
"new","util/format.js","type=""string-2"" n=100000",983851.6299794625,0.101641342
"new","util/format.js","type=""number"" n=100000",1142556.6308765372,0.087523014
"new","util/format.js","type=""replace-object"" n=100000",404990.8627783999,0.246919151
"new","util/format.js","type=""unknown"" n=100000",1471926.7795322458,0.067938162
"new","util/format.js","type=""no-replace"" n=100000",738417.2806834035,0.135424783
"new","util/format.js","type=""no-replace-2"" n=100000",1560368.6583165408,0.064087419
"new","util/format.js","type=""only-objects"" n=100000",55865.0107823102,1.790029190
"new","util/format.js","type=""many-%"" n=100000",568025.5240224327,0.176048427
"new","util/format.js","type=""object-to-string"" n=100000",759945.9830395256,0.131588300
"new","util/format.js","type=""object-%s"" n=100000",71842.05591825274,1.391942348
"old","util/format.js","type=""string"" n=100000",161381.39634962703,0.619650110
"old","util/format.js","type=""string-2"" n=100000",151261.88091359648,0.661105094
"old","util/format.js","type=""number"" n=100000",117391.40368647348,0.851851131
"old","util/format.js","type=""replace-object"" n=100000",117158.80035007377,0.853542369
"old","util/format.js","type=""unknown"" n=100000",166940.7982037544,0.599014747
"old","util/format.js","type=""no-replace"" n=100000",62506.36353847299,1.599837110
"old","util/format.js","type=""no-replace-2"" n=100000",172660.75007196714,0.579170425
"old","util/format.js","type=""only-objects"" n=100000",14605.571291459313,6.846702399
"old","util/format.js","type=""many-%"" n=100000",138172.056099955,0.723735340
"old","util/format.js","type=""object-to-string"" n=100000",117258.10541083892,0.852819510
"old","util/format.js","type=""object-%s"" n=100000",15644.555136583453,6.392000228
"new","util/format.js","type=""string"" n=100000",1209055.413971808,0.082709195
"new","util/format.js","type=""string-2"" n=100000",971850.6567203064,0.102896468
"new","util/format.js","type=""number"" n=100000",1151115.588132178,0.086872249
"new","util/format.js","type=""replace-object"" n=100000",418421.1851499727,0.238993635
"new","util/format.js","type=""unknown"" n=100000",1475032.573513079,0.067795113
"new","util/format.js","type=""no-replace"" n=100000",722399.2746591155,0.138427603
"new","util/format.js","type=""no-replace-2"" n=100000",1561770.4091922806,0.064029898
"new","util/format.js","type=""only-objects"" n=100000",57512.9241188288,1.738739623
"new","util/format.js","type=""many-%"" n=100000",578914.3005315145,0.172737139
"new","util/format.js","type=""object-to-string"" n=100000",717839.7233738585,0.139306863
"new","util/format.js","type=""object-%s"" n=100000",72179.54421409733,1.385434074
"old","util/format.js","type=""string"" n=100000",161381.39634962703,0.619650110
"old","util/format.js","type=""string-2"" n=100000",151261.88091359648,0.661105094
"old","util/format.js","type=""number"" n=100000",117391.40368647348,0.851851131
"old","util/format.js","type=""replace-object"" n=100000",117158.80035007377,0.853542369
"old","util/format.js","type=""unknown"" n=100000",166940.7982037544,0.599014747
"old","util/format.js","type=""no-replace"" n=100000",62506.36353847299,1.599837110
"old","util/format.js","type=""no-replace-2"" n=100000",172660.75007196714,0.579170425
"old","util/format.js","type=""only-objects"" n=100000",14605.571291459313,6.846702399
"old","util/format.js","type=""many-%"" n=100000",138172.056099955,0.723735340
"old","util/format.js","type=""object-to-string"" n=100000",117258.10541083892,0.852819510
"old","util/format.js","type=""object-%s"" n=100000",15644.555136583453,6.392000228
"new","util/format.js","type=""string"" n=100000",1234129.054084632,0.081028803
"new","util/format.js","type=""string-2"" n=100000",980163.4328428577,0.102023802
"new","util/format.js","type=""number"" n=100000",1133750.2389945504,0.088202848
"new","util/format.js","type=""replace-object"" n=100000",427402.9851320392,0.233971225
"new","util/format.js","type=""unknown"" n=100000",1469614.6588066188,0.068045048
"new","util/format.js","type=""no-replace"" n=100000",741711.6852900706,0.134823277
"new","util/format.js","type=""no-replace-2"" n=100000",1509614.181714161,0.066242091
"new","util/format.js","type=""only-objects"" n=100000",57480.65769832982,1.739715654
"new","util/format.js","type=""many-%"" n=100000",569013.7486126164,0.175742678
"new","util/format.js","type=""object-to-string"" n=100000",702107.149232025,0.142428403
"new","util/format.js","type=""object-%s"" n=100000",72899.42724305105,1.371752890
"old","util/inspect-array.js","type=""denseArray"" len=100 n=500",113.07165718285492,4.421974635
"old","util/inspect-array.js","type=""sparseArray"" len=100 n=500",211.9424751617439,2.359130701
"old","util/inspect-array.js","type=""mixedArray"" len=100 n=500",108.98448871790643,4.587808833
"old","util/inspect-array.js","type=""denseArray_showHidden"" len=100 n=500",107.50107362558494,4.651116339
"old","util/inspect-array.js","type=""denseArray"" len=100000 n=500",111.10228396058224,4.500357528
"old","util/inspect-array.js","type=""sparseArray"" len=100000 n=500",187.86303773545362,2.661513441
"old","util/inspect-array.js","type=""mixedArray"" len=100000 n=500",96.48526887759733,5.182138225
