Once upon a time, there was a little girl named Lily. One day, Lily went to the park with her mommy. They saw a big, fluffy dog playing with a ball. Lily wanted to pet the dog, but her mommy said they had to stay quiet so the dog wouldn't bite.
Suddenly, Lily saw a squirrel running across the fence. She ran after it, but it was too fast for her. Then, she saw a bowl of rice on the ground. She picked it up and said, "I'll eat this rice for dinner." 
As she was eating, a little boy came up to her and said, "Can I have some rice too?" Lily was so kind that she shared her rice with the boy. The boy was happy and said, "Thank you!" They became friends and played together in the park. When it was time to go home, Lily said goodbye to the boy and the dog. She was happy to have made a new friend and the dog was happy to have someone to play with.achieved tok/s: 23.875397

Once upon a time, there was a little girl named Lily. One day, Lily went to the park with her mommy. They saw a big, fluffy dog playing with a ball. Lily wanted to pet the dog, but her mommy said they had to stay quiet so the dog wouldn't bite.
Suddenly, Lily saw a squirrel running across the fence. She ran after it, but it was too fast for her. Then, she saw a bowl of rice on the ground. She picked it up and said, "I'll eat this rice for dinner." 
As she was eating, a little boy came up to her and said, "Can I have some rice too?" Lily was so kind that she shared her rice with the boy. The boy was happy and said, "Thank you!" They became friends and played together in the park. When it was time to go home, Lily said goodbye to the boy and the dog. She was happy to have made a new friend and the dog was happy to have someone to play with.achieved tok/s: 24.182667

Once upon a time, there was a little girl named Lily. One day, Lily went to the park with her mommy. They saw a big, fluffy dog playing with a ball. Lily wanted to pet the dog, but her mommy said they had to stay quiet so the dog wouldn't bite.
Suddenly, Lily saw a squirrel running across the fence. She ran after it, but it was too fast for her. Then, she saw a bowl of rice on the ground. She picked it up and said, "I'll eat this rice for dinner." 
As she was eating, a little boy came up to her and said, "Can I have some rice too?" Lily was so kind that she shared her rice with the boy. The boy was happy and said, "Thank you!" They became friends and played together in the park. When it was time to go home, Lily said goodbye to the boy and the dog. She was happy to have made a new friend and the dog was happy to have someone to play with.achieved tok/s: 24.195223

Once upon a time, there was a little girl named Lily. One day, Lily went to the park with her mommy. They saw a big, fluffy dog playing with a ball. Lily wanted to pet the dog, but her mommy said they had to stay quiet so the dog wouldn't bite.
Suddenly, Lily saw a squirrel running across the fence. She ran after it, but it was too fast for her. Then, she saw a bowl of rice on the ground. She picked it up and said, "I'll eat this rice for dinner." 
As she was eating, a little boy came up to her and said, "Can I have some rice too?" Lily was so kind that she shared her rice with the boy. The boy was happy and said, "Thank you!" They became friends and played together in the park. When it was time to go home, Lily said goodbye to the boy and the dog. She was happy to have made a new friend and the dog was happy to have someone to play with.achieved tok/s: 24.110099

Once upon a time, there was a little girl named Lily. One day, Lily went to the park with her mommy. They saw a big, fluffy dog playing with a ball. Lily wanted to pet the dog, but her mommy said they had to stay quiet so the dog wouldn't bite.
Suddenly, Lily saw a squirrel running across the fence. She ran after it, but it was too fast for her. Then, she saw a bowl of rice on the ground. She picked it up and said, "I'll eat this rice for dinner." 
As she was eating, a little boy came up to her and said, "Can I have some rice too?" Lily was so kind that she shared her rice with the boy. The boy was happy and said, "Thank you!" They became friends and played together in the park. When it was time to go home, Lily said goodbye to the boy and the dog. She was happy to have made a new friend and the dog was happy to have someone to play with.achieved tok/s: 24.132574

Once upon a time, there was a little girl named Lily. One day, Lily went to the park with her mommy. They saw a big, fluffy dog playing with a ball. Lily wanted to pet the dog, but her mommy said they had to stay quiet so the dog wouldn't bite.
Suddenly, Lily saw a squirrel running across the fence. She ran after it, but it was too fast for her. Then, she saw a bowl of rice on the ground. She picked it up and said, "I'll eat this rice for dinner." 
