procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
17  0    512 25106824 2378376 100025640    0    0    51    77    3    5  3  1 96  0  0
17  0    512 25097828 2378376 100025648    0    0     0    20 31849 3036 16  5 78  0  0
14  0    512 25106976 2378376 100025656    0    0     0     8 31868 2661 16  5 79  0  0
16  0    512 25108660 2378376 100025664    0    0     0   112 31081 2988 16  5 80  0  0
15  0    512 25109536 2378376 100025680    0    0     0  1644 31717 3066 16  6 78  0  0
13  0    512 25110984 2378376 100025728    0    0     0    20 32935 2574 16  6 78  0  0
16  0    512 25111116 2378380 100025728    0    0     0    52 31871 2876 16  5 79  0  0
15  0    512 25111608 2378380 100025728    0    0     0   112 32331 3180 16  5 78  0  0
13  0    512 25105588 2378380 100025728    0    0     0     8 27041 2965 14  6 80  0  0
17  0    512 25025996 2378380 100025736    0    0     0  1736 28452 3004 14  6 79  0  0
13  0    512 24873820 2378380 100025768    0    0     0     8 31444 2628 15  6 78  0  0
16  0    512 24723464 2378384 100025888    0    0     0   116 28903 2999 16  6 78  0  0
16  0    512 24720688 2378384 100025880    0    0     0    48 30498 3158 17  5 78  0  0
16  0    512 24716184 2378384 100025888    0    0     0     8 32702 2592 17  5 78  0  0
15  0    512 24719188 2378384 100025896    0    0     0  1616 32461 2905 17  5 78  0  0
17  0    512 24724300 2378384 100025904    0    0     0   100 32180 2803 16  6 78  0  0
15  0    512 24723960 2378384 100025920    0    0     0     8 31961 2864 16  5 79  0  0
16  0    512 24716948 2378384 100025936    0    0     0    24 32508 2931 16  6 79  0  0
16  0    512 24727392 2378384 100025936    0    0     0     4 32762 2869 17  5 78  0  0
16  0    512 24728300 2378384 100025944    0    0     0  1820 31661 2970 16  5 79  0  0
14  0    512 24729396 2378384 100025952    0    0     0    28 31726 3190 16  5 79  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
16  0    512 24730816 2378384 100025968    0    0     0     0 31777 2596 16  6 78  0  0
 3  0    512 24729152 2378384 100026128    0    0     0    12 31709 2998 16  6 79  0  0
16  0    512 24731540 2378388 100026128    0    0     0   124 32371 2781 16  5 79  0  0
14  0    512 24731140 2378388 100026160    0    0     0  1184 32471 3124 16  6 78  0  0
16  0    512 24702300 2378388 100026160    0    0     0   528 31256 3063 16  5 79  0  0
19  0    512 24533560 2378388 100026160    0    0     0     4 30545 2910 16  7 78  0  0
16  0    512 24528864 2378388 100026160    0    0     0   108 30114 2782 17  6 77  0  0
16  0    512 24522460 2378392 100026168    0    0     0    60 31534 3326 17  6 77  0  0
16  0    512 24521988 2378392 100026160    0    0     0    24 33080 2677 16  6 78  0  0
16  0    512 24521664 2378392 100026176    0    0     0  1788 33047 2619 16  6 78  0  0
16  0    512 24518532 2378392 100026184    0    0     0   124 32229 3298 16  6 78  0  0
17  0    512 24517448 2378392 100026192    0    0     0     8 33454 2757 17  6 77  0  0
17  0    512 24517028 2378396 100026256    0    0     0    24 32849 2731 16  6 78  0  0
15  0    512 24516620 2378396 100026256    0    0     0    96 31950 2949 16  5 79  0  0
17  0    512 24518516 2378396 100026280    0    0     0  1660 32647 2558 16  6 79  0  0
16  0    512 24515776 2378396 100026288    0    0     0    32 31912 2976 16  5 78  0  0
17  0    512 24515432 2378396 100026288    0    0     0     8 31603 3001 16  6 79  0  0
14  0    512 24518000 2378396 100026304    0    0     0     8 32002 2877 16  6 78  0  0
17  0    512 24519168 2378396 100026312    0    0     0   116 31440 2872 15  5 80  0  0
16  0    512 24518236 2378396 100026320    0    0     0  1572 31637 3159 16  6 78  0  0
10  0    512 24519852 2378396 100026328    0    0     0     4 30981 2744 16  5 79  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
18  0    512 24502428 2378396 100026336    0    0     0     8 29924 3142 18  5 77  0  0
18  0    512 24507264 2378396 100026344    0    0     0   108 32863 2623 18  6 76  0  0
16  0    512 24508448 2378396 100026352    0    0     0    96 31429 3236 16  5 79  0  0
16  0    512 24507308 2378396 100026368    0    0     0  1724 32722 2828 17  6 77  0  0
16  0    512 24511136 2378396 100026368    0    0     0     8 32109 2931 16  5 79  0  0
14  0    512 24513176 2378396 100026384    0    0     0   108 32441 2973 16  6 78  0  0
15  0    512 24513388 2378396 100026384    0    0     0     8 33767 2789 17  6 77  0  0
15  0    512 24511004 2378400 100026400    0    0     0    40 33250 2443 16  6 77  0  0
18  0    512 24511164 2378400 100026480    0    0     0  1536 32732 2659 16  5 78  0  0
16  0    512 24504364 2378400 100026576    0    0     0   112 32521 2754 16  6 78  0  0
15  0    512 24506004 2378400 100026736    0    0     0    44 31619 2841 16  5 79  0  0
16  0    512 24506928 2378400 100026744    0    0     0     4 31983 3051 16  5 79  0  0
17  0    512 24508920 2378400 100026752    0    0     0     8 32881 2871 17  6 76  0  0
18  0    512 24507184 2378404 100026752    0    0     0   128 30939 3223 15  5 80  0  0
16  0    512 24505480 2378404 100026880    0    0     0  1652 31650 2947 16  5 78  0  0
16  0    512 24500136 2378404 100026896    0    0     0    12 27668 3201 17  5 78  0  0
17  0    512 24488960 2378404 100026896    0    0     0     4 30977 2775 17  5 78  0  0
17  0    512 24494788 2378404 100026912    0    0     0   100 31573 3052 16  5 79  0  0
16  0    512 24493092 2378408 100026912    0    0     0   180 32019 2933 16  6 78  0  0
14  0    512 24493572 2378408 100026928    0    0     0  1688 31807 3025 16  6 78  0  0
16  0    512 24496172 2378408 100026936    0    0     0     0 31901 2678 15  6 79  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
16  0    512 24493596 2378408 100026944    0    0     0     8 31902 2962 16  5 79  0  0
16  0    512 24495660 2378408 100026944    0    0     0   108 32538 2938 16  5 78  0  0
23  0    512 24491940 2378412 100026952    0    0     0    24 31617 2568 16  6 78  0  0
22  0    512 24493156 2378412 100026960    0    0     0  1552 32351 2708 16  6 79  0  0
17  0    512 24487008 2378412 100027104    0    0     0     8 32074 2860 16  5 79  0  0
16  0    512 24489208 2378412 100027104    0    0     0    96 32429 2769 16  6 78  0  0
15  0    512 24490044 2378412 100027104    0    0     0    40 31447 3441 16  5 79  0  0
17  0    512 24495412 2378412 100027120    0    0     0    24 31767 3041 16  5 79  0  0
15  0    512 24495120 2378416 100027120    0    0     0  1788 32591 2843 16  6 78  0  0
16  0    512 24492832 2378416 100027128    0    0     0     4 29795 3143 17  5 78  0  0
16  0    512 24490680 2378416 100027136    0    0     0     8 31459 3026 17  5 77  0  0
23  0    512 24485836 2378416 100027152    0    0    76     4 32148 3043 17  5 78  0  0
17  0    512 24491564 2378416 100027232    0    0     0     8 31987 2996 16  5 79  0  0
17  0    512 24489408 2378416 100027240    0    0     0  1728 32127 2798 16  6 78  0  0
16  0    512 24489156 2378416 100027248    0    0     0     8 31768 2829 15  6 79  0  0
15  0    512 24487412 2378416 100027264    0    0     0     4 31732 3137 16  5 79  0  0
16  0    512 24488184 2378416 100027392    0    0     0     4 32179 3014 16  5 79  0  0
16  0    512 24488840 2378416 100027408    0    0     0   104 31899 3154 16  5 79  0  0
13  0    512 24487188 2378416 100027408    0    0     0  1692 32427 2951 16  6 78  0  0
 1  0    512 24484828 2378416 100027424    0    0     0    20 32614 2896 17  5 78  0  0
17  0    512 24475064 2378416 100027432    0    0     0   100 32617 3011 16  5 79  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
19  0    512 24482208 2378416 100027440    0    0     0     8 31808 2570 15  6 79  0  0
16  0    512 24483712 2378416 100027448    0    0     0    16 32152 3047 16  5 79  0  0
16  0    512 24483400 2378416 100027456    0    0     0  1680 32203 2782 16  6 78  0  0
16  0    512 24482072 2378416 100027472    0    0     0     4 29651 3180 17  5 77  0  0
16  0    512 24481504 2378416 100027472    0    0     0   108 31626 3019 18  6 76  0  0
