procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st gu
 0  1   2304 844684 5454692 24544340    0    0  5404   211 4445    3  1  1 99  0  0  0
 1  0   2304 845552 5454700 24544348    0    0     0    24 27050 30885  2  3 95  0  0  0
 1  0   2304 846404 5454700 24544348    0    0     0     0 26804 30858  1  4 95  0  0  0
 0  0   2304 847928 5454708 24544348    0    0     0    96 27649 32120  2  3 95  0  0  0
 1  0   2304 850708 5454708 24544348    0    0     0     0 27071 32363  1  4 95  0  0  0
 1  0   2304 849760 5454708 24544348    0    0     0     0 27805 33296  2  4 94  0  0  0
 2  0   2304 845780 5454716 24544348    0    0     0   340 27572 34254  2  3 95  0  0  0
 0  0   2304 845780 5454716 24544348    0    0     0     0 28428 33939  1  4 95  0  0  0
 0  0   2304 845268 5454716 24544348    0    0     0    12 27938 34190  1  4 95  0  0  0
 0  0   2304 845528 5454724 24544348    0    0     0   132 27531 33109  1  4 94  0  0  0
 0  0   2304 845528 5454724 24544352    0    0     0     0 27458 33158  2  4 95  0  0  0
 0  0   2304 844768 5454732 24544352    0    0     0    52 27825 33530  2  4 94  0  0  0
 2  0   2304 845280 5454732 24544352    0    0     0     0 25812 29815  1  4 95  0  0  0
 2  0   2304 845280 5454732 24544352    0    0     0   228 27391 33401  1  4 95  0  0  0
 0  0   2304 845280 5454732 24544352    0    0     0     8 28096 33688  1  4 95  0  0  0
 0  0   2304 845280 5454740 24544352    0    0     0    72 28250 33953  1  5 94  0  0  0
 0  0   2304 845280 5454748 24544352    0    0     0    80 27800 34745  1  4 95  0  0  0
 1  0   2304 845280 5454748 24544352    0    0     0     0 28620 34310  2  4 94  0  0  0
 0  0   2304 845280 5454748 24544352    0    0     0     0 28689 34952  1  4 95  0  0  0
 0  0   2304 845280 5454748 24544352    0    0     0     0 28652 35050  2  4 95  0  0  0
 1  0   2304 845080 5454748 24544352    0    0     0     0 28190 34969  2  4 94  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st gu
 2  0   2304 844568 5454756 24544352    0    0     0   104 27900 34262  1  4 95  0  0  0
 1  0   2304 845080 5454764 24544352    0    0     0    32 27307 33664  2  4 94  0  0  0
 1  0   2304 845080 5454764 24544352    0    0     0     0 26680 31480  1  4 94  0  0  0
 1  0   2304 845080 5454764 24544352    0    0     0   152 27586 34183  1  4 95  0  0  0
 1  0   2304 845080 5454764 24544352    0    0     0     0 28750 35215  2  4 94  0  0  0
 1  0   2304 845080 5454764 24544352    0    0     0     0 29783 37031  2  4 94  0  0  0
 0  0   2304 845080 5454780 24544352    0    0     0   172 28458 35327  2  5 94  0  0  0
 1  0   2304 845080 5454780 24544352    0    0     0     0 29664 36188  2  5 94  0  0  0
 0  0   2304 845136 5454780 24544352    0    0     0     0 29202 35948  2  4 94  0  0  0
 0  0   2304 850020 5454780 24544352    0    0     0     0 29799 36990  2  4 94  0  0  0
 0  0   2304 849508 5454780 24544352    0    0     0     0 28574 34438  2  4 94  0  0  0
 1  0   2304 849772 5454780 24544352    0    0     0    56 29285 35823  2  5 94  0  0  0
 1  0   2304 849772 5454796 24544352    0    0     0    32 26302 31061  2  4 94  0  0  0
 0  0   2304 849520 5454796 24544352    0    0     0     0 28221 33684  2  4 94  0  0  0
 0  0   2304 849520 5454796 24544352    0    0     0     0 28487 35079  1  4 94  0  0  0
 0  0   2304 844668 5454796 24544352    0    0     0     0 28731 36440  2  4 94  0  0  0
 0  0   2304 844668 5454796 24544352    0    0     0     0 28501 34651  1  4 94  0  0  0
 1  0   2304 844920 5454796 24544352    0    0     0   148 28238 35695  2  4 94  0  0  0
 0  0   2304 844920 5454804 24544352    0    0     0    16 27737 34470  2  4 94  0  0  0
 0  0   2304 844920 5454812 24544344    0    0     0    16 28855 35886  2  4 94  0  0  0
 1  0   2304 844920 5454812 24544352    0    0     0     0 28654 35575  2  5 93  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st gu
 1  0   2304 844920 5454812 24544352    0    0     0     0 28937 35843  2  4 95  0  0  0
 0  0   2304 844920 5454812 24544356    0    0     0    80 28665 35778  1  4 94  0  0  0
 1  0   2304 844920 5454812 24544356    0    0     0     0 26743 32019  2  5 94  0  0  0
