procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0  16384 22861264 2034764 101411776    0    0    45    68    2    2  3  1 96  0  0
 1  0  16384 22860676 2034764 101412528    0    0   508     0 1183 2242  2  0 98  0  0
 3  0  16384 22852360 2034764 101412848    0    0   464     0 1152 1981  1  1 98  0  0
 2  0  16384 22859536 2034764 101413192    0    0   152     0 1168 2043  2  0 98  0  0
 4  0  16384 22859004 2034764 101413552    0    0   468     0 1152 2121  2  1 97  0  0
 1  0  16384 22858400 2034764 101413920    0    0   228    52 1193 2287  2  1 98  0  0
 3  0  16384 22858148 2034768 101414024    0    0   100    76 1182 2072  2  0 98  0  0
 1  0  16384 22857004 2034768 101414088    0    0    92     0 1207 2187  2  1 97  0  0
 2  0  16384 22855012 2034768 101414176    0    0     0     0 1063 2207  4  1 95  0  0
 4  0  16384 22850844 2034768 101414288    0    0   164     0 1109 2487  3  2 96  0  0
 3  0  16384 22854136 2034768 101414368    0    0    44     0 1106 2720  1  1 98  0  0
 3  0  16384 22848280 2034768 101414456    0    0    64    32 1207 2946  2  1 98  0  0
 2  0  16384 22864048 2034768 101414552    0    0   112    12 1138 2756  2  1 98  0  0
 3  0  16384 22881288 2034768 101414576    0    0     0     0 1127 2801  1  0 98  0  0
 2  0  16384 22917160 2034768 101414592    0    0    20     0 1093 2950  2  1 98  0  0
 6  0  16384 22947172 2034768 101414592    0    0    24     0 1151 2926  2  1 97  0  0
 1  0  16384 22958708 2034768 101414616    0    0     0   520 1110 2790  1  1 98  0  0
 2  0  16384 22978896 2034776 101414616    0    0     0    20 1081 3003  1  1 98  0  0
 2  0  16384 22991784 2034776 101414616    0    0     0     0 1167 2760  2  1 98  0  0
 2  0  16384 23006456 2034776 101414616    0    0     0     0 1103 2607  2  0 98  0  0
 4  0  16384 23029208 2034776 101414616    0    0     0     0 1107 2876  1  1 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0  16384 23054876 2034776 101414616    0    0     4    48 1112 2996  2  1 97  0  0
 1  0  16384 23065676 2034776 101414624    0    0     0    16 1139 2551  1  0 98  0  0
 1  0  16384 23068892 2034780 101414624    0    0    52    20 1153 2099  2  1 98  0  0
 1  0  16384 23070064 2034780 101414672    0    0     0     0 1171 2062  2  0 98  0  0
 1  0  16384 23076348 2034780 101414672    0    0    84    20 1194 2117  2  1 98  0  0
 2  0  16384 23079888 2034780 101414752    0    0     0     8 1103 2134  1  1 97  0  0
 1  0  16384 23084012 2034780 101414752    0    0     0     0 1138 2098  1  1 98  0  0
 1  0  16384 23088768 2034780 101414752    0    0     0     4 1200 2118  1  0 98  0  0
 4  0  16384 23086496 2034780 101414752    0    0     0    12 1138 2189  1  0 98  0  0
 1  0  16384 23096300 2034780 101414752    0    0     0    32 1150 2028  1  1 98  0  0
 2  0  16384 23101024 2034780 101414752    0    0     0     0 1180 2052  2  1 98  0  0
 1  0  16384 23102924 2034780 101414752    0    0     0     0 1155 2127  2  1 97  0  0
 1  0  16384 23106452 2034780 101414752    0    0    20     4 1190 2031  1  0 98  0  0
 1  0  16384 23111496 2034784 101414776    0    0    12    12 1164 2074  2  1 98  0  0
 1  0  16384 23114532 2034784 101414848    0    0    56    20 1148 2174  2  0 98  0  0
 2  0  16384 23118380 2034784 101414848    0    0     0     0 1161 2046  2  1 98  0  0
 1  0  16384 23124248 2034784 101414848    0    0     0     0 1131 2375  2  1 97  0  0
 3  0  16384 23127812 2034784 101414848    0    0     0     0 1161 1983  1  0 98  0  0
 2  0  16384 23132124 2034792 101414848    0    0     0    20 1151 2142  1  1 98  0  0
 2  0  16384 23135600 2034792 101414848    0    0     0     0 1135 2172  1  0 98  0  0
 1  0  16384 23138616 2034792 101414848    0    0     0     0 1158 2106  2  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0  16384 23141276 2034792 101414848    0    0     0     0 1181 2133  2  1 98  0  0
 1  0  16384 23142544 2034792 101414848    0    0     0     0 1135 2243  2  1 97  0  0
 1  0  16384 23144576 2034796 101414848    0    0     0    28 1109 2200  1  0 98  0  0
 3  0  16384 23139288 2034796 101414848    0    0     0     0 1135 2161  1  1 98  0  0
 1  0  16384 23148732 2034796 101414848    0    0     0     0 1127 2214  1  0 98  0  0
 1  0  16384 23150284 2034796 101414848    0    0     0     0 1091 2030  1  0 98  0  0
 1  0  16384 23154068 2034796 101414848    0    0     0     0 1138 2319  2  2 97  0  0
 2  0  16384 23154692 2034796 101414848    0    0     0    12 1180 1991  1  0 98  0  0
 1  0  16384 23157756 2034804 101414840    0    0     0    12 1168 2124  2  1 98  0  0
 1  0  16384 23159560 2034804 101414840    0    0     0     0 1127 2052  1  0 98  0  0
 1  0  16384 23161896 2034804 101414840    0    0     0     0 1167 2277  2  1 98  0  0
 3  0  16384 23164848 2034804 101414840    0    0     0     0 1137 2192  1  1 98  0  0
 2  0  16384 23160132 2034804 101414840    0    0     0     0 1168 2135  1  1 97  0  0
 1  0  16384 23169844 2034812 101414840    0    0     0    20 1167 2118  1  0 98  0  0
 1  0  16384 23170936 2034812 101414840    0    0     0     0 1141 2203  1  0 98  0  0
 1  0  16384 23172776 2034812 101414840    0    0     0     0 1148 2136  2  1 98  0  0
 1  0  16384 23173652 2034812 101414840    0    0     0     0 1189 1974  1  0 98  0  0
 2  0  16384 23173416 2034812 101414840    0    0     0     0 1173 2186  2  2 97  0  0
 1  0  16384 23174552 2034812 101414840    0    0     0     4 1176 2199  1  0 98  0  0
 1  0  16384 23175192 2034820 101414840    0    0     0    12 1168 2000  1  1 98  0  0
 2  0  16384 23176364 2034820 101414840    0    0     0     0 1017 2271  4  1 95  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
