procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st gu
 2  0   2304 679304 5623696 24479068    0    0  2079   112 2933    3  1  0 99  0  0  0
 0  0   2304 679044 5623696 24479076    0    0     0     0 15336 13966  1  2 96  0  0  0
 0  0   2304 675768 5623696 24479076    0    0     0     0 17240 15099  1  2 96  0  0  0
 0  0   2304 677368 5623696 24479076    0    0     0   108 16985 14145  1  2 96  0  0  0
 1  0   2304 678828 5623704 24479076    0    0     0    56 17763 15452  2  2 96  0  0  0
 0  0   2304 681516 5623704 24479076    0    0     0     0 16771 14198  1  2 97  0  0  0
 0  0   2304 682788 5623712 24479076    0    0     0   196 12122 10835  1  2 97  0  0  0
 6  0   2304 683984 5623712 24479076    0    0     0     0 15627 13553  1  2 96  0  0  0
 1  0   2304 684760 5623712 24479076    0    0     0     0 14444 12657  1  2 97  0  0  0
 0  0   2304 684508 5623712 24479076    0    0     0   140 17245 13736  1  3 96  0  0  0
 1  0   2304 684508 5623720 24479080    0    0     0    36 16262 13645  1  3 96  0  0  0
 0  0   2304 684508 5623728 24479072    0    0     0    40 16570 14387  2  2 96  0  0  0
 0  0   2304 684508 5623728 24479080    0    0     0     0 17749 14447  2  3 96  0  0  0
 1  0   2304 684508 5623728 24479080    0    0     0     0 17407 13916  1  3 96  0  0  0
 1  0   2304 684508 5623728 24479080    0    0     0     0 17286 14019  2  2 96  0  0  0
 0  0   2304 684252 5623728 24479080    0    0     0    80 17495 13923  1  3 96  0  0  0
 0  0   2304 684508 5623728 24479080    0    0     0    12 17741 14610  1  3 96  0  0  0
 0  0   2304 684252 5623744 24479072    0    0     0    40 14009 11268  1  2 97  0  0  0
 2  0   2304 684312 5623744 24479080    0    0     0     0 12226 10886  1  2 97  0  0  0
 0  0   2304 684312 5623744 24479080    0    0     0     0 16757 13466  2  3 96  0  0  0
 0  0   2304 679992 5623744 24479080    0    0     0     0 16341 13999  1  2 97  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st gu
 1  0   2304 679256 5623744 24479080    0    0     0   112 14355 13271  1  2 97  0  0  0
 2  0   2304 679512 5623744 24479080    0    0     0    16 17972 15570  2  3 96  0  0  0
 1  0   2304 679512 5623760 24479080    0    0     0    44 16971 14379  1  3 96  0  0  0
 0  0   2304 679256 5623760 24479080    0    0     0   152 14758 12835  1  2 97  0  0  0
 0  0   2304 679512 5623760 24479080    0    0     0     0 10668 9621  1  1 98  0  0  0
 0  0   2304 679256 5623760 24479080    0    0     0     0 9547 8649  1  1 98  0  0  0
 1  0   2304 679512 5623760 24479080    0    0     0    68 8786 7781  1  1 98  0  0  0
