procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st gu
 1  1   2304 781196 5481280 24573296    0    0  4736   190 4201    3  1  1 99  0  0  0
 0  0   2304 781192 5481280 24573308    0    0     0     0 13667 14348  1  2 97  0  0  0
 0  0   2304 780940 5481280 24573308    0    0     0     0 13075 13251  1  2 97  0  0  0
 0  0   2304 781192 5481280 24573308    0    0     0     0 11929 12133  1  2 97  0  0  0
 0  0   2304 781192 5481280 24573308    0    0     0    12 12763 12852  1  2 98  0  0  0
 0  0   2304 781192 5481280 24573308    0    0     0   100 13632 13640  1  2 97  0  0  0
 0  0   2304 781348 5481296 24573308    0    0     0   388 13648 14414  1  2 97  0  0  0
 0  0   2304 781348 5481296 24573308    0    0     0     0 13357 13421  1  2 97  0  0  0
 0  0   2304 781348 5481296 24573312    0    0     0     0 12848 12245  1  2 98  0  0  0
 0  0   2304 780836 5481296 24573312    0    0     0     0 13143 12456  1  2 98  0  0  0
 1  0   2304 781348 5481296 24573312    0    0     0    56 12748 12050  1  2 97  0  0  0
 0  0   2304 781348 5481312 24573304    0    0     0   248 12968 12682  1  2 98  0  0  0
 1  0   2304 781348 5481312 24573304    0    0     0    12 12645 11859  1  1 98  0  0  0
 0  0   2304 781348 5481312 24573312    0    0     0     0 13121 12351  1  2 97  0  0  0
 0  0   2304 781096 5481312 24573312    0    0     0     0 11219 10878  1  2 98  0  0  0
 0  0   2304 781096 5481312 24573312    0    0     0     0 12662 11907  1  2 97  0  0  0
 0  0   2304 781096 5481312 24573312    0    0     0    96 12582 12470  1  2 97  0  0  0
 0  0   2304 781348 5481328 24573312    0    0     0    28 11014 10762  1  2 97  0  0  0
 1  0   2304 781348 5481328 24573312    0    0     0     4 12774 11928  1  1 98  0  0  0
 0  0   2304 781348 5481328 24573312    0    0     0     0 12229 11789  1  2 98  0  0  0
 0  0   2304 781600 5481328 24573312    0    0     0     0 12771 12156  1  2 98  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st gu
 1  0   2304 781600 5481328 24573312    0    0     0     0 13298 13368  1  2 97  0  0  0
 0  0   2304 781600 5481336 24573308    0    0     0   184 12984 12468  1  2 98  0  0  0
 0  0   2304 777528 5481344 24573316    0    0     0   204 12836 12339  1  2 98  0  0  0
