procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
11  0   5120 23885212 2282884 100763064    0    0    45    68    1    0  3  1 96  0  0
12  0   5120 23883664 2282884 100765824    0    0   816     0 10657 14910 12  2 85  0  0
13  0   5120 23880928 2282884 100768448    0    0  1292    24 11108 15698 12  3 85  0  0
15  0   5120 23862680 2282884 100771232    0    0   620 32812 10614 14030 16  3 82  0  0
13  0   5120 23821608 2282896 100777008    0    0  1848 25796 11706 14723 14  3 83  0  0
15  0   5120 23821152 2282896 100785664    0    0  6308     0 12338 15572 13  4 84  0  0
13  0   5120 23817904 2282896 100790952    0    0  4384     0 11668 15591 12  3 85  0  0
11  0   5120 23812028 2282896 100796096    0    0  3608    32 11861 15326 12  3 85  0  0
15  0   5120 23807472 2282896 100802704    0    0  4492     0 11145 15376 13  3 85  0  0
12  0   5120 23801100 2282900 100807848    0    0  3708    16 11310 15480 12  3 85  0  0
11  0   5120 23795936 2282900 100813520    0    0  4024     0 11556 15410 12  3 85  0  0
16  0   5120 23790092 2282900 100817488    0    0  3192     0 12067 15487 13  4 84  0  0
11  0   5120 23786812 2282900 100822000    0    0  2400    20 11972 15379 12  3 85  0  0
14  0   5120 23923236 2282908 100672752    0    0  2468 14640 9898 13168 10  3 87  0  0
14  0   5120 23928612 2282908 100675776    0    0  1580     0 12085 15997 12  3 85  0  0
18  0   5120 23752904 2282908 100679912    0    0  2700     0 11294 15272 12  3 85  0  0
10  0   5120 23582408 2282908 100684112    0    0  2256     0 9486 13262 13  4 83  0  0
20  0   5120 23577912 2282908 100686704    0    0   752     0 10893 14995 14  3 84  0  0
11  0   5120 23569116 2282920 100689424    0    0  1364    84 10907 14624 13  3 84  0  0
12  0   5120 23567408 2282920 100691680    0    0   884     0 11386 15105 12  3 85  0  0
16  0   5120 23564240 2282920 100694592    0    0  1376     0 11105 14800 13  3 84  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
16  0   5120 23564272 2282920 100697704    0    0  1608     0 11222 15241 12  3 85  0  0
15  0   5120 23562304 2282920 100700536    0    0   968     0 11347 15209 12  4 84  0  0
11  0   5120 23563332 2282928 100703040    0    0  1520    16 11044 15149 12  3 85  0  0
13  0   5120 23562944 2282928 100706272    0    0  1096 16564 11957 15162 12  3 85  0  0
 1  0   5120 23560804 2282928 100709232    0    0  1588     0 11455 14890 12  3 85  0  0
13  0   5120 23558832 2282928 100712304    0    0   968     0 11843 15130 12  3 84  0  0
15  0   5120 23555800 2282928 100714192    0    0   892     0 11722 14735 12  4 84  0  0
15  0   5120 23553180 2282932 100716992    0    0   904    20 11189 14357 12  3 85  0  0
15  0   5120 23544944 2282932 100719440    0    0   876  7868 11243 13692 14  3 83  0  0
13  0   5120 23549560 2282932 100721968    0    0  1144     0 11205 15353 13  3 85  0  0
18  0   5120 23547900 2282932 100724400    0    0   860     0 11248 15158 12  3 85  0  0
13  0   5120 23544384 2282932 100727464    0    0  1044     0 10852 15001 13  3 84  0  0
14  0   5120 23543016 2282932 100729904    0    0  1192    20 11286 15336 12  3 85  0  0
14  0   5120 23538648 2282932 100732240    0    0   776     0 11182 15304 13  3 84  0  0
13  0   5120 23537216 2282932 100734528    0    0   708     0 11108 15511 12  3 85  0  0
 1  0   5120 23534404 2282932 100736528    0    0   480     0 10713 14799 11  3 86  0  0
 8  0   5120 23531700 2282932 100739040    0    0   704     0 11731 15046 12  3 85  0  0
15  0   5120 23524260 2282936 100740744    0    0   748    16 11100 15165 12  3 85  0  0
14  0   5120 23528992 2282936 100743344    0    0   772  8200 11067 15091 12  3 85  0  0
13  0   5120 23526312 2282936 100745776    0    0   508     0 11970 14908 12  3 85  0  0
15  0   5120 23522608 2282936 100747952    0    0  1084     0 10425 13701 14  3 83  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
15  0   5120 23519420 2282936 100750432    0    0   968  6184 11200 15272 14  2 84  0  0
16  0   5120 23464580 2282936 100752352    0    0   448 40800 11327 15473 15  4 81  0  0
15  0   5120 23448900 2282952 100765152    0    0  7140 33484 11707 16252 14  4 82  0  0
15  0   5120 23435664 2283004 100779344    0    0  9416 42064 11346 15762 14  3 83  0  0
16  0   5120 23422192 2283052 100791528    0    0  8072 41368 11936 16696 14  3 83  0  0
15  1   5120 23408608 2283092 100805544    0    0  8696 39548 12020 16243 14  3 83  0  0
12  0   5120 23392092 2283148 100816216    0    0  4860 40164 12123 16143 14  3 83  0  0
14  0   5120 23375784 2283184 100826144    0    0  5360 32308 12256 16163 14  3 82  0  0
15  0   5120 23356676 2283192 100834736    0    0  1528 21404 11531 15449 13  4 83  0  0
15  0   5120 23345964 2283204 100840232    0    0  2460 29864 11877 15269 13  3 84  0  0
15  0   5120 23316384 2283224 100848136    0    0  2172 28256 10181 13360 15  4 81  0  0
12  0   5120 23308184 2283232 100855888    0    0  2384 27260 11399 15184 15  3 82  0  0
12  0   5120 23293608 2283248 100862016    0    0  1180 21104 11237 15386 14  3 83  0  0
 8  0   5120 23290244 2283268 100869216    0    0  2148 31440 11824 14990 14  4 82  0  0
15  0   5120 23278244 2283308 100877680    0    0  2924 32368 10432 14293 12  3 85  0  0
12  0   5120 23266516 2283328 100883152    0    0  1556 30536 11965 15117 14  4 83  0  0
