procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
18  0   5120 20047732 2290932 101448192    0    0    45    68    1    1  3  1 96  0  0
16  0   5120 20025076 2290932 101455104    0    0  4584     0 14903 10544 19  6 76  0  0
16  0   5120 20011132 2290932 101459744    0    0  3412     0 14465 10554 18  5 77  0  0
17  0   5120 19998296 2290932 101465488    0    0  3804 10428 14607 10356 18  5 76  0  0
16  0   5120 19989852 2290932 101471504    0    0  3432     0 14734 10470 19  5 76  0  0
16  0   5120 19982300 2290936 101477040    0    0  2740    44 13068 9915 16  6 78  0  0
16  0   5120 19967968 2290936 101481184    0    0  3048     0 12392 9272 16  8 76  0  0
16  0   5120 19960528 2290936 101485288    0    0  2136     0 11485 9248 16  7 77  0  0
16  0   5120 19927056 2290936 101489152    0    0  1944  8792 11796 9580 16  7 76  0  0
16  0   5120 19798208 2290936 101492696    0    0  1932     0 9380 7127 19  5 76  0  0
17  0   5120 19668820 2290940 101495240    0    0  1252    20 10664 8486 20  5 75  0  0
17  0   5120 19665096 2290940 101498800    0    0  2336     0 14511 10373 21  5 74  0  0
16  0   5120 19656556 2290940 101503176    0    0  2484     0 14900 10432 20  5 75  0  0
16  0   5120 19653508 2290940 101507824    0    0  1752  8196 16206 11528 21  4 75  0  0
16  0   5120 19650980 2290940 101511744    0    0  1732     0 16128 11441 21  4 76  0  0
16  0   5120 19644164 2290940 101515264    0    0  2488    20 16537 11657 21  4 75  0  0
16  0   5120 19638992 2290940 101519936    0    0  1344     0 16437 11317 21  4 76  0  0
17  0   5120 19632648 2290940 101524128    0    0  1752     0 17556 11691 21  5 74  0  0
16  0   5120 19744340 2290944 101409376    0    0  1640 12072 13920 10520 17  4 79  0  0
17  0   5120 19740436 2290944 101412016    0    0  1212     0 16272 11447 20  4 76  0  0
17  0   5120 19736512 2290944 101415496    0    0  1716     0 17283 11425 21  4 75  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
17  0   5120 19680028 2290948 101419200    0    0  1344 20544 15817 11076 20  4 76  0  0
17  0   5120 19676252 2290956 101422544    0    0   720 26516 15420 11351 21  5 74  0  0
16  0   5120 19664836 2290964 101433040    0    0  5712  3868 17829 12246 20  5 75  0  0
16  0   5120 19658636 2290964 101439616    0    0  5616     0 16944 12143 21  5 75  0  0
16  0   5120 19651400 2290964 101448856    0    0  5728     0 16536 11665 21  4 75  0  0
17  0   5120 19635752 2290964 101455256    0    0  3952     0 14683 10462 21  4 76  0  0
 1  0   5120 19634264 2290964 101460456    0    0  2908     0 9525 8235 21  3 76  0  0
16  0   5120 19628096 2290964 101465328    0    0  4548 16560 16846 11279 21  5 74  0  0
19  0   5120 19622024 2290964 101471976    0    0  2892     0 14985 11444 22  4 75  0  0
16  0   5120 19607760 2290964 101476592    0    0  3640     0 16360 11780 21  4 76  0  0
16  0   5120 19603684 2290964 101483088    0    0  2924     0 16766 11405 20  4 76  0  0
16  0   5120 19601312 2290964 101488192    0    0  3640     0 17459 11362 20  4 76  0  0
17  0   5120 19595892 2290968 101493768    0    0  3220 16868 16363 11505 21  4 75  0  0
16  0   5120 19594480 2290968 101498656    0    0  2272     0 16321 11470 21  4 75  0  0
17  0   5120 19583640 2290968 101503688    0    0  1956     0 17345 11801 21  4 75  0  0
17  0   5120 19587284 2290968 101507880    0    0  1524     0 17254 11328 21  4 75  0  0
 9  0   5120 19586612 2290968 101511536    0    0  1292     0 17359 11641 20  4 76  0  0
15  0   5120 19583004 2290968 101514912    0    0  2212    20 16050 11654 21  4 75  0  0
16  0   5120 19580288 2290968 101519040    0    0   740     0 16319 11726 21  5 75  0  0
16  0   5120 19576864 2290968 101522672    0    0  1068     0 17146 11534 21  4 75  0  0
16  0   5120 19573600 2290968 101525728    0    0  1100     0 15982 11668 21  4 75  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
