procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st gu
 0  0   2560 1096352 6328032 23460888    0    0  4439   114 2622    3  1  0 99  0  0  0
 1  0   2560 1096104 6328032 23460948    0    0     0   124 29458 37862  2  4 95  0  0  0
 2  0   2560 1096104 6328032 23460948    0    0     0     0 29674 37926  2  5 94  0  0  0
 1  0   2560 1096296 6328044 23460948    0    0     0    76 28345 36735  2  4 94  0  0  0
 1  0   2560 1096944 6328044 23460948    0    0     0    92 30306 38723  2  4 94  0  0  0
 0  0   2560 1099064 6328044 23460932    0    0     0     0 30158 39149  1  4 94  0  0  0
 0  0   2560 1098812 6328052 23460932    0    0     0    36 29663 38193  2  4 94  0  0  0
 0  0   2560 1094716 6328052 23460940    0    0     0     0 28783 36392  2  4 94  0  0  0
 1  0   2560 1100288 6328052 23460932    0    0     0   156 29314 37552  2  5 94  0  0  0
 0  0   2560 1100288 6328060 23460932    0    0     0    24 27022 31966  2  4 94  0  0  0
 1  0   2560 1100288 6328060 23460944    0    0     0     0 28052 34165  2  4 95  0  0  0
 0  0   2560 1100288 6328068 23460928    0    0     0    92 29530 37824  2  4 95  0  0  0
 0  0   2560 1100288 6328068 23460928    0    0     0     0 29008 36494  2  4 94  0  0  0
 0  0   2560 1100288 6328068 23460912    0    0     0    56 28577 36094  1  5 94  0  0  0
 1  0   2560 1095500 6328068 23460932    0    0     0    52 30041 37581  1  5 94  0  0  0
 0  0   2560 1095252 6328076 23460932    0    0     0    76 29047 36483  2  4 94  0  0  0
 0  0   2560 1095252 6328076 23460932    0    0     0     0 29446 37069  2  4 95  0  0  0
 1  0   2560 1095252 6328084 23460924    0    0     0   208 29682 38818  2  4 94  0  0  0
 0  0   2560 1095000 6328084 23460924    0    0     0     0 30370 40263  2  4 94  0  0  0
 0  0   2560 1094748 6328084 23460932    0    0     0   148 29624 37530  2  4 94  0  0  0
 0  0   2560 1094748 6328084 23460924    0    0     0     0 21910 28211  2  3 95  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st gu
 1  0   2560 1094748 6328092 23460924    0    0     0    28 25280 30347  2  4 94  0  0  0
 1  0   2560 1094748 6328092 23460924    0    0     0    36 28637 36195  2  4 94  0  0  0
 0  0   2560 1094748 6328100 23460924    0    0     0    16 26417 32194  1  4 94  0  0  0
 2  0   2560 1094748 6328100 23460916    0    0     0   152 29234 36881  2  4 94  0  0  0
 1  0   2560 1094748 6328108 23460908    0    0     0    52 29157 37134  2  4 94  0  0  0
 0  0   2560 1094748 6328108 23460908    0    0     0    56 30085 37548  2  4 94  0  0  0
 0  0   2560 1094748 6328108 23460916    0    0     0     4 29781 37434  1  4 94  0  0  0
 1  0   2560 1094748 6328108 23460916    0    0     0     0 29588 37768  2  4 94  0  0  0
 3  0   2560 1094748 6328116 23460908    0    0     0    60 27238 33699  2  4 95  0  0  0
 0  0   2560 1094748 6328124 23460900    0    0     0   120 29299 38089  1  4 94  0  0  0
 0  0   2560 1094748 6328124 23460916    0    0     0     0 30454 40992  2  4 94  0  0  0
 0  0   2560 1094500 6328124 23460916    0    0     0     0 25053 29287  1  4 95  0  0  0
 0  0   2560 1094500 6328124 23460916    0    0     0     4 26090 29891  1  4 94  0  0  0
 1  0   2560 1094500 6328132 23460916    0    0     0   244 24921 28781  2  4 94  0  0  0
 1  0   2560 1120568 6328140 23460916    0    0   128   240 26059 31655  2  4 94  0  0  0
 1  0   2560 1120576 6328148 23460968    0    0     0    52 25537 30085  2  4 94  0  0  0
 0  0   2560 1120588 6328148 23460968    0    0     0     0 22632 25395  2  5 94  0  0  0
 0  0   2560 1119832 6328148 23460968    0    0     0     0 19411 20984  1  4 95  0  0  0
 0  0   2560 1119832 6328148 23460968    0    0     0     4 18625 18530  1  2 96  0  0  0
 1  0   2560 1119832 6328148 23460968    0    0     0   568 18080 18427  1  2 96  0  0  0
 0  0   2560 1125012 6328156 23460968    0    0     0   172 18678 19709  1  3 96  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st gu
 4  0   2560 1121232 6328164 23460976    0    0     0    12 19790 20934  2  3 95  0  0  0
 1  0   2560 1121232 6328164 23460976    0    0     0     0 17970 19239  1  3 96  0  0  0
 0  0   2560 1121232 6328164 23460976    0    0     0     0 19416 20560  1  3 96  0  0  0
 1  0   2560 1121232 6328164 23460976    0    0     0     8 18630 19142  1  3 96  0  0  0
 2  0   2560 1121232 6328164 23460976    0    0     0   104 20338 23910  1  3 96  0  0  0
 2  0   2560 1124648 6328180 23460976    0    0     0   256 19050 19840  1  3 96  0  0  0
 0  0   2560 1124648 6328180 23460976    0    0     0     0 19064 21295  2  2 96  0  0  0
 0  0   2560 1124648 6328180 23460976    0    0     0     0 20997 23895  1  3 96  0  0  0
 0  0   2560 1124648 6328180 23460976    0    0     0     0 18448 18828  1  3 96  0  0  0
 0  0   2560 1124648 6328180 23460976    0    0     0     4 18258 19269  1  2 97  0  0  0
 1  0   2560 1124648 6328196 23460968    0    0     0   292 20355 21946  1  3 96  0  0  0
 1  0   2560 1124648 6328196 23460976    0    0     0     0 25831 29801  1  3 95  0  0  0
 2  0   2560 1124648 6328196 23460980    0    0     0     0 28950 35888  2  3 95  0  0  0
 0  0   2560 1124648 6328196 23460980    0    0     0     0 30629 38353  1  3 95  0  0  0
 0  0   2560 1124648 6328196 23460980    0    0     0     0 30131 37041  1  4 95  0  0  0
 1  0   2560 1124648 6328204 23460972    0    0     0    68 29657 37508  1  3 96  0  0  0
 0  0   2560 1123392 6328212 23460980    0    0     0   112 29499 37624  2  3 95  0  0  0
 0  1   2560 1123392 6328212 23460980    0    0     0    40 29626 36214  1  3 95  0  0  0
 0  0   2560 1123392 6328212 23460980    0    0     0   188 29922 36839  1  4 95  0  0  0
 3  0   2560 1123392 6328212 23460980    0    0     0     0 29898 37150  1  3 95  0  0  0
 0  0   2560 1123392 6328212 23460980    0    0     0     0 29897 36983  1  4 95  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st gu
 1  0   2560 1123392 6328228 23460980    0    0     0    68 28647 35272  1  3 95  0  0  0
 1  0   2560 1123392 6328228 23460980    0    0     0     0 24818 28108  1  4 95  0  0  0
 0  0   2560 1123140 6328228 23460980    0    0     0    88 27275 32976  1  4 95  0  0  0
 1  0   2560 1121376 6328228 23460984    0    0     0     0 30271 37723  2  4 95  0  0  0
 1  0   2560 1117056 6328228 23460984    0    0     0     0 30467 37621  1  4 95  0  0  0
 0  0   2560 1125356 6328228 23460976    0    0     0    32 30472 38982  2  4 94  0  0  0
 1  0   2560 1125104 6328236 23460980    0    0     0    52 30054 38563  2  4 95  0  0  0
 0  0   2560 1125104 6328244 23460972    0    0     0    48 29540 37408  2  3 95  0  0  0
 1  0   2560 1125104 6328244 23460980    0    0     0     0 29611 37546  1  5 94  0  0  0
 1  0   2560 1120820 6328244 23460984    0    0     0    96 30208 38174  2  4 94  0  0  0
 0  0   2560 1120820 6328244 23460984    0    0     0    60 29288 36153  2  4 94  0  0  0
 0  0   2560 1120820 6328244 23460984    0    0     0     0 30935 41115  1  5 94  0  0  0
 0  0   2560 1120820 6328252 23460984    0    0     0    76 32098 44649  2  4 94  0  0  0
 2  0   2560 1120060 6328260 23460976    0    0     0    40 28215 34759  1  4 95  0  0  0
 0  0   2560 1120572 6328260 23460984    0    0     0   208 29743 36396  2  4 94  0  0  0
 1  0   2560 1120320 6328260 23460984    0    0     0     0 30167 38121  2  5 94  0  0  0
 0  0   2560 1120320 6328260 23460984    0    0     0     0 29844 36948  1  4 94  0  0  0
 0  0   2560 1120320 6328260 23460992    0    0     0    36 29278 36488  2  4 94  0  0  0
 1  0   2560 1120320 6328268 23460992    0    0     0    20 29602 36437  2  4 94  0  0  0
 0  0   2560 1120320 6328268 23460992    0    0     0    24 29283 35557  1  4 95  0  0  0
 1  0   2560 1120320 6328276 23460992    0    0     0   116 29360 36443  2  3 95  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st gu
 3  0   2560 1120320 6328276 23460996    0    0     0     0 29522 36828  2  4 94  0  0  0
 0  0   2560 1120320 6328276 23460996    0    0     0     0 29773 36663  1  4 94  0  0  0
 0  0   2560 1119808 6328276 23460984    0    0     0     8 28846 36466  2  4 94  0  0  0
 0  0   2560 1120320 6328284 23460984    0    0     0    60 27798 33467  1  4 95  0  0  0
 0  0   2560 1120320 6328284 23460984    0    0     0     0 29423 36896  2  4 94  0  0  0
